part_number,description,make_buy,status,reason,vendor
DF8-R2-BOOSTER-AFT-WELDED-CLOSURE-001,SOLID AFT BOOSTER CLOSURE WITH LOCATING PILOT,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY custom
SS-CHS2-1,"SWAGELOK 316 SS POPPET CHECK VALVE, 1/8-IN TUBE FITTINGS, 6000 PSIG",BUY,BASELINE_COTS,Existing COTS definition preserved by baseline.,Swagelok
DF8-R2-BOOSTER-COLLECTION-LINE-001,SHORT 316L BOOSTER COLLECTION LINE WITH INTEGRAL FERRULE ENDS,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY custom
DF8-R2-WATER-TRIGGER-HSG-001,CENTRAL WATER-SENSITIVE TRIGGER HOUSING,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY custom
V80040,HALKEY-ROBERTS WATER-SENSITIVE BOBBIN,BUY,BASELINE_COTS,Existing COTS definition preserved by baseline.,Nordson MEDICAL / Halkey-Roberts
DF8-R2-WATER-INLET-001,"RADIAL FLOOD INLET, GLAND AND ANTI-DEBRIS SCREEN",MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY custom
DF8-R2-FULLFLOW-VALVE-001,DIRECT FULL-FLOW VALVE WITH BORED AXIAL AND RADIAL PORTS,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY custom
DF8-FINAL-MANIFOLD-FULLFLOW-FEED-001,TERMINATED COLLECTION-MANIFOLD TO FULL-FLOW VALVE FEED,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY controlled pressure-route drawing
DF8-FINAL-MANIFOLD-FEED-SPRING-CLIP-001,LASER-WELDED TITANIUM SPRING CLIP FOR MANIFOLD FEED,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY controlled route-support drawing
DF8-R2-FIXED-SECTOR-001,ANALYTIC CYLINDRICAL FIXED BODY SECTOR,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY custom
DF8-R2-BACKUP-ACCESS-FIXED-SECTOR-003,FIXED SECTOR 3 WITH TWO RADIAL M3 BACKUP-GUIDE HEAD POCKETS,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY custom
DF8-R2-ROUTED-LONGERON-001,PRIMARY LONGERON WITH TWO JIG-BORED ROUTE CHANNELS,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY custom
DF8-R2-BACKUP-GUIDE-LONGERON-003,PRIMARY LONGERON 3 WITH TWO RADIAL BACKUP-GUIDE M3 CLEARANCE BORES,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY custom
DF8-R2-ARM-BLADE-001,733.806 MM SMOOTH ANALYTIC HOLLOW OML ARM WITH SWEPT STOP-HARDWARE RELIEFS,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY custom
DF8-R2-PIVOT-CARRIER-001,MATCHED DOUBLE-SHEAR PIVOT LUG SET WITH SWEPT BELL-CLEVIS ACCESS AND OBLIQUE STOP-LAND BORES,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY custom
DF8-R2-PIVOT-PIN-008,8 MM CAPTIVE SHOULDER PIVOT PIN WITH EXTERNAL GROOVE,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY custom
DF8-R2-PIVOT-BUSH-008,8 MM PEEK-LINED PIVOT BUSHING,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY custom
DF8-R2-PIVOT-WASHER-008,8 MM PEEK THRUST WASHER,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY custom
DF8-R2-PIVOT-SPIRAL-RING-008,8 MM EXTERNAL SPIRAL PIVOT RETAINER,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY custom
DF8-R2-SHORT-LINK-001,19.950 MM CENTER-DISTANCE REAMED SHORT LINK,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY custom
DF8-R2-LINK-PIN-004,4 MM FULL-SPAN LINK PIN WITH DC-4SS RETAINER GROOVE,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY custom
ROTOR-CLIP-DC-4SS,ROTOR CLIP DC-4SS CRESCENT RETAINING RING FOR 4 MM SHAFT,BUY,BASELINE_COTS,Existing COTS definition preserved by baseline.,Rotor Clip
DF8-R2-ARM-STOP-PAD-001,REPLACEABLE ARM STOP AND AUTOMATIC-LOCK STRIKE,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY custom
DF8-R2-FIXED-STOP-001,80 DEGREE SWEPT-CLEARANCE FIXED STOP WITH CONTROLLED AUTOMATIC-LOCK BUSHING SEAT,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY custom
DF8-R2-STOW-DOG-001,CAPTIVE RADIAL STOWED-RETENTION DOG WITH TRANSPORT-INHIBIT BORE,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY custom
DF8-R2-STOW-DOG-GUIDE-001,FULL-STROKE AFT-RING-MOUNTED STOW-DOG U-GUIDE,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY custom
DF8-R2-STOW-DOG-RETURN-SPRING-001,CAPTIVE STOW-DOG RADIAL RETURN SPRING,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY custom
DF8-R2-STOW-DOG-INHIBIT-PIN-001,WITHDRAWABLE HEADED TRANSPORT-INHIBIT PIN,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY custom
DF8-R2-STOW-DOG-INHIBIT-KEEPER-001,CAPTIVE CRESCENT RETAINER FOR TRANSPORT-INHIBIT PIN,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY custom
DF8-R2-AUTO-LOCK-DOG-001,SPRING-DRIVEN POSITIVE DEPLOYED LOCK DOG,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY custom
DF8-R2-AUTO-LOCK-SPRING-001,CAPTIVE LONG-STROKE AUTOMATIC-LOCK COMPRESSION SPRING,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY custom
DF8-R2-AUTO-LOCK-BUSHING-001,PRESS-FIT LOCK GUIDE OUTER RETAINER BUSHING,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY custom
DF8-R2-CROSSHEAD-001,ONE-PIECE SIX-CLEVIS GUIDED COMMON CROSSHEAD,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY custom
DF8-R2-CROSSHEAD-GUIDE-001,CENTRAL DLC CROSSHEAD GUIDE SHAFT WITH SPIDER SHOULDER,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY custom
DF8-R2-CROSSHEAD-GUIDE-SPIDER-001,THREE-SPOKE CROSSHEAD-GUIDE FORWARD MOUNT,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY custom
DF8-R2-BACKUP-SPRING-16N-001,CONTROLLED 16 N/MM GUIDED BACKUP COMPRESSION SPRING,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY controlled spring specification
DF8-R2-BACKUP-SPRING-FIXED-SEAT-001,BACKUP SPRING AFT FIXED SEAT WITH LONGERON MOUNTING TONGUE,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY custom
DF8-R2-BACKUP-SPRING-MOVING-SEAT-001,BACKUP SPRING CROSSHEAD SEAT WITH PILOTED PERMANENT LAND,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY custom
DF8-R2-BACKUP-SPRING-GUIDE-001,BACKUP SPRING DLC GUIDE SHAFT WITH TWO FIXED SUPPORT SHOULDERS,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY custom
GS-19-50-V4A-B8-B8,ACE GS-19-50-V4A-B8-B8 PURCHASED ASSEMBLY — ARTICULATED INSTALLATION BODY,BUY,BASELINE_COTS,Existing COTS definition preserved by baseline.,ACE Controls
GS-19-50-V4A-B8-B8-ROD-CHILD,ACE GS-19 MOVING ROD ARTICULATION CHILD,BUY,BASELINE_COTS,Existing COTS definition preserved by baseline.,ACE Controls
HBD-15-25-AA-P,ACE HBD-15-25-AA-P PURCHASED ASSEMBLY — ARTICULATED INSTALLATION BODY,BUY,BASELINE_COTS,Existing COTS definition preserved by baseline.,ACE Controls
HBD-15-25-AA-P-ROD-CHILD,HBD MOVING ROD ARTICULATION CHILD,BUY,BASELINE_COTS,Existing COTS definition preserved by baseline.,ACE Controls
DF8-R2-ACTUATOR-FIXED-YOKE-GS19-001,DOUBLE-SHEAR GS19 ANCHOR YOKE WITH CONFORMAL LONGERON TONGUE,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY custom
DF8-R2-ACTUATOR-FIXED-YOKE-HBD-001,DOUBLE-SHEAR HBD ANCHOR YOKE WITH CONFORMAL LONGERON TONGUE,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY custom
DF8-R2-ACTUATOR-PIN-004,4 MM CAPTIVE ACTUATOR CLEVIS PIN,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY custom
DF8-R2-ACTUATOR-E-RING-004,4 MM ACTUATOR PIN RETAINER,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY custom
DF8-FINAL-GAS-MAIN-001,COMPLETE TERMINATED GAS MAIN ASSEMBLY,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY controlled route assembly
DF8-FINAL-PILOT-LINE-001,COMPLETE TERMINATED PILOT LINE ASSEMBLY,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY controlled route assembly
DF8-FINAL-BOWDEN-SHEATH-001,COMPLETE TERMINATED BOWDEN SHEATH ASSEMBLY,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY controlled route assembly
DF8-FINAL-BOWDEN-WIRE-001,COMPLETE TERMINATED BOWDEN WIRE ASSEMBLY,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY controlled route assembly
DF8-FINAL-GAS-MAIN-RING-GLAND,GAS MAIN TWO-COLLAR BULKHEAD GLAND,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY controlled micro-fitting drawing
DF8-FINAL-PILOT-LINE-RING-GLAND,PILOT LINE TWO-COLLAR BULKHEAD GLAND,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY controlled micro-fitting drawing
DF8-FINAL-BOWDEN-SHEATH-RING-GLAND,BOWDEN SHEATH TWO-COLLAR BULKHEAD GLAND,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY controlled micro-fitting drawing
DF8-FINAL-GAS-MAIN-FIXED-SECTOR-GUIDE-LINER,SPLIT PEEK GUIDE LINER FOR GAS MAIN LONG SPAN,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY controlled guide-liner drawing
DF8-FINAL-PILOT-LINE-FIXED-SECTOR-GUIDE-LINER,SPLIT PEEK GUIDE LINER FOR PILOT LINE LONG SPAN,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY controlled guide-liner drawing
DF8-FINAL-BOWDEN-SHEATH-FIXED-SECTOR-GUIDE-LINER,SPLIT PEEK GUIDE LINER FOR BOWDEN SHEATH LONG SPAN,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY controlled guide-liner drawing
DF8-FINAL-WP04-FULLFLOW-MANIFOLD,WP04 FULL-FLOW TERMINAL MANIFOLD WITH BRAZED GAS PORT,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY controlled manifold drawing
DF8-FINAL-WP04-MANIFOLD-BRACKET,WP04 FULL-FLOW MANIFOLD RADIAL SUPPORT BRACKET,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY custom
DF8-R2-AFT-SHELL-001,AFT GRADE-9 SHELL WITH HARDPOINT AND HINGE APERTURES,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY custom
DF8-R2-AFT-ROUTE-RING-001,AFT STRUCTURAL RING WITH CONTROLLED ROUTE PASSAGES,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY custom
DF8-R2-AFT-LONGERON-001,AFT PRIMARY LOAD-PATH LONGERON,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY custom
WP04-RB-001-R2,SPRING REACTION BULKHEAD WITH GUIDE-RAIL BORES AND PERMANENT SHELL LAND,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY custom
WP04-GUIDE-RAIL-001-R2,FOLLOWER ANTI-ROTATION GUIDE RAIL WITH TWO M3 CAPTIVE-SCREW END LANDS,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY custom
WP04-FOL-001-R2,CAPTIVE PEEK FOLLOWER WITH THREE GUIDE SLOTS,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY custom
DF8-FINAL-WP04-EJECTOR-SPRING-001,CONTROLLED LONG-STROKE GUIDED EJECTOR SPRING,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY controlled spring drawing
WP04-FIXED-GUIDE-SLEEVE-R2,BULKHEAD-MOUNTED FIXED TELESCOPING SPRING GUIDE AND SEAT,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY custom
WP04-MOVING-GUIDE-SLEEVE-R2,FOLLOWER-MOUNTED INNER TELESCOPING SPRING GUIDE SLEEVE,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY custom
WP04-LATCH-HOUSING-R2,RADIAL FOLLOWER LATCH HOUSING WITH REAMED SEAR GUIDE,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY custom
WP04-LATCH-SEAR-R2,CAPTIVE RADIAL FOLLOWER SEAR PLUNGER WITH RETAINING RING,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY custom
WP04-LATCH-SEAR-E-RING-R2,4 MM SEAR PIN EXTERNAL RETAINING RING,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY custom
WP04-RHP-001-R2,INTEGRAL STRUCTURAL RING AND RECOVERY HARDPOINT LUG,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY custom
WP05-SERVICE-THROAT-R2,AFT SERVICE THROAT WITH CONTROLLED DETENT BORES,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY custom
WP05-DOOR-R2,CAPTIVE LOW-FORCE AFT DOOR WITH HINGE AND LANYARD EYE,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY custom
WP05-HINGE-PIN-R2,DOOR HINGE PIN WITH EXTERNAL RETAINER,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY custom
WP05-HINGE-CRESCENT-RING-R2,3 MM HINGE-PIN EXTERNAL CRESCENT RETAINER,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY custom
GN-615.3-M3-KN-PFB,JW WINCO M3 STAINLESS BALL PLUNGER,BUY,BASELINE_COTS,Existing COTS definition preserved by baseline.,JW Winco / Ganter
DF8-R2-BUOY-GORE-01,60 L BUOY GORE 1 OF 8,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY custom
DF8-R2-BUOY-GORE-02,60 L BUOY GORE 2 OF 8,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY custom
DF8-R2-BUOY-GORE-03,60 L BUOY GORE 3 OF 8,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY custom
DF8-R2-BUOY-GORE-04,60 L BUOY GORE 4 OF 8,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY custom
DF8-R2-BUOY-GORE-05,60 L BUOY GORE 5 OF 8,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY custom
DF8-R2-BUOY-GORE-06,60 L BUOY GORE 6 OF 8,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY custom
DF8-R2-BUOY-GORE-07,60 L BUOY GORE 7 OF 8,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY custom
DF8-R2-BUOY-GORE-08,60 L BUOY GORE 8 OF 8,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY custom
DF8-R2-HARNESS-BAND-1,X-6292 STRUCTURAL HARNESS CLOSED BAND 1,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,Sturges X-6292 raw webbing / STINGRAY finished assembly
DF8-R2-HARNESS-BAND-2,X-6292 STRUCTURAL HARNESS CLOSED BAND 2,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,Sturges X-6292 raw webbing / STINGRAY finished assembly
WP04-HST-001-R2,HARNESS STRUCTURAL TERMINAL WITH FOUR WEB SLOTS AND DOUBLE-SHEAR CLEVIS,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY custom
DF8-R2-HARNESS-LEG-XP,X-6292 TERMINAL HARNESS LEG XP,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,Sturges X-6292 raw webbing / STINGRAY finished assembly
DF8-R2-HARNESS-LEG-XN,X-6292 TERMINAL HARNESS LEG XN,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,Sturges X-6292 raw webbing / STINGRAY finished assembly
DF8-R2-HARNESS-LEG-YP,X-6292 TERMINAL HARNESS LEG YP,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,Sturges X-6292 raw webbing / STINGRAY finished assembly
DF8-R2-HARNESS-LEG-YN,X-6292 TERMINAL HARNESS LEG YN,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,Sturges X-6292 raw webbing / STINGRAY finished assembly
DF8-R2-TETHER-THIMBLE-001,AMSTEEL EYE-SPLICE THIMBLE,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY custom
AMSTEEL-BLUE-872-7-64-R2,STRUCTURAL RECOVERY TETHER WITH TWO BURIED EYE SPLICES,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,Samson Rope Technologies raw line / STINGRAY finished splices
DF8-R2-RECOVERY-PIN-006,6 MM CAPTIVE RECOVERY TERMINAL PIN WITH RETAINER GROOVE,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY custom
DF8-R2-RECOVERY-E-RING-006,6 MM RECOVERY PIN EXTERNAL RETAINER,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY custom
WP05-DOOR-LANYARD-R2,CAPTIVE DOOR LANYARD WITH SWAGED EYES,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY custom
WP04-AFT-RAIL-SUPPORT-R2,ONE-PIECE AFT GUIDE-RAIL SUPPORT RING WITH THREE M3 THREADS,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY custom
WP04-LATCH-SUPPORT-R2,GUIDE-RAIL-3 TO LATCH TWO-SCREW SUPPORT BLADE,MAKE,CUSTOM_REMAINDER,Must remain custom pending architecture-safe catalog replacement evidence.,STINGRAY custom
