legacy_id,final_full_display_name,creo_safe_name,actual_part_number,make_buy,material,subsystem,occurrence_naming_rule,traceability_property,abbreviation_reason
DF8-R2-FIXED-STOP-001,80_DEGREE_SWEPT-CLEARANCE_FIXED_STOP_WITH_CONTROLLED_AUTOMATIC-LOCK_BUSHING_SEAT_SS,80_DEGREE_SWEPT-CLEARA_5C81023A,,MAKE,17-4PH stainless steel,Arm_Activation_Powertrain_Assembly,base name + _01.._03,LEGACY_ID=DF8-R2-FIXED-STOP-001;SOURCE_ID=DF8-R2-FIXED-STOP-001,Deterministic 31-character Creo filename limit
DF8-R2-PIVOT-PIN-008,8_MM_CAPTIVE_SHOULDER_PIVOT_PIN_WITH_EXTERNAL_GROOVE_SS,8_MM_CAPTIVE_SHOULDER_93AFD764,,MAKE,17-4PH stainless steel,Arm_Activation_Powertrain_Assembly,base name + _01.._03,LEGACY_ID=DF8-R2-PIVOT-PIN-008;SOURCE_ID=DF8-R2-PIVOT-PIN-008,Deterministic 31-character Creo filename limit
DF8-R2-PIVOT-SPIRAL-RING-008,8_MM_EXTERNAL_SPIRAL_PIVOT_RETAINER_SS,8_MM_EXTERNAL_SPIRAL_P_973C221C,,MAKE,1.4310 stainless spring steel,Arm_Activation_Powertrain_Assembly,base name + _01.._03,LEGACY_ID=DF8-R2-PIVOT-SPIRAL-RING-008;SOURCE_ID=DF8-R2-PIVOT-SPIRAL-RING-008,Deterministic 31-character Creo filename limit
DF8-R2-PIVOT-BUSH-008,8_MM_PEEK-LINED_PIVOT_BUSHING_PEEK,8_MM_PEEK-LINED_PIVOT_4F9A22C2,,MAKE,PEEK,Arm_Activation_Powertrain_Assembly,base name + _01.._06,LEGACY_ID=DF8-R2-PIVOT-BUSH-008;SOURCE_ID=DF8-R2-PIVOT-BUSH-008,Deterministic 31-character Creo filename limit
DF8-R2-PIVOT-WASHER-008,8_MM_PEEK_THRUST_WASHER_PEEK,8_MM_PEEK_THRUST_WASHER_PEEK,,MAKE,PEEK,Arm_Activation_Powertrain_Assembly,base name + _01.._06,LEGACY_ID=DF8-R2-PIVOT-WASHER-008;SOURCE_ID=DF8-R2-PIVOT-WASHER-008,
GS-19-50-V4A-B8-B8,ACE_Gas_Spring_GS-19-50-V4A-B8-B8,ACE_Gas_Spring_GS-19-5_0587B81C,GS-19-50-V4A-B8-B8,BUY,AISI 316L / 316Ti stainless catalog assembly,Arm_Activation_Powertrain_Assembly,base name,LEGACY_ID=GS-19-50-V4A-B8-B8;SOURCE_ID=GS-19-50-V4A-B8-B8,Deterministic 31-character Creo filename limit
GS-19-50-V4A-B8-B8-ROD-CHILD,ACE_Gas_Spring_Rod_GS-19-50-V4A-B8-B8,ACE_Gas_Spring_Rod_GS-_996273C3,GS-19-50-V4A-B8-B8,BUY,AISI 316L / 316Ti stainless catalog assembly,Arm_Activation_Powertrain_Assembly,base name,LEGACY_ID=GS-19-50-V4A-B8-B8-ROD-CHILD;SOURCE_ID=GS-19-50-V4A-B8-B8-ROD-CHILD,Deterministic 31-character Creo filename limit
HBD-15-25-AA-P,ACE_Hydraulic_Damper_HBD-15-25-AA-P,ACE_Hydraulic_Damper_H_4E38E47D,HBD-15-25-AA-P,BUY,Black-anodized aluminum body / hard-chrome steel rod / zinc-plated steel AA-P fittings,Arm_Activation_Powertrain_Assembly,base name,LEGACY_ID=HBD-15-25-AA-P;SOURCE_ID=HBD-15-25-AA-P,Deterministic 31-character Creo filename limit
HBD-15-25-AA-P-ROD-CHILD,ACE_Hydraulic_Damper_Rod_HBD-15-25-AA-P,ACE_Hydraulic_Damper_R_373600BA,HBD-15-25-AA-P,BUY,Hard-chrome steel rod with zinc-plated steel AA-P fitting,Arm_Activation_Powertrain_Assembly,base name,LEGACY_ID=HBD-15-25-AA-P-ROD-CHILD;SOURCE_ID=HBD-15-25-AA-P-ROD-CHILD,Deterministic 31-character Creo filename limit
DF8-R2-AFT-SHELL-001,AFT_GRADE-9_SHELL_WITH_HARDPOINT_AND_HINGE_APERTURES_TI,AFT_GRADE-9_SHELL_WITH_E53DC433,,MAKE,Ti-3Al-2.5V Grade 9,Aft_Service_Closure_Assembly,base name,LEGACY_ID=DF8-R2-AFT-SHELL-001;SOURCE_ID=DF8-R2-AFT-SHELL-001,Deterministic 31-character Creo filename limit
DF8-R2-AFT-LONGERON-001,AFT_PRIMARY_LOAD-PATH_LONGERON_TI,AFT_PRIMARY_LOAD-PATH_526FFB0A,,MAKE,Ti-6Al-4V,Aft_Service_Closure_Assembly,base name + _01.._03,LEGACY_ID=DF8-R2-AFT-LONGERON-001;SOURCE_ID=DF8-R2-AFT-LONGERON-001,Deterministic 31-character Creo filename limit
DF8-FORWARD-ARM-AFT-REPACK-SHELL-001,AFT_REPACK_BAY_GRADE-9_TITANIUM_SHELL_TI,AFT_REPACK_BAY_GRADE-9_C7315042,,MAKE,Ti-3Al-2.5V Grade 9,Arm_Activation_Powertrain_Assembly,base name,LEGACY_ID=DF8-FORWARD-ARM-AFT-REPACK-SHELL-001;SOURCE_ID=DF8-FORWARD-ARM-AFT-REPACK-SHELL-001,Deterministic 31-character Creo filename limit
DF8-R2-AFT-ROUTE-RING-001,AFT_STRUCTURAL_RING_WITH_CONTROLLED_ROUTE_PASSAGES_TI,AFT_STRUCTURAL_RING_WI_E17EB9DF,,MAKE,Ti-6Al-4V,Aft_Service_Closure_Assembly,base name,LEGACY_ID=DF8-R2-AFT-ROUTE-RING-001;SOURCE_ID=DF8-R2-AFT-ROUTE-RING-001,Deterministic 31-character Creo filename limit
DF8-R2-TETHER-THIMBLE-001,AMSTEEL_EYE-SPLICE_THIMBLE_SS,AMSTEEL_EYE-SPLICE_THIMBLE_SS,,MAKE,316 stainless steel,Aft_Service_Closure_Assembly,base name + _01.._02,LEGACY_ID=DF8-R2-TETHER-THIMBLE-001;SOURCE_ID=DF8-R2-TETHER-THIMBLE-001,
DF8-R2-FIXED-SECTOR-001,ANALYTIC_CYLINDRICAL_FIXED_BODY_SECTOR_TI,ANALYTIC_CYLINDRICAL_F_66B0AB70,,MAKE,Ti-6Al-4V,Arm_Activation_Powertrain_Assembly,base name + _01.._02,LEGACY_ID=DF8-R2-FIXED-SECTOR-001;SOURCE_ID=DF8-R2-FIXED-SECTOR-001,Deterministic 31-character Creo filename limit
DF8-FORWARD-ARM-TERMINATION-RING-001,ARM_MODULE_AFT_STRUCTURAL_RING_WITH_THREE_PRESSURE-RESERVOIR_PASSAGES_TI,ARM_MODULE_AFT_STRUCTU_AC1B5D0B,,MAKE,Ti-6Al-4V,Arm_Activation_Powertrain_Assembly,base name,LEGACY_ID=DF8-FORWARD-ARM-TERMINATION-RING-001;SOURCE_ID=DF8-FORWARD-ARM-TERMINATION-RING-001,Deterministic 31-character Creo filename limit
HDP-3-8-A1,Accu_HDP-3-8-A1,Accu_HDP-3-8-A1,HDP-3-8-A1,BUY,316 stainless steel,Arm_Activation_Powertrain_Assembly,base name + _01.._06,LEGACY_ID=HDP-3-8-A1;SOURCE_ID=HDP-3-8-A1,
HEC-10-A4,Accu_HEC-10-A4,Accu_HEC-10-A4,HEC-10-A4,BUY,1.4310 stainless spring steel,Forward_Body_Assembly,base name,LEGACY_ID=HEC-10-A4;SOURCE_ID=HEC-10-A4,
HTP-3-30-A1,Accu_HTP-3-30-A1,Accu_HTP-3-30-A1,HTP-3-30-A1,BUY,316 stainless steel,Forward_Body_Assembly,base name,LEGACY_ID=HTP-3-30-A1;SOURCE_ID=HTP-3-30-A1,
SSCA-M3-8-A4-BL,Accu_SSCA-M3-8-A4-BL,Accu_SSCA-M3-8-A4-BL,SSCA-M3-8-A4-BL,BUY,A4-80 stainless steel,Aft_Service_Closure_Assembly; Arm_Activation_Powertrain_Assembly,base name + _01.._26,LEGACY_ID=SSCA-M3-8-A4-BL;SOURCE_ID=SSCA-M3-8-A4-BL,
SSCF-M3-10-A4,Accu_SSCF-M3-10-A4,Accu_SSCF-M3-10-A4,SSCF-M3-10-A4,BUY,A4-80 stainless steel,Arm_Activation_Powertrain_Assembly; Forward_Body_Assembly,base name + _01.._14,LEGACY_ID=SSCF-M3-10-A4;SOURCE_ID=SSCF-M3-10-A4,
SSCF-M3-6-A4,Accu_SSCF-M3-6-A4,Accu_SSCF-M3-6-A4,SSCF-M3-6-A4,BUY,A4-80 stainless steel,Forward_Body_Assembly,base name + _01.._04,LEGACY_ID=SSCF-M3-6-A4;SOURCE_ID=SSCF-M3-6-A4,
SSCL-M4-8-A4,Accu_SSCL-M4-8-A4,Accu_SSCL-M4-8-A4,SSCL-M4-8-A4,BUY,A4-80 stainless steel,Arm_Activation_Powertrain_Assembly,base name,LEGACY_ID=SSCL-M4-8-A4;SOURCE_ID=SSCL-M4-8-A4,
SSK-M3-6-A4-P80,Accu_SSK-M3-6-A4-P80,Accu_SSK-M3-6-A4-P80,SSK-M3-6-A4-P80,BUY,A4-80 stainless steel,Aft_Service_Closure_Assembly; Forward_Body_Assembly,base name + _01.._10,LEGACY_ID=SSK-M3-6-A4-P80;SOURCE_ID=SSK-M3-6-A4-P80,
WP05-HINGE-PIN-R2,Aft_Door_Hinge_Pin_SS,Aft_Door_Hinge_Pin_SS,,MAKE,17-4PH stainless steel,Aft_Service_Closure_Assembly,base name,LEGACY_ID=WP05-HINGE-PIN-R2;SOURCE_ID=WP05-HINGE-PIN-R2,
WP05-HINGE-CRESCENT-RING-R2,Aft_Door_Hinge_Retainer_SS,Aft_Door_Hinge_Retainer_SS,,MAKE,1.4310 stainless spring steel,Aft_Service_Closure_Assembly,base name,LEGACY_ID=WP05-HINGE-CRESCENT-RING-R2;SOURCE_ID=WP05-HINGE-CRESCENT-RING-R2,
DF8-R2-ARM-BLADE-001,Arm_Blade_TI,Arm_Blade_TI,,MAKE,Ti-6Al-4V,Arm_Activation_Powertrain_Assembly,base name + _01.._03,LEGACY_ID=DF8-R2-ARM-BLADE-001;SOURCE_ID=DF8-R2-ARM-BLADE-001,
DF8-R2-BACKUP-SPRING-FIXED-SEAT-001,BACKUP_SPRING_AFT_FIXED_SEAT_WITH_LONGERON_MOUNTING_TONGUE_TI,BACKUP_SPRING_AFT_FIXE_B90EEA99,,MAKE,Ti-6Al-4V,Arm_Activation_Powertrain_Assembly,base name,LEGACY_ID=DF8-R2-BACKUP-SPRING-FIXED-SEAT-001;SOURCE_ID=DF8-R2-BACKUP-SPRING-FIXED-SEAT-001,Deterministic 31-character Creo filename limit
DF8-R2-BACKUP-SPRING-MOVING-SEAT-001,BACKUP_SPRING_CROSSHEAD_SEAT_WITH_PILOTED_PERMANENT_LAND_SS,BACKUP_SPRING_CROSSHEA_30A72A2A,,MAKE,17-4PH stainless steel,Arm_Activation_Powertrain_Assembly,base name,LEGACY_ID=DF8-R2-BACKUP-SPRING-MOVING-SEAT-001;SOURCE_ID=DF8-R2-BACKUP-SPRING-MOVING-SEAT-001,Deterministic 31-character Creo filename limit
DF8-R2-BACKUP-SPRING-GUIDE-001,BACKUP_SPRING_DLC_GUIDE_SHAFT_WITH_TWO_FIXED_SUPPORT_SHOULDERS_SS,BACKUP_SPRING_DLC_GUID_CAD379D3,,MAKE,17-4PH stainless steel,Arm_Activation_Powertrain_Assembly,base name,LEGACY_ID=DF8-R2-BACKUP-SPRING-GUIDE-001;SOURCE_ID=DF8-R2-BACKUP-SPRING-GUIDE-001,Deterministic 31-character Creo filename limit
DF8-FINAL-BOWDEN-SHEATH-RING-GLAND,BOWDEN_SHEATH_TWO-COLLAR_BULKHEAD_GLAND_SS,BOWDEN_SHEATH_TWO-COLL_AD26AD3B,,MAKE,316 stainless steel,Arm_Activation_Powertrain_Assembly,base name + _01.._02,LEGACY_ID=DF8-FINAL-BOWDEN-SHEATH-RING-GLAND;SOURCE_ID=DF8-FINAL-BOWDEN-SHEATH-RING-GLAND,Deterministic 31-character Creo filename limit
WP04-FIXED-GUIDE-SLEEVE-R2,BULKHEAD-MOUNTED_FIXED_TELESCOPING_SPRING_GUIDE_AND_SEAT_PEEK,BULKHEAD-MOUNTED_FIXED_28A47F50,,MAKE,PEEK,Aft_Service_Closure_Assembly,base name,LEGACY_ID=WP04-FIXED-GUIDE-SLEEVE-R2;SOURCE_ID=WP04-FIXED-GUIDE-SLEEVE-R2,Deterministic 31-character Creo filename limit
DF8-R2-BOOSTER-COLLECTION-LINE-001,Booster_Collection_Line_SS,Booster_Collection_Line_SS,,MAKE,316 stainless steel,Forward_Body_Assembly,base name + _01.._03,LEGACY_ID=DF8-R2-BOOSTER-COLLECTION-LINE-001;SOURCE_ID=DF8-R2-BOOSTER-COLLECTION-LINE-001,
DF8-FINAL-BOWDEN-SHEATH-001,Bowden_Sheath,Bowden_Sheath,,MAKE,PTFE liner / 316 stainless spiral-and-overbraid composite / 316 swaged terminal sleeves,Arm_Activation_Powertrain_Assembly,base name,LEGACY_ID=DF8-FINAL-BOWDEN-SHEATH-001;SOURCE_ID=DF8-FINAL-BOWDEN-SHEATH-001,
DF8-FINAL-BOWDEN-WIRE-001,Bowden_Wire_SS,Bowden_Wire_SS,,MAKE,0.60 mm 1x19 cold-worked 316 stainless wire with 316 swaged terminal barrels,Arm_Activation_Powertrain_Assembly,base name,LEGACY_ID=DF8-FINAL-BOWDEN-WIRE-001;SOURCE_ID=DF8-FINAL-BOWDEN-WIRE-001,
DF8-R2-BOOSTER-BAND-001,CAPTIVE_BOOSTER_SUPPORT_BAND_WITH_M3_TAB_PEEK,CAPTIVE_BOOSTER_SUPPOR_F646D477,,MAKE,PEEK,Forward_Body_Assembly,base name + _01.._09,LEGACY_ID=DF8-R2-BOOSTER-BAND-001;SOURCE_ID=DF8-R2-BOOSTER-BAND-001,Deterministic 31-character Creo filename limit
DF8-R2-STOW-DOG-INHIBIT-KEEPER-001,CAPTIVE_CRESCENT_RETAINER_FOR_TRANSPORT-INHIBIT_PIN_SS,CAPTIVE_CRESCENT_RETAI_084350B9,,MAKE,1.4310 stainless spring steel,Arm_Activation_Powertrain_Assembly,base name + _01.._03,LEGACY_ID=DF8-R2-STOW-DOG-INHIBIT-KEEPER-001;SOURCE_ID=DF8-R2-STOW-DOG-INHIBIT-KEEPER-001,Deterministic 31-character Creo filename limit
WP05-DOOR-LANYARD-R2,CAPTIVE_DOOR_LANYARD_WITH_SWAGED_EYES_HMPE,CAPTIVE_DOOR_LANYARD_W_2FAC99C5,,MAKE,HMPE rope,Aft_Service_Closure_Assembly,base name,LEGACY_ID=WP05-DOOR-LANYARD-R2;SOURCE_ID=WP05-DOOR-LANYARD-R2,Deterministic 31-character Creo filename limit
DF8-R2-AUTO-LOCK-SPRING-001,CAPTIVE_LONG-STROKE_AUTOMATIC-LOCK_COMPRESSION_SPRING_SS,CAPTIVE_LONG-STROKE_AU_4967D225,,MAKE,1.4310 stainless spring steel,Arm_Activation_Powertrain_Assembly,base name + _01.._03,LEGACY_ID=DF8-R2-AUTO-LOCK-SPRING-001;SOURCE_ID=DF8-R2-AUTO-LOCK-SPRING-001,Deterministic 31-character Creo filename limit
WP04-FOL-001-R2,CAPTIVE_PEEK_FOLLOWER_WITH_THREE_GUIDE_SLOTS_PEEK,CAPTIVE_PEEK_FOLLOWER_201B193A,,MAKE,PEEK,Aft_Service_Closure_Assembly,base name,LEGACY_ID=WP04-FOL-001-R2;SOURCE_ID=WP04-FOL-001-R2,Deterministic 31-character Creo filename limit
WP04-LATCH-SEAR-R2,CAPTIVE_RADIAL_FOLLOWER_SEAR_PLUNGER_WITH_RETAINING_RING_SS,CAPTIVE_RADIAL_FOLLOWE_73E7523D,,MAKE,17-4PH stainless steel,Aft_Service_Closure_Assembly,base name,LEGACY_ID=WP04-LATCH-SEAR-R2;SOURCE_ID=WP04-LATCH-SEAR-R2,Deterministic 31-character Creo filename limit
DF8-R2-STOW-DOG-001,CAPTIVE_RADIAL_STOWED-RETENTION_DOG_WITH_TRANSPORT-INHIBIT_BORE_SS,CAPTIVE_RADIAL_STOWED-_9AE8B720,,MAKE,17-4PH stainless steel,Arm_Activation_Powertrain_Assembly,base name + _01.._03,LEGACY_ID=DF8-R2-STOW-DOG-001;SOURCE_ID=DF8-R2-STOW-DOG-001,Deterministic 31-character Creo filename limit
DF8-R2-STOW-DOG-RETURN-SPRING-001,CAPTIVE_STOW-DOG_RADIAL_RETURN_SPRING_SS,CAPTIVE_STOW-DOG_RADIA_BCFA9824,,MAKE,1.4310 stainless spring steel,Arm_Activation_Powertrain_Assembly,base name + _01.._03,LEGACY_ID=DF8-R2-STOW-DOG-RETURN-SPRING-001;SOURCE_ID=DF8-R2-STOW-DOG-RETURN-SPRING-001,Deterministic 31-character Creo filename limit
DF8-WATER-BOBBIN-SERVICE-CAP-001,CAPTIVE_WATER-BOBBIN_THREADED_BAYONET_SERVICE_CAP_SS,CAPTIVE_WATER-BOBBIN_T_11FDB4F5,,MAKE,316 stainless steel,Forward_Body_Assembly,base name,LEGACY_ID=DF8-WATER-BOBBIN-SERVICE-CAP-001;SOURCE_ID=DF8-WATER-BOBBIN-SERVICE-CAP-001,Deterministic 31-character Creo filename limit
DF8-R2-PUNCTURE-HEAD-001,CARTRIDGE_PUNCTURE_HEAD_WITH_CONTROLLED_NEEDLE_SS,CARTRIDGE_PUNCTURE_HEA_91C02C2E,,MAKE,17-4PH stainless steel,Forward_Body_Assembly,base name + _01.._04,LEGACY_ID=DF8-R2-PUNCTURE-HEAD-001;SOURCE_ID=DF8-R2-PUNCTURE-HEAD-001,Deterministic 31-character Creo filename limit
DF8-FORWARD-ARM-CG-TRIM-BALLAST-001,CENTERED_AFT_CG_TRIM_BALLAST_WITH_SIX_INTEGRAL_RETENTION_ARMS_W,CENTERED_AFT_CG_TRIM_B_62251E5F,,MAKE,Tungsten heavy alloy,Arm_Activation_Powertrain_Assembly,base name,LEGACY_ID=DF8-FORWARD-ARM-CG-TRIM-BALLAST-001;SOURCE_ID=DF8-FORWARD-ARM-CG-TRIM-BALLAST-001,Deterministic 31-character Creo filename limit
DF8-R2-CROSSHEAD-GUIDE-001,CENTRAL_DLC_CROSSHEAD_GUIDE_SHAFT_WITH_SPIDER_SHOULDER_SS,CENTRAL_DLC_CROSSHEAD_8B1517DF,,MAKE,17-4PH stainless steel,Arm_Activation_Powertrain_Assembly,base name,LEGACY_ID=DF8-R2-CROSSHEAD-GUIDE-001;SOURCE_ID=DF8-R2-CROSSHEAD-GUIDE-001,Deterministic 31-character Creo filename limit
DF8-R2-BACKUP-SPRING-16N-001,CONTROLLED_16_N_MM_GUIDED_BACKUP_COMPRESSION_SPRING_SS,CONTROLLED_16_N_MM_GUI_1196CFA1,,MAKE,1.4310 stainless spring steel,Arm_Activation_Powertrain_Assembly,base name,LEGACY_ID=DF8-R2-BACKUP-SPRING-16N-001;SOURCE_ID=DF8-R2-BACKUP-SPRING-16N-001,Deterministic 31-character Creo filename limit
DF8-FINAL-WP04-EJECTOR-SPRING-001,CONTROLLED_LONG-STROKE_GUIDED_EJECTOR_SPRING_SS,CONTROLLED_LONG-STROKE_0D6B1462,,MAKE,"EN 10270-3 1.4310 stainless spring wire, 2.00 mm",Aft_Service_Closure_Assembly,base name,LEGACY_ID=DF8-FINAL-WP04-EJECTOR-SPRING-001;SOURCE_ID=DF8-FINAL-WP04-EJECTOR-SPRING-001,Deterministic 31-character Creo filename limit
DF8-FINAL-MANIFOLD-FULLFLOW-FEED-001,Collection_Manifold_Fullflow_Feed_SS,Collection_Manifold_Fu_4DB6BFA6,,MAKE,ASTM A269 TP316L seamless capillary tube,Forward_Body_Assembly,base name,LEGACY_ID=DF8-FINAL-MANIFOLD-FULLFLOW-FEED-001;SOURCE_ID=DF8-FINAL-MANIFOLD-FULLFLOW-FEED-001,Deterministic 31-character Creo filename limit
DF8-R2-COLLECTION-MANIFOLD-001,Collection_Manifold_SS,Collection_Manifold_SS,,MAKE,316 stainless steel,Forward_Body_Assembly,base name,LEGACY_ID=DF8-R2-COLLECTION-MANIFOLD-001;SOURCE_ID=DF8-R2-COLLECTION-MANIFOLD-001,
DF8-R2-CROSSHEAD-001,Common_Crosshead_SS,Common_Crosshead_SS,,MAKE,17-4PH stainless steel,Arm_Activation_Powertrain_Assembly,base name,LEGACY_ID=DF8-R2-CROSSHEAD-001;SOURCE_ID=DF8-R2-CROSSHEAD-001,
DF8-R2-FULLFLOW-VALVE-001,DIRECT_FULL-FLOW_VALVE_WITH_BORED_AXIAL_AND_RADIAL_PORTS_SS,DIRECT_FULL-FLOW_VALVE_9C908483,,MAKE,17-4PH stainless steel,Forward_Body_Assembly,base name,LEGACY_ID=DF8-R2-FULLFLOW-VALVE-001;SOURCE_ID=DF8-R2-FULLFLOW-VALVE-001,Deterministic 31-character Creo filename limit
DF8-R2-ACTUATOR-FIXED-YOKE-GS19-001,DOUBLE-SHEAR_GS19_ANCHOR_YOKE_WITH_CONFORMAL_LONGERON_TONGUE_TI,DOUBLE-SHEAR_GS19_ANCH_E7BA99D1,,MAKE,Ti-6Al-4V,Arm_Activation_Powertrain_Assembly,base name,LEGACY_ID=DF8-R2-ACTUATOR-FIXED-YOKE-GS19-001;SOURCE_ID=DF8-R2-ACTUATOR-FIXED-YOKE-GS19-001,Deterministic 31-character Creo filename limit
DF8-R2-ACTUATOR-FIXED-YOKE-HBD-001,DOUBLE-SHEAR_HBD_ANCHOR_YOKE_WITH_CONFORMAL_LONGERON_TONGUE_TI,DOUBLE-SHEAR_HBD_ANCHO_A837427F,,MAKE,Ti-6Al-4V,Arm_Activation_Powertrain_Assembly,base name,LEGACY_ID=DF8-R2-ACTUATOR-FIXED-YOKE-HBD-001;SOURCE_ID=DF8-R2-ACTUATOR-FIXED-YOKE-HBD-001,Deterministic 31-character Creo filename limit
