artifact_id,source_path,filename,repository_or_worktree,branch,commit_sha,date,configuration_or_revision,relevance,status,sha256,size_bytes,notes
LA-011,C:\Users\ANDRE.ANDREWSPC\Documents\Codex\2026-08-25\stingray-i5-s-df8-14in-short-forward-powertrain-buoy\work\short14_external_buoy\validation\endpoints\endpoint_validation_summary.json,endpoint_validation_summary.json,C:\Users\ANDRE.ANDREWSPC\Documents\Codex\2026-08-25\stingray-i5-s-df8-14in-short-forward-powertrain-buoy,design/df8-14in-short-forward-powertrain-external-buoy,aa186c9c1c311c510ac34e48bd4170ef7636b7bf,2026-08-25T16:05:28-05:00,STINGRAY_I5S_DF8_SHORT14_FORWARD_POWERTRAIN_EXTERNAL_BUOY,STOWED/DEPLOYED endpoint summary,CURRENT DEVELOPMENTAL,1d7dd493b9802291e7b26e353197b18834e14234f45f535ded8cb8701ec1a6d3,76444,180 named occurrences and solids per state.
LA-012,C:\Users\ANDRE.ANDREWSPC\Documents\Codex\2026-08-25\stingray-i5-s-df8-14in-short-forward-powertrain-buoy\work\short14_external_buoy\EXTERNAL_BUOY_PACK_COMPONENT_REGISTER.csv,EXTERNAL_BUOY_PACK_COMPONENT_REGISTER.csv,C:\Users\ANDRE.ANDREWSPC\Documents\Codex\2026-08-25\stingray-i5-s-df8-14in-short-forward-powertrain-buoy,design/df8-14in-short-forward-powertrain-external-buoy,aa186c9c1c311c510ac34e48bd4170ef7636b7bf,2026-08-25T16:05:28-05:00,STINGRAY_I5S_DF8_SHORT14_FORWARD_POWERTRAIN_EXTERNAL_BUOY,External pack component and COTS/proxy register,CURRENT DEVELOPMENTAL,f4c6bcb86e014053eb18be1504e120b77d4e3912a80c29c7141b7789604a820c,13080,Hydro 1F remains a dimension-controlled proxy.
LA-013,C:\Users\ANDRE.ANDREWSPC\Documents\Codex\2026-08-25\stingray-i5-s-df8-14in-short-forward-powertrain-buoy\work\short14_external_buoy\BOM_DELTA.csv,BOM_DELTA.csv,C:\Users\ANDRE.ANDREWSPC\Documents\Codex\2026-08-25\stingray-i5-s-df8-14in-short-forward-powertrain-buoy,design/df8-14in-short-forward-powertrain-external-buoy,aa186c9c1c311c510ac34e48bd4170ef7636b7bf,2026-08-25T16:05:28-05:00,STINGRAY_I5S_DF8_SHORT14_FORWARD_POWERTRAIN_EXTERNAL_BUOY,Removed/added architecture definition delta,CURRENT DEVELOPMENTAL,c8c8d53021b9ba545b6d3916df83477c8f16e6352d512175893ab032ecd1a92a,76409,Tracks removal of internal inflation/ejector architecture.
LA-014,C:\Users\ANDRE.ANDREWSPC\Documents\Codex\2026-08-25\stingray-i5-s-df8-14in-short-forward-powertrain-buoy\work\short14_external_buoy\authoring_manifest.json,authoring_manifest.json,C:\Users\ANDRE.ANDREWSPC\Documents\Codex\2026-08-25\stingray-i5-s-df8-14in-short-forward-powertrain-buoy,design/df8-14in-short-forward-powertrain-external-buoy,aa186c9c1c311c510ac34e48bd4170ef7636b7bf,2026-08-25T16:05:28-05:00,STINGRAY_I5S_DF8_SHORT14_FORWARD_POWERTRAIN_EXTERNAL_BUOY,Authoring source manifest for newest local CAD,CURRENT DEVELOPMENTAL,af2dd8d54bca4b5e3337a2f04b4f302f94ba969d527d23d3eff4e7111a2f0547,1105,Bind regenerated outputs to this source tree and commit.
LA-015,C:\Users\ANDRE.ANDREWSPC\Documents\Codex\2026-08-25\stingray-i5-s-df8-14in-short-arm-buoy-pack\STINGRAY_I5S_DF8_14IN_SHORT_ARM_EXTERNAL_BUOY_STOWED_AP242.step,STINGRAY_I5S_DF8_14IN_SHORT_ARM_EXTERNAL_BUOY_STOWED_AP242.step,C:\Users\ANDRE.ANDREWSPC\Documents\Codex\2026-08-25\stingray-i5-s-df8-14in-short-arm-buoy-pack,design/df8-14in-short-arm-external-buoy-pack,0431fe05465ba59a1714f110a07c73f146131c96,2026-08-25T14:24:44-05:00,STINGRAY_I5S_DF8_14IN_SHORT_ARM_EXTERNAL_BUOY,Package 04 STOWED AP242,HISTORICAL,0e24135f35f86e5ec727bfcffa0f6d9c55195c44ab8af90c7a29b5a95cb505c7,15415537,Immediate predecessor to Package 05; not the newest CAD.
LA-016,C:\Users\ANDRE.ANDREWSPC\Documents\Codex\2026-08-25\stingray-i5-s-df8-14in-short-arm-buoy-pack\STINGRAY_I5S_DF8_14IN_SHORT_ARM_EXTERNAL_BUOY_DEPLOYED_AP242.step,STINGRAY_I5S_DF8_14IN_SHORT_ARM_EXTERNAL_BUOY_DEPLOYED_AP242.step,C:\Users\ANDRE.ANDREWSPC\Documents\Codex\2026-08-25\stingray-i5-s-df8-14in-short-arm-buoy-pack,design/df8-14in-short-arm-external-buoy-pack,0431fe05465ba59a1714f110a07c73f146131c96,2026-08-25T14:24:44-05:00,STINGRAY_I5S_DF8_14IN_SHORT_ARM_EXTERNAL_BUOY,Package 04 DEPLOYED AP242,HISTORICAL,dda7dde5140ff6a108f4e501f4a1e1d974a533b93403cc6ac13beb64f398d244,16929244,Immediate predecessor to Package 05; not the newest CAD.
LA-017,C:\Users\ANDRE.ANDREWSPC\Documents\Codex\2026-08-25\stingray-i5-s-df8-14in-short-arm-buoy-pack\STINGRAY_I5S_DF8_14IN_SHORT_ARM_EXTERNAL_BUOY_INSPECTION.zip,STINGRAY_I5S_DF8_14IN_SHORT_ARM_EXTERNAL_BUOY_INSPECTION.zip,C:\Users\ANDRE.ANDREWSPC\Documents\Codex\2026-08-25\stingray-i5-s-df8-14in-short-arm-buoy-pack,design/df8-14in-short-arm-external-buoy-pack,0431fe05465ba59a1714f110a07c73f146131c96,2026-08-25T14:24:44-05:00,STINGRAY_I5S_DF8_14IN_SHORT_ARM_EXTERNAL_BUOY,Package 04 owner-inspection ZIP,HISTORICAL,fe8254034291853678ae5a1f5b3d1bb8cb9d88eacafe12676dfb89f4afa92ff2,8071643,Immediate predecessor to Package 05; not the newest CAD.
LA-018,C:\Users\ANDRE.ANDREWSPC\Documents\Codex\2026-08-25\stingray-i5-s-df8-14in-short-arm-buoy-pack\VALIDATION_SUMMARY.md,VALIDATION_SUMMARY.md,C:\Users\ANDRE.ANDREWSPC\Documents\Codex\2026-08-25\stingray-i5-s-df8-14in-short-arm-buoy-pack,design/df8-14in-short-arm-external-buoy-pack,0431fe05465ba59a1714f110a07c73f146131c96,2026-08-25T14:24:44-05:00,STINGRAY_I5S_DF8_14IN_SHORT_ARM_EXTERNAL_BUOY,Package 04 validation summary,HISTORICAL,a710cc3e10aa114bede078c39d8243968aa5130b2d7cc70c4d01f703fcee59cd,1203,Immediate predecessor to Package 05; not the newest CAD.
LA-019,C:\Users\ANDRE.ANDREWSPC\Documents\Codex\2026-08-25\stingray-i5-s-df8-14in-short-arm-buoy-pack\VALIDATION_SUMMARY.json,VALIDATION_SUMMARY.json,C:\Users\ANDRE.ANDREWSPC\Documents\Codex\2026-08-25\stingray-i5-s-df8-14in-short-arm-buoy-pack,design/df8-14in-short-arm-external-buoy-pack,0431fe05465ba59a1714f110a07c73f146131c96,2026-08-25T14:24:44-05:00,STINGRAY_I5S_DF8_14IN_SHORT_ARM_EXTERNAL_BUOY,Package 04 machine-readable validation,HISTORICAL,a74d5ad8950807ec83222be01ef00e072e5d56bad995387b6da2d76a71942257,14510,Immediate predecessor to Package 05; not the newest CAD.
LA-020,C:\Users\ANDRE.ANDREWSPC\Documents\Codex\2026-08-25\stingray-i5-s-df8-14in-short-arm-buoy-pack\SHORT_ARM_EXTERNAL_BUOY_DESIGN_REPORT.md,SHORT_ARM_EXTERNAL_BUOY_DESIGN_REPORT.md,C:\Users\ANDRE.ANDREWSPC\Documents\Codex\2026-08-25\stingray-i5-s-df8-14in-short-arm-buoy-pack,design/df8-14in-short-arm-external-buoy-pack,0431fe05465ba59a1714f110a07c73f146131c96,2026-08-25T14:24:44-05:00,STINGRAY_I5S_DF8_14IN_SHORT_ARM_EXTERNAL_BUOY,Package 04 architecture report,HISTORICAL,d3d4c60609712b8d61fc7c309b9d20aaa44756d45611234495e5056f628d576f,3132,Immediate predecessor to Package 05; not the newest CAD.
LA-021,C:\Users\ANDRE.ANDREWSPC\Documents\Codex\2026-08-25\stingray-i5-s-df8-14in-short-arm-buoy-pack\SHORT_ARM_MISSION_ENVELOPE_COMPARISON.md,SHORT_ARM_MISSION_ENVELOPE_COMPARISON.md,C:\Users\ANDRE.ANDREWSPC\Documents\Codex\2026-08-25\stingray-i5-s-df8-14in-short-arm-buoy-pack,design/df8-14in-short-arm-external-buoy-pack,0431fe05465ba59a1714f110a07c73f146131c96,2026-08-25T14:24:44-05:00,STINGRAY_I5S_DF8_14IN_SHORT_ARM_EXTERNAL_BUOY,Package 04 mission-envelope comparison,HISTORICAL,1ae7b8c1bf4c9d13c3a1659d82a3bf0505d219662be8f389b5cdffd875ef0f7d,1505,Immediate predecessor to Package 05; not the newest CAD.
LA-022,C:\Users\ANDRE.ANDREWSPC\Documents\Codex\2026-08-25\stingray-i5-s-df8-14in-short-arm-buoy-pack\FINAL_MASS_CG_INERTIA.json,FINAL_MASS_CG_INERTIA.json,C:\Users\ANDRE.ANDREWSPC\Documents\Codex\2026-08-25\stingray-i5-s-df8-14in-short-arm-buoy-pack,design/df8-14in-short-arm-external-buoy-pack,0431fe05465ba59a1714f110a07c73f146131c96,2026-08-25T14:24:44-05:00,STINGRAY_I5S_DF8_14IN_SHORT_ARM_EXTERNAL_BUOY,Package 04 mass/CG/inertia,HISTORICAL,c60138b2a49fad912516f3a1192a38878ddaea6a3b63999c1132f4d8ef1676bc,126401,Immediate predecessor to Package 05; not the newest CAD.
LA-023,C:\Users\ANDRE.ANDREWSPC\Documents\Codex\2026-08-25\stingray-i5-s-df8-14in-short-arm-buoy-pack\work\short_arm_external_buoy\inspection_package_manifest.json,inspection_package_manifest.json,C:\Users\ANDRE.ANDREWSPC\Documents\Codex\2026-08-25\stingray-i5-s-df8-14in-short-arm-buoy-pack,design/df8-14in-short-arm-external-buoy-pack,0431fe05465ba59a1714f110a07c73f146131c96,2026-08-25T14:24:44-05:00,STINGRAY_I5S_DF8_14IN_SHORT_ARM_EXTERNAL_BUOY,Package 04 inspection manifest,HISTORICAL,3b84ef4ac659c226e151bad8caf9913d320eaa0dff3dd8f0c935fe21286b54e8,5786,Immediate predecessor to Package 05; not the newest CAD.
LA-024,C:\Users\ANDRE.ANDREWSPC\Documents\Codex\2026-08-24\stingray-i5-s-df8-forward-arm-repack\STINGRAY_I5S_DF8_FORWARD_ARM_REPACK_INSPECTION.zip,STINGRAY_I5S_DF8_FORWARD_ARM_REPACK_INSPECTION.zip,C:\Users\ANDRE.ANDREWSPC\Documents\Codex\2026-08-24\stingray-i5-s-df8-forward-arm-repack,design/df8-forward-arm-repack,a31fce0e768f354b1831331bc2ed145223c8b2c4,2026-08-24T15:33:07-05:00,DF8_FORWARD_ARM_REPACK_PIVOT_Z_480,Owner-inspection ZIP for 480 mm forward-arm checkpoint,HISTORICAL,e2abcd407afaaccaa5be87befde371b65d84317449dfbc127022309914cac20e,10719588,Source baseline for the later true-forward-powertrain SHORT14 branch.
LA-025,C:\Users\ANDRE.ANDREWSPC\Documents\Codex\2026-08-24\stingray-i5-s-df8-forward-arm-repack\work\forward_arm_repack\FORWARD_ARM_REPACK_COMPARISON.md,FORWARD_ARM_REPACK_COMPARISON.md,C:\Users\ANDRE.ANDREWSPC\Documents\Codex\2026-08-24\stingray-i5-s-df8-forward-arm-repack,design/df8-forward-arm-repack,a31fce0e768f354b1831331bc2ed145223c8b2c4,2026-08-24T15:33:07-05:00,DF8_FORWARD_ARM_REPACK_PIVOT_Z_480,Forward-arm geometry comparison,HISTORICAL,c8f37854c718798a6cb4b2a9c3219e2f24a50a64b0e02f3895221ba7b6066852,4145,Source baseline for the later true-forward-powertrain SHORT14 branch.
LA-026,C:\Users\ANDRE.ANDREWSPC\Documents\Codex\2026-08-24\stingray-i5-s-df8-forward-arm-repack\work\forward_arm_repack\five_angle_boolean_gate_pass2\five_angle_exact_boolean_summary.json,five_angle_exact_boolean_summary.json,C:\Users\ANDRE.ANDREWSPC\Documents\Codex\2026-08-24\stingray-i5-s-df8-forward-arm-repack,design/df8-forward-arm-repack,a31fce0e768f354b1831331bc2ed145223c8b2c4,2026-08-24T15:33:07-05:00,DF8_FORWARD_ARM_REPACK_PIVOT_Z_480,Accepted five-angle exact Boolean result,HISTORICAL,e3969758a64d33ee0c2f87a35c84fd6de10f73aa99fce481a9596125d511b23f,63381,Source baseline for the later true-forward-powertrain SHORT14 branch.
LA-027,C:\Users\ANDRE.ANDREWSPC\Documents\Codex\2026-08-24\stingray-i5-s-df8-forward-arm-repack\work\forward_arm_repack\mass_cg_inertia_comparison.json,mass_cg_inertia_comparison.json,C:\Users\ANDRE.ANDREWSPC\Documents\Codex\2026-08-24\stingray-i5-s-df8-forward-arm-repack,design/df8-forward-arm-repack,a31fce0e768f354b1831331bc2ed145223c8b2c4,2026-08-24T15:33:07-05:00,DF8_FORWARD_ARM_REPACK_PIVOT_Z_480,Forward-arm mass/CG comparison,HISTORICAL,1fdf6ed29981982f7e4303b3a548b7344cfa449cfed94391f2233a72a5bbe8da,1738,Source baseline for the later true-forward-powertrain SHORT14 branch.
LA-028,C:\Users\ANDRE.ANDREWSPC\Documents\Codex\2026-08-24\stingray-i5-s-df8-forward-arm-repack\work\forward_arm_repack\targeted_validation_summary.json,targeted_validation_summary.json,C:\Users\ANDRE.ANDREWSPC\Documents\Codex\2026-08-24\stingray-i5-s-df8-forward-arm-repack,design/df8-forward-arm-repack,a31fce0e768f354b1831331bc2ed145223c8b2c4,2026-08-24T15:33:07-05:00,DF8_FORWARD_ARM_REPACK_PIVOT_Z_480,Forward-arm targeted validation summary,HISTORICAL,ce0be0ad1a3c64c8358c0ab1928854604db325b8eaaa94374eef36e85ca40c13,62556,Source baseline for the later true-forward-powertrain SHORT14 branch.
LA-029,C:\Users\ANDRE.ANDREWSPC\Documents\Codex\2026-08-25\stingray-i5-s-df8-final-commercial-module\COMMERCIAL_AUTOMATIC_MODULE_EVIDENCE.csv,COMMERCIAL_AUTOMATIC_MODULE_EVIDENCE.csv,C:\Users\ANDRE.ANDREWSPC\Documents\Codex\2026-08-25\stingray-i5-s-df8-final-commercial-module,design/df8-final-commercial-module-closure,f8c38b16eb3ed80a9180254f9ee8ddad5a40f3da,2026-08-25T09:23:13-05:00,FIXED_480_COMMERCIAL_AUTOMATIC_MODULE_CLOSURE,Exact commercial module evidence matrix,HISTORICAL,ab054ed9ac8cedf2ae4330b9237d6b36c7d021739b5112da701bee9a5036c516,5431,Terminal fixed-480 internal/commercial-module non-pass; no CAD branch output authorized.
LA-030,C:\Users\ANDRE.ANDREWSPC\Documents\Codex\2026-08-25\stingray-i5-s-df8-final-commercial-module\COMMERCIAL_AUTOMATIC_MODULE_EVIDENCE.json,COMMERCIAL_AUTOMATIC_MODULE_EVIDENCE.json,C:\Users\ANDRE.ANDREWSPC\Documents\Codex\2026-08-25\stingray-i5-s-df8-final-commercial-module,design/df8-final-commercial-module-closure,f8c38b16eb3ed80a9180254f9ee8ddad5a40f3da,2026-08-25T09:23:13-05:00,FIXED_480_COMMERCIAL_AUTOMATIC_MODULE_CLOSURE,Machine-readable module evidence matrix,HISTORICAL,326555a4ba2291a98c1aae9c18b16012b2b886395b987344dda85fe139b6ad85,8039,Terminal fixed-480 internal/commercial-module non-pass; no CAD branch output authorized.
LA-031,C:\Users\ANDRE.ANDREWSPC\Documents\Codex\2026-08-25\stingray-i5-s-df8-final-commercial-module\COMMERCIAL_MODULE_PACKAGE_GATE_FINAL.md,COMMERCIAL_MODULE_PACKAGE_GATE_FINAL.md,C:\Users\ANDRE.ANDREWSPC\Documents\Codex\2026-08-25\stingray-i5-s-df8-final-commercial-module,design/df8-final-commercial-module-closure,f8c38b16eb3ed80a9180254f9ee8ddad5a40f3da,2026-08-25T09:23:13-05:00,FIXED_480_COMMERCIAL_AUTOMATIC_MODULE_CLOSURE,Commercial module gate disposition,HISTORICAL,25a315eb7a0489c604b7feb9bcf5e33e06ae9c48d642853414ae051cb6aedcad,6098,Terminal fixed-480 internal/commercial-module non-pass; no CAD branch output authorized.
LA-032,C:\Users\ANDRE.ANDREWSPC\Documents\Codex\2026-08-25\stingray-i5-s-df8-final-commercial-module\COMMERCIAL_MODULE_PACKAGE_SCREEN.csv,COMMERCIAL_MODULE_PACKAGE_SCREEN.csv,C:\Users\ANDRE.ANDREWSPC\Documents\Codex\2026-08-25\stingray-i5-s-df8-final-commercial-module,design/df8-final-commercial-module-closure,f8c38b16eb3ed80a9180254f9ee8ddad5a40f3da,2026-08-25T09:23:13-05:00,FIXED_480_COMMERCIAL_AUTOMATIC_MODULE_CLOSURE,Complete module package screen,HISTORICAL,5713003d97bca5adea822916065131c19c1c01b0781a6660173c8aa0d17d0b9a,1967,Terminal fixed-480 internal/commercial-module non-pass; no CAD branch output authorized.
LA-033,C:\Users\ANDRE.ANDREWSPC\Documents\Codex\2026-08-25\stingray-i5-s-df8-final-commercial-module\COMMERCIAL_MODULE_NONPASS_MANIFEST.json,COMMERCIAL_MODULE_NONPASS_MANIFEST.json,C:\Users\ANDRE.ANDREWSPC\Documents\Codex\2026-08-25\stingray-i5-s-df8-final-commercial-module,design/df8-final-commercial-module-closure,f8c38b16eb3ed80a9180254f9ee8ddad5a40f3da,2026-08-25T09:23:13-05:00,FIXED_480_COMMERCIAL_AUTOMATIC_MODULE_CLOSURE,Measured non-pass manifest,HISTORICAL,3483a59806d112a4310f938c13df6a01b52eef6e33f0de3bac06a66f66bc00dc,2767,Terminal fixed-480 internal/commercial-module non-pass; no CAD branch output authorized.
LA-034,C:\Users\ANDRE.ANDREWSPC\Documents\Codex\2026-08-25\stingray-i5-s-df8-final-commercial-module\COMMERCIAL_MODULE_NONPASS_README.md,COMMERCIAL_MODULE_NONPASS_README.md,C:\Users\ANDRE.ANDREWSPC\Documents\Codex\2026-08-25\stingray-i5-s-df8-final-commercial-module,design/df8-final-commercial-module-closure,f8c38b16eb3ed80a9180254f9ee8ddad5a40f3da,2026-08-25T09:23:13-05:00,FIXED_480_COMMERCIAL_AUTOMATIC_MODULE_CLOSURE,Measured non-pass handoff,HISTORICAL,2b822176541709628606048611f1fafe6ef730186b0a8687f7f6c6184d211dcc,757,Terminal fixed-480 internal/commercial-module non-pass; no CAD branch output authorized.
