occurrence_id,delta_action,baseline_definition,final_definition,baseline_mass_kg,final_mass_kg,mass_delta_kg,baseline_parent_path,final_parent_path,reason
AFT-LONGERON-FWD-3,ADDED,N/A,DF8-SHORT14-AFT-LONGERON-FWD-001,0.000000,0.026677,0.026677,N/A,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/510_SHORTENED_AFT_STRUCTURE_ASSY,New SHORT14/external-buoy occurrence
AFT-REPACK-SHELL-001,REMOVED,DF8-FORWARD-ARM-AFT-REPACK-SHELL-001,N/A,0.345758,0.000000,-0.345758,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY,N/A,Replaced by the exact 1675.400 mm rigid-body stack
AFT-ROUTE-RING-001,REMOVED,DF8-R2-AFT-ROUTE-RING-001,N/A,0.046503,0.000000,-0.046503,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY,N/A,Replaced by the exact 1675.400 mm rigid-body stack
AFT-SHELL-001,REMOVED,DF8-R2-AFT-SHELL-001,N/A,0.248515,0.000000,-0.248515,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY,N/A,Replaced by the exact 1675.400 mm rigid-body stack
ARM-1,RETAINED_MODIFIED_DEFINITION,DF8-R2-ARM-BLADE-001,DF8-SHORT14-ARM-BLADE-001,0.116517,0.064450,-0.052067,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/331_ARM_1_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/331_ARM_1_ASSY,Definition transformed for the SHORT14 configuration
ARM-2,RETAINED_MODIFIED_DEFINITION,DF8-R2-ARM-BLADE-001,DF8-SHORT14-ARM-BLADE-001,0.116517,0.064450,-0.052067,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/332_ARM_2_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/332_ARM_2_ASSY,Definition transformed for the SHORT14 configuration
ARM-3,RETAINED_MODIFIED_DEFINITION,DF8-R2-ARM-BLADE-001,DF8-SHORT14-ARM-BLADE-001,0.116517,0.064450,-0.052067,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/333_ARM_3_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/333_ARM_3_ASSY,Definition transformed for the SHORT14 configuration
ARM-LONGERON-1,RETAINED_MODIFIED_DEFINITION,DF8-R2-ROUTED-LONGERON-001,DF8-SHORT14-ARM-LONGERON-001,0.048939,0.025579,-0.023359,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY,Definition transformed for the SHORT14 configuration
ARM-LONGERON-2,RETAINED_MODIFIED_DEFINITION,DF8-R2-ROUTED-LONGERON-001,DF8-SHORT14-ARM-LONGERON-001,0.048939,0.025579,-0.023359,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY,Definition transformed for the SHORT14 configuration
ARM-LONGERON-3,RETAINED_MODIFIED_DEFINITION,DF8-R2-BACKUP-GUIDE-LONGERON-003,DF8-SHORT14-BACKUP-GUIDE-LONGERON-003,0.048721,0.025362,-0.023359,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY,Definition transformed for the SHORT14 configuration
ARM-STOP-PAD-1,RETAINED_UNCHANGED,DF8-R2-ARM-STOP-PAD-001,DF8-R2-ARM-STOP-PAD-001,0.001177,0.001177,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/331_ARM_1_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/331_ARM_1_ASSY,Source occurrence retained
ARM-STOP-PAD-2,RETAINED_UNCHANGED,DF8-R2-ARM-STOP-PAD-001,DF8-R2-ARM-STOP-PAD-001,0.001177,0.001177,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/332_ARM_2_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/332_ARM_2_ASSY,Source occurrence retained
ARM-STOP-PAD-3,RETAINED_UNCHANGED,DF8-R2-ARM-STOP-PAD-001,DF8-R2-ARM-STOP-PAD-001,0.001177,0.001177,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/333_ARM_3_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/333_ARM_3_ASSY,Source occurrence retained
ARM-STOP-SCREW-1-1,RETAINED_UNCHANGED,SSCA-M3-8-A4-BL,SSCA-M3-8-A4-BL,0.000800,0.000800,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/390_MANDATORY_HARDWARE_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/390_MANDATORY_HARDWARE_ASSY,Source occurrence retained
ARM-STOP-SCREW-1-2,RETAINED_UNCHANGED,SSCA-M3-8-A4-BL,SSCA-M3-8-A4-BL,0.000800,0.000800,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/390_MANDATORY_HARDWARE_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/390_MANDATORY_HARDWARE_ASSY,Source occurrence retained
ARM-STOP-SCREW-2-1,RETAINED_UNCHANGED,SSCA-M3-8-A4-BL,SSCA-M3-8-A4-BL,0.000800,0.000800,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/390_MANDATORY_HARDWARE_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/390_MANDATORY_HARDWARE_ASSY,Source occurrence retained
ARM-STOP-SCREW-2-2,RETAINED_UNCHANGED,SSCA-M3-8-A4-BL,SSCA-M3-8-A4-BL,0.000800,0.000800,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/390_MANDATORY_HARDWARE_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/390_MANDATORY_HARDWARE_ASSY,Source occurrence retained
ARM-STOP-SCREW-3-1,RETAINED_UNCHANGED,SSCA-M3-8-A4-BL,SSCA-M3-8-A4-BL,0.000800,0.000800,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/390_MANDATORY_HARDWARE_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/390_MANDATORY_HARDWARE_ASSY,Source occurrence retained
ARM-STOP-SCREW-3-2,RETAINED_UNCHANGED,SSCA-M3-8-A4-BL,SSCA-M3-8-A4-BL,0.000800,0.000800,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/390_MANDATORY_HARDWARE_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/390_MANDATORY_HARDWARE_ASSY,Source occurrence retained
ARM-TERMINATION-RING-001,RETAINED_MODIFIED_DEFINITION,DF8-FORWARD-ARM-TERMINATION-RING-001,DF8-SHORT14-ARM-TERMINATION-RING-001,0.044224,0.028944,-0.015279,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY,Definition transformed for the SHORT14 configuration
BACKUP-GUIDE-SCREW-1,RETAINED_UNCHANGED,SSCF-M3-10-A4,SSCF-M3-10-A4,0.000880,0.000880,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/390_MANDATORY_HARDWARE_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/390_MANDATORY_HARDWARE_ASSY,Source occurrence retained
BACKUP-GUIDE-SCREW-2,RETAINED_UNCHANGED,SSCF-M3-10-A4,SSCF-M3-10-A4,0.000880,0.000880,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/390_MANDATORY_HARDWARE_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY/390_MANDATORY_HARDWARE_ASSY,Source occurrence retained
BACKUP-SPRING-001,RETAINED_UNCHANGED,DF8-R2-BACKUP-SPRING-16N-001,DF8-R2-BACKUP-SPRING-16N-001,0.092000,0.092000,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY,Source occurrence retained
BACKUP-SPRING-FIXED-SEAT,RETAINED_UNCHANGED,DF8-R2-BACKUP-SPRING-FIXED-SEAT-001,DF8-R2-BACKUP-SPRING-FIXED-SEAT-001,0.004206,0.004206,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY,Source occurrence retained
BACKUP-SPRING-GUIDE,RETAINED_UNCHANGED,DF8-R2-BACKUP-SPRING-GUIDE-001,DF8-R2-BACKUP-SPRING-GUIDE-001,0.029069,0.029069,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY,Source occurrence retained
BACKUP-SPRING-MOVING-SEAT,RETAINED_UNCHANGED,DF8-R2-BACKUP-SPRING-MOVING-SEAT-001,DF8-R2-BACKUP-SPRING-MOVING-SEAT-001,0.007388,0.007388,0.000000,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY,Source occurrence retained
BALLAST-001,RETAINED_UNCHANGED,DF8-R2-BALLAST-001,DF8-R2-BALLAST-001,4.884228,4.884228,0.000000,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY,Source occurrence retained
BODY-HARDPOINT-001,REMOVED,WP04-RHP-001-R2,N/A,0.025434,0.000000,-0.025434,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY,N/A,Replaced by external buoy panels and the independent structural tether load path
BOOSTER-1,REMOVED,DF8-R2-BOOSTER-RESERVOIR-001,N/A,0.137602,0.000000,-0.137602,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY,N/A,Removed with the internal inflation architecture
BOOSTER-2,REMOVED,DF8-R2-BOOSTER-RESERVOIR-001,N/A,0.137602,0.000000,-0.137602,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY,N/A,Removed with the internal inflation architecture
BOOSTER-3,REMOVED,DF8-R2-BOOSTER-RESERVOIR-001,N/A,0.137602,0.000000,-0.137602,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY,N/A,Removed with the internal inflation architecture
BOOSTER-AFT-CLOSURE-1,REMOVED,DF8-R2-BOOSTER-AFT-WELDED-CLOSURE-001,N/A,0.001006,0.000000,-0.001006,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY,N/A,Removed with the internal inflation architecture
BOOSTER-AFT-CLOSURE-2,REMOVED,DF8-R2-BOOSTER-AFT-WELDED-CLOSURE-001,N/A,0.001006,0.000000,-0.001006,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY,N/A,Removed with the internal inflation architecture
BOOSTER-AFT-CLOSURE-3,REMOVED,DF8-R2-BOOSTER-AFT-WELDED-CLOSURE-001,N/A,0.001006,0.000000,-0.001006,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY,N/A,Removed with the internal inflation architecture
BOOSTER-BAND-1-1,REMOVED,DF8-R2-BOOSTER-BAND-001,N/A,0.000246,0.000000,-0.000246,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY,N/A,Removed with the internal inflation architecture
BOOSTER-BAND-1-2,REMOVED,DF8-R2-BOOSTER-BAND-001,N/A,0.000246,0.000000,-0.000246,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY,N/A,Removed with the internal inflation architecture
BOOSTER-BAND-1-3,REMOVED,DF8-R2-BOOSTER-BAND-001,N/A,0.000246,0.000000,-0.000246,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY,N/A,Removed with the internal inflation architecture
BOOSTER-BAND-2-1,REMOVED,DF8-R2-BOOSTER-BAND-001,N/A,0.000246,0.000000,-0.000246,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY,N/A,Removed with the internal inflation architecture
BOOSTER-BAND-2-2,REMOVED,DF8-R2-BOOSTER-BAND-001,N/A,0.000246,0.000000,-0.000246,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY,N/A,Removed with the internal inflation architecture
BOOSTER-BAND-2-3,REMOVED,DF8-R2-BOOSTER-BAND-001,N/A,0.000246,0.000000,-0.000246,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY,N/A,Removed with the internal inflation architecture
BOOSTER-BAND-3-1,REMOVED,DF8-R2-BOOSTER-BAND-001,N/A,0.000246,0.000000,-0.000246,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY,N/A,Removed with the internal inflation architecture
BOOSTER-BAND-3-2,REMOVED,DF8-R2-BOOSTER-BAND-001,N/A,0.000246,0.000000,-0.000246,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY,N/A,Removed with the internal inflation architecture
BOOSTER-BAND-3-3,REMOVED,DF8-R2-BOOSTER-BAND-001,N/A,0.000246,0.000000,-0.000246,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY,N/A,Removed with the internal inflation architecture
BOOSTER-CLAMP-SCREW-1-1,REMOVED,SSCF-M3-10-A4,N/A,0.000880,0.000000,-0.000880,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY/190_MANDATORY_HARDWARE_ASSY,N/A,Removed with the internal inflation architecture
BOOSTER-CLAMP-SCREW-1-2,REMOVED,SSCF-M3-10-A4,N/A,0.000880,0.000000,-0.000880,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY/190_MANDATORY_HARDWARE_ASSY,N/A,Removed with the internal inflation architecture
BOOSTER-CLAMP-SCREW-1-3,REMOVED,SSCF-M3-10-A4,N/A,0.000880,0.000000,-0.000880,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY/190_MANDATORY_HARDWARE_ASSY,N/A,Removed with the internal inflation architecture
BOOSTER-CLAMP-SCREW-2-1,REMOVED,SSCF-M3-10-A4,N/A,0.000880,0.000000,-0.000880,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY/190_MANDATORY_HARDWARE_ASSY,N/A,Removed with the internal inflation architecture
BOOSTER-CLAMP-SCREW-2-2,REMOVED,SSCF-M3-10-A4,N/A,0.000880,0.000000,-0.000880,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY/190_MANDATORY_HARDWARE_ASSY,N/A,Removed with the internal inflation architecture
BOOSTER-CLAMP-SCREW-2-3,REMOVED,SSCF-M3-10-A4,N/A,0.000880,0.000000,-0.000880,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY/190_MANDATORY_HARDWARE_ASSY,N/A,Removed with the internal inflation architecture
BOOSTER-CLAMP-SCREW-3-1,REMOVED,SSCF-M3-10-A4,N/A,0.000880,0.000000,-0.000880,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY/190_MANDATORY_HARDWARE_ASSY,N/A,Removed with the internal inflation architecture
BOOSTER-CLAMP-SCREW-3-2,REMOVED,SSCF-M3-10-A4,N/A,0.000880,0.000000,-0.000880,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY/190_MANDATORY_HARDWARE_ASSY,N/A,Removed with the internal inflation architecture
BOOSTER-CLAMP-SCREW-3-3,REMOVED,SSCF-M3-10-A4,N/A,0.000880,0.000000,-0.000880,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY/190_MANDATORY_HARDWARE_ASSY,N/A,Removed with the internal inflation architecture
BOOSTER-COLLECTION-LINE-1,REMOVED,DF8-R2-BOOSTER-COLLECTION-LINE-001,N/A,0.007533,0.000000,-0.007533,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY,N/A,Removed with the internal inflation architecture
BOOSTER-COLLECTION-LINE-2,REMOVED,DF8-R2-BOOSTER-COLLECTION-LINE-001,N/A,0.007533,0.000000,-0.007533,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY,N/A,Removed with the internal inflation architecture
BOOSTER-COLLECTION-LINE-3,REMOVED,DF8-R2-BOOSTER-COLLECTION-LINE-001,N/A,0.007533,0.000000,-0.007533,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY,N/A,Removed with the internal inflation architecture
BOOSTER-FWD-CLOSURE-1,REMOVED,DF8-R2-BOOSTER-FWD-ADAPTER-CLOSURE-001,N/A,0.001274,0.000000,-0.001274,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY,N/A,Removed with the internal inflation architecture
BOOSTER-FWD-CLOSURE-2,REMOVED,DF8-R2-BOOSTER-FWD-ADAPTER-CLOSURE-001,N/A,0.001274,0.000000,-0.001274,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY,N/A,Removed with the internal inflation architecture
BOOSTER-FWD-CLOSURE-3,REMOVED,DF8-R2-BOOSTER-FWD-ADAPTER-CLOSURE-001,N/A,0.001274,0.000000,-0.001274,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY,N/A,Removed with the internal inflation architecture
BOOSTER-ISOLATION-VALVE-1,REMOVED,SS-CHS2-1,N/A,0.025000,0.000000,-0.025000,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY,N/A,Removed with the internal inflation architecture
BOOSTER-ISOLATION-VALVE-2,REMOVED,SS-CHS2-1,N/A,0.025000,0.000000,-0.025000,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY,N/A,Removed with the internal inflation architecture
BOOSTER-ISOLATION-VALVE-3,REMOVED,SS-CHS2-1,N/A,0.025000,0.000000,-0.025000,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY,N/A,Removed with the internal inflation architecture
BUOY-CO2-CARTRIDGE-81121,ADDED,N/A,LELAND-81121,0.000000,0.045000,0.045000,N/A,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/530_BUOY_MOUNTED_INFLATION_ASSY,New SHORT14/external-buoy occurrence
BUOY-GORE-01,REMOVED,DF8-R2-BUOY-GORE-01,N/A,0.023750,0.000000,-0.023750,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY,N/A,Replaced by external buoy panels and the independent structural tether load path
BUOY-GORE-02,REMOVED,DF8-R2-BUOY-GORE-02,N/A,0.023750,0.000000,-0.023750,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY,N/A,Replaced by external buoy panels and the independent structural tether load path
BUOY-GORE-03,REMOVED,DF8-R2-BUOY-GORE-03,N/A,0.023750,0.000000,-0.023750,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY,N/A,Replaced by external buoy panels and the independent structural tether load path
BUOY-GORE-04,REMOVED,DF8-R2-BUOY-GORE-04,N/A,0.023750,0.000000,-0.023750,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY,N/A,Replaced by external buoy panels and the independent structural tether load path
BUOY-GORE-05,REMOVED,DF8-R2-BUOY-GORE-05,N/A,0.023750,0.000000,-0.023750,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY,N/A,Replaced by external buoy panels and the independent structural tether load path
BUOY-GORE-06,REMOVED,DF8-R2-BUOY-GORE-06,N/A,0.023750,0.000000,-0.023750,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY,N/A,Replaced by external buoy panels and the independent structural tether load path
BUOY-GORE-07,REMOVED,DF8-R2-BUOY-GORE-07,N/A,0.023750,0.000000,-0.023750,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY,N/A,Replaced by external buoy panels and the independent structural tether load path
BUOY-GORE-08,REMOVED,DF8-R2-BUOY-GORE-08,N/A,0.023750,0.000000,-0.023750,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY,N/A,Replaced by external buoy panels and the independent structural tether load path
BUOY-INLET-MANIFOLD,ADDED,N/A,DF8-SHORT14-BUOY-INLET-MANIFOLD-001,0.000000,0.004987,0.004987,N/A,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/530_BUOY_MOUNTED_INFLATION_ASSY,New SHORT14/external-buoy occurrence
BUOY-INLET-PATCH,ADDED,N/A,DF8-SHORT14-BUOY-INLET-REINFORCEMENT-PATCH-001,0.000000,0.026000,0.026000,N/A,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/530_BUOY_MOUNTED_INFLATION_ASSY,New SHORT14/external-buoy occurrence
CARTRIDGE-CARRIER-AFT,REMOVED,DF8-R2-CARTRIDGE-CARRIER-001,N/A,0.002615,0.000000,-0.002615,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY,N/A,Removed with the internal inflation architecture
CARTRIDGE-CARRIER-FWD,REMOVED,DF8-R2-CARTRIDGE-CARRIER-001,N/A,0.002615,0.000000,-0.002615,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY,N/A,Removed with the internal inflation architecture
CG-TRIM-BALLAST-001,REMOVED,DF8-FORWARD-ARM-CG-TRIM-BALLAST-001,N/A,0.351134,0.000000,-0.351134,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY,N/A,Removed; final exact mass properties do not require the source repack trim slug
CO2-CARTRIDGE-1,REMOVED,LELAND-81121,N/A,0.045000,0.000000,-0.045000,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY,N/A,Removed with the internal inflation architecture
CO2-CARTRIDGE-2,REMOVED,LELAND-81121,N/A,0.045000,0.000000,-0.045000,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY,N/A,Removed with the internal inflation architecture
CO2-CARTRIDGE-3,REMOVED,LELAND-81121,N/A,0.045000,0.000000,-0.045000,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY,N/A,Removed with the internal inflation architecture
CO2-CARTRIDGE-4,REMOVED,LELAND-81121,N/A,0.045000,0.000000,-0.045000,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY,N/A,Removed with the internal inflation architecture
COLLECTION-MANIFOLD-001,REMOVED,DF8-R2-COLLECTION-MANIFOLD-001,N/A,0.083679,0.000000,-0.083679,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY,N/A,Removed with the internal inflation architecture
CORDURA-CRADLE-LEFT,ADDED,N/A,DF8-SHORT14-CORDURA-CRADLE-LEFT-001,0.000000,0.057500,0.057500,N/A,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/520_CORDURA_BREAKAWAY_BUOY_PACK_ASSY,New SHORT14/external-buoy occurrence
CORDURA-CRADLE-RIGHT,ADDED,N/A,DF8-SHORT14-CORDURA-CRADLE-RIGHT-001,0.000000,0.057500,0.057500,N/A,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/520_CORDURA_BREAKAWAY_BUOY_PACK_ASSY,New SHORT14/external-buoy occurrence
CORDURA-FLAP-LEFT,ADDED,N/A,DF8-SHORT14-CORDURA-BREAKAWAY-FLAP-LEFT-001,0.000000,0.065000,0.065000,N/A,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/520_CORDURA_BREAKAWAY_BUOY_PACK_ASSY,New SHORT14/external-buoy occurrence
