component_name,part_number,function,quantity,exact_location,selection_basis,location_orientation_basis,load_pressure_travel_environment_requirement,rating_or_calculated_capacity,interface_and_attachment,clearances,tolerance_requirements,assembly_access,service_reset_access,material_compatibility,mass_cg_effect,applicable_analysis,evidence,verification_status
BACKUP_SPRING_AFT_FIXED_SEAT_WITH_LONGERON_MOUNTING_TONGUE_TI,DF8-R2-BACKUP-SPRING-FIXED-SEAT-001,BACKUP SPRING AFT FIXED SEAT WITH LONGERON MOUNTING TONGUE,1,Arm_Activation_Powertrain_Assembly/BACKUP_SPRING_AFT_FIXED_SEAT_WITH_LONGERON_MOUNTING_TONGUE_TI: X -2.500..14.500 mm; Y -21.342..-1.892 mm; Z 535.276..540.276 mm,Mill-turn; Ti-6Al-4V Grade 5 certified product form; heat/lot CoC; qualified argon-purged WPS where welded; PT after welding; alpha-case removal; galvanic isolation; CMM final inspection,Occurrence transform and named parent path in both authoring inventories.,"See connection register, motion-track register, and analysis applicability matrix; unpublished mission loads remain NOT CALCULABLE.",NOT DETERMINABLE FROM CONTROLLED INPUTS,THREADED_TO_GUIDE_SUPPORT (DOF 0),Endpoint and 0-80 degree exact-Boolean registers; occurrence-specific margin not otherwise stated.,REQUIRES RELEASE DRAWING OR SUPPLIER DRAWING; NOT RELEASED,Modeled access only; physical tool-access verification required.,See assembly/service/reset instructions; physical trial required.,Ti-6Al-4V; ASTM B600 clean/passivate; drawing-controlled surface finish,0.0042064835579726225 kg each; exact occurrence allocation in mass report.,"Mass, motion/interference, interface, environment, manufacturing; additional load analysis as applicable.",,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
BACKUP_SPRING_DLC_GUIDE_SHAFT_WITH_TWO_FIXED_SUPPORT_SHOULDERS_SS,DF8-R2-BACKUP-SPRING-GUIDE-001,BACKUP SPRING DLC GUIDE SHAFT WITH TWO FIXED SUPPORT SHOULDERS,1,Arm_Activation_Powertrain_Assembly/BACKUP_SPRING_DLC_GUIDE_SHAFT_WITH_TWO_FIXED_SUPPORT_SHOULDERS_SS: X 2.650..13.765 mm; Y -21.342..-7.042 mm; Z 353.250..540.276 mm,Centerless grind and DLC; ASTM A564 Type 630 certified stock; H900 unless the drawing explicitly selects a tougher condition; heat-treatment/hardness record; ASTM A967 passivation; grind/ream critical fits; CMM inspection,Occurrence transform and named parent path in both authoring inventories.,"See connection register, motion-track register, and analysis applicability matrix; unpublished mission loads remain NOT CALCULABLE.",NOT DETERMINABLE FROM CONTROLLED INPUTS,SUPPORTED_AT_BOTH_ENDS (DOF 0),Endpoint and 0-80 degree exact-Boolean registers; occurrence-specific margin not otherwise stated.,REQUIRES RELEASE DRAWING OR SUPPLIER DRAWING; NOT RELEASED,Modeled access only; physical tool-access verification required.,See assembly/service/reset instructions; physical trial required.,17-4PH stainless steel; ASTM A967 passivated; critical bearing surfaces ground,0.029068956937486064 kg each; exact occurrence allocation in mass report.,"Mass, motion/interference, interface, environment, manufacturing; additional load analysis as applicable.",,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
BACKUP_SPRING_CROSSHEAD_SEAT_WITH_PILOTED_PERMANENT_LAND_SS,DF8-R2-BACKUP-SPRING-MOVING-SEAT-001,BACKUP SPRING CROSSHEAD SEAT WITH PILOTED PERMANENT LAND,1,Arm_Activation_Powertrain_Assembly/BACKUP_SPRING_CROSSHEAD_SEAT_WITH_PILOTED_PERMANENT_LAND_SS: X -2.500..14.500 mm; Y -18.892..-1.892 mm; Z 385.276..390.276 mm,Mill-turn; pilot to crosshead spoke; qualified laser weld; dimensional inspection; ASTM A564 Type 630 certified stock; H900 unless the drawing explicitly selects a tougher condition; heat-treatment/hardness record; ASTM A967 passivation; grind/ream critical fits; CMM inspection,Occurrence transform and named parent path in both authoring inventories.,"See connection register, motion-track register, and analysis applicability matrix; unpublished mission loads remain NOT CALCULABLE.",NOT DETERMINABLE FROM CONTROLLED INPUTS,PILOTED_QUALIFIED_PERMANENT_CROSSHEAD_JOINT (DOF 0),Endpoint and 0-80 degree exact-Boolean registers; occurrence-specific margin not otherwise stated.,REQUIRES RELEASE DRAWING OR SUPPLIER DRAWING; NOT RELEASED,Modeled access only; physical tool-access verification required.,See assembly/service/reset instructions; physical trial required.,17-4PH stainless steel; ASTM A967 passivated; critical bearing surfaces ground,0.0073882012531716265 kg each; exact occurrence allocation in mass report.,"Mass, motion/interference, interface, environment, manufacturing; additional load analysis as applicable.",,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
Forward_Ballast_W,DF8-R2-BALLAST-001,"FORWARD TUNGSTEN BALLAST, SPINE SOCKET AND TAPERED REAMED HALF BORE",1,Forward_Body_Assembly/Forward_Ballast_W: X -24.800..24.800 mm; Y -24.800..24.800 mm; Z 170.000..336.000 mm,"CNC turn; wire-EDM socket; ASTM B777 Class 4 W-Ni-Fe product form, density >=18.0 g/cm3; heat/lot CoC; density verification; UT for internal discontinuities; ground datum inspection",Occurrence transform and named parent path in both authoring inventories.,"See connection register, motion-track register, and analysis applicability matrix; unpublished mission loads remain NOT CALCULABLE.",NOT DETERMINABLE FROM CONTROLLED INPUTS,SHRINK_FIT_AND_TAPER_PIN (DOF 0),Endpoint and 0-80 degree exact-Boolean registers; occurrence-specific margin not otherwise stated.,REQUIRES RELEASE DRAWING OR SUPPLIER DRAWING; NOT RELEASED,Modeled access only; physical tool-access verification required.,See assembly/service/reset instructions; physical trial required.,Tungsten heavy alloy; Ground rope/penetration-safe edges; corrosion-inhibiting clean,4.884227629259874 kg each; exact occurrence allocation in mass report.,"Mass, motion/interference, interface, environment, manufacturing; additional load analysis as applicable.",,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
CENTRAL_DLC_CROSSHEAD_GUIDE_SHAFT_WITH_SPIDER_SHOULDER_SS,DF8-R2-CROSSHEAD-GUIDE-001,CENTRAL DLC CROSSHEAD GUIDE SHAFT WITH SPIDER SHOULDER,1,Arm_Activation_Powertrain_Assembly/CENTRAL_DLC_CROSSHEAD_GUIDE_SHAFT_WITH_SPIDER_SHOULDER_SS: X -4.450..4.450 mm; Y -4.450..4.450 mm; Z 344.000..391.000 mm,Centerless grind and DLC; ASTM A564 Type 630 certified stock; H900 unless the drawing explicitly selects a tougher condition; heat-treatment/hardness record; ASTM A967 passivation; grind/ream critical fits; CMM inspection,Occurrence transform and named parent path in both authoring inventories.,"See connection register, motion-track register, and analysis applicability matrix; unpublished mission loads remain NOT CALCULABLE.",NOT DETERMINABLE FROM CONTROLLED INPUTS,DOUBLE_SUPPORTED_SHAFT (DOF 0),Endpoint and 0-80 degree exact-Boolean registers; occurrence-specific margin not otherwise stated.,REQUIRES RELEASE DRAWING OR SUPPLIER DRAWING; NOT RELEASED,Modeled access only; physical tool-access verification required.,See assembly/service/reset instructions; physical trial required.,17-4PH stainless steel; ASTM A967 passivated; critical bearing surfaces ground,0.01153710148317413 kg each; exact occurrence allocation in mass report.,"Mass, motion/interference, interface, environment, manufacturing; additional load analysis as applicable.",,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
THREE-SPOKE_CROSSHEAD-GUIDE_FORWARD_MOUNT_TI,DF8-R2-CROSSHEAD-GUIDE-SPIDER-001,THREE-SPOKE CROSSHEAD-GUIDE FORWARD MOUNT,1,Arm_Activation_Powertrain_Assembly/THREE-SPOKE_CROSSHEAD-GUIDE_FORWARD_MOUNT_TI: X -19.500..10.603 mm; Y -17.365..17.365 mm; Z 342.000..344.000 mm,5-axis mill; conformal fit to FWD-RING-02 bore; qualified three-spoke laser weld; dimensional inspection; Ti-6Al-4V Grade 5 certified product form; heat/lot CoC; qualified argon-purged WPS where welded; PT after welding; alpha-case removal; galvanic isolation; CMM final inspection,Occurrence transform and named parent path in both authoring inventories.,"See connection register, motion-track register, and analysis applicability matrix; unpublished mission loads remain NOT CALCULABLE.",NOT DETERMINABLE FROM CONTROLLED INPUTS,THREE_SPOKE_QUALIFIED_PERMANENT_RING_JOINT (DOF 0),Endpoint and 0-80 degree exact-Boolean registers; occurrence-specific margin not otherwise stated.,REQUIRES RELEASE DRAWING OR SUPPLIER DRAWING; NOT RELEASED,Modeled access only; physical tool-access verification required.,See assembly/service/reset instructions; physical trial required.,Ti-6Al-4V; ASTM B600 clean/passivate; drawing-controlled surface finish,0.0012339130177071314 kg each; exact occurrence allocation in mass report.,"Mass, motion/interference, interface, environment, manufacturing; additional load analysis as applicable.",,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
80_DEGREE_SWEPT-CLEARANCE_FIXED_STOP_WITH_CONTROLLED_AUTOMATIC-LOCK_BUSHING_SEAT_SS,DF8-R2-FIXED-STOP-001,80 DEGREE SWEPT-CLEARANCE FIXED STOP WITH CONTROLLED AUTOMATIC-LOCK BUSHING SEAT,3,Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_01/80_DEGREE_SWEPT-CLEARANCE_FIXED_STOP_WITH_CONTROLLED_AUTOMATIC-LOCK_BUSHING_SEAT_SS_01: X 3.868..12.631 mm; Y -10.500..10.500 mm; Z 339.673..352.340 mm | Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_02/80_DEGREE_SWEPT-CLEARANCE_FIXED_STOP_WITH_CONTROLLED_AUTOMATIC-LOCK_BUSHING_SEAT_SS_02: X -15.409..4.608 mm; Y 1.300..16.189 mm; Z 339.673..352.340 mm | Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_03/80_DEGREE_SWEPT-CLEARANCE_FIXED_STOP_WITH_CONTROLLED_AUTOMATIC-LOCK_BUSHING_SEAT_SS_03: X -15.409..4.793 mm; Y -16.189..-1.300 mm; Z 339.673..352.340 mm,5-axis mill; wire EDM lock guide and controlled PEEK-bushing seat; occurrence-match drill two M3 clearance and ream two H7 side-land bores; grind stop faces; ASTM A564 Type 630 certified stock; H900 unless the drawing explicitly selects a tougher condition; heat-treatment/hardness record; ASTM A967 passivation; grind/ream critical fits; CMM inspection,Occurrence transform and named parent path in both authoring inventories.,"See connection register, motion-track register, and analysis applicability matrix; unpublished mission loads remain NOT CALCULABLE.",NOT DETERMINABLE FROM CONTROLLED INPUTS,DOWEL_AND_TWO_M3_SCREWS (DOF 0),Endpoint and 0-80 degree exact-Boolean registers; occurrence-specific margin not otherwise stated.,REQUIRES RELEASE DRAWING OR SUPPLIER DRAWING; NOT RELEASED,Modeled access only; physical tool-access verification required.,See assembly/service/reset instructions; physical trial required.,17-4PH stainless steel; ASTM A967 passivated; critical bearing surfaces ground,0.0023936337070524028 kg each; exact occurrence allocation in mass report.,"Mass, motion/interference, interface, environment, manufacturing; additional load analysis as applicable.",,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
4_MM_FULL-SPAN_LINK_PIN_WITH_DC-4SS_RETAINER_GROOVE_SS,DF8-R2-LINK-PIN-004,4 MM FULL-SPAN LINK PIN WITH DC-4SS RETAINER GROOVE,6,Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_01/4_MM_FULL-SPAN_LINK_PIN_WITH_DC-4SS_RETAINER_GROOVE_SS_01: X 21.000..27.000 mm; Y -7.400..6.400 mm; Z 361.000..367.000 mm | Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_01/4_MM_FULL-SPAN_LINK_PIN_WITH_DC-4SS_RETAINER_GROOVE_SS_02: X 15.000..21.000 mm; Y -7.400..6.400 mm; Z 380.026..386.026 mm | Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_02/4_MM_FULL-SPAN_LINK_PIN_WITH_DC-4SS_RETAINER_GROOVE_SS_03: X -18.543..-4.091 mm; Y 15.853..27.083 mm; Z 361.000..367.000 mm | Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_02/4_MM_FULL-SPAN_LINK_PIN_WITH_DC-4SS_RETAINER_GROOVE_SS_04: X -15.543..-1.091 mm; Y 10.656..21.887 mm; Z 380.026..386.026 mm | Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_03/4_MM_FULL-SPAN_LINK_PIN_WITH_DC-4SS_RETAINER_GROOVE_SS_05: X -19.909..-5.457 mm; Y -25.717..-14.487 mm; Z 361.000..367.000 mm | Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_03/4_MM_FULL-SPAN_LINK_PIN_WITH_DC-4SS_RETAINER_GROOVE_SS_06: X -16.909..-2.457 mm; Y -20.521..-9.290 mm; Z 380.026..386.026 mm,Swiss turn; H900; grind; ASTM A564 Type 630 certified stock; H900 unless the drawing explicitly selects a tougher condition; heat-treatment/hardness record; ASTM A967 passivation; grind/ream critical fits; CMM inspection,Occurrence transform and named parent path in both authoring inventories.,"See connection register, motion-track register, and analysis applicability matrix; unpublished mission loads remain NOT CALCULABLE.",NOT DETERMINABLE FROM CONTROLLED INPUTS,CLEVIS_PIN_WITH_E_RING (DOF 0),Endpoint and 0-80 degree exact-Boolean registers; occurrence-specific margin not otherwise stated.,REQUIRES RELEASE DRAWING OR SUPPLIER DRAWING; NOT RELEASED,Modeled access only; physical tool-access verification required.,See assembly/service/reset instructions; physical trial required.,17-4PH stainless steel; ASTM A967 passivated; critical bearing surfaces ground,0.001443346409243244 kg each; exact occurrence allocation in mass report.,"Mass, motion/interference, interface, environment, manufacturing; additional load analysis as applicable.",,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
Penetrator_Nose_W,DF8-R2-NOSE-001,TUNGSTEN PENETRATOR NOSE WITH OCCURRENCE-MATCHED TAPERED REAMED HALF BORE,1,Forward_Body_Assembly/Penetrator_Nose_W: X -26.300..26.300 mm; Y -26.300..26.300 mm; Z 0.000..170.000 mm,"CNC turn and grind; ASTM B777 Class 4 W-Ni-Fe product form, density >=18.0 g/cm3; heat/lot CoC; density verification; UT for internal discontinuities; ground datum inspection",Occurrence transform and named parent path in both authoring inventories.,"See connection register, motion-track register, and analysis applicability matrix; unpublished mission loads remain NOT CALCULABLE.",NOT DETERMINABLE FROM CONTROLLED INPUTS,SHRINK_FIT_AND_TAPER_PIN (DOF 0),Endpoint and 0-80 degree exact-Boolean registers; occurrence-specific margin not otherwise stated.,REQUIRES RELEASE DRAWING OR SUPPLIER DRAWING; NOT RELEASED,Modeled access only; physical tool-access verification required.,See assembly/service/reset instructions; physical trial required.,Tungsten heavy alloy; Ground rope/penetration-safe edges; corrosion-inhibiting clean,2.2173158326782247 kg each; exact occurrence allocation in mass report.,"Mass, motion/interference, interface, environment, manufacturing; additional load analysis as applicable.",,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
8_MM_PEEK-LINED_PIVOT_BUSHING_PEEK,DF8-R2-PIVOT-BUSH-008,8 MM PEEK-LINED PIVOT BUSHING,6,Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_01/8_MM_PEEK-LINED_PIVOT_BUSHING_PEEK_01: X 13.850..22.150 mm; Y -5.750..-3.750 mm; Z 350.850..359.150 mm | Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_01/8_MM_PEEK-LINED_PIVOT_BUSHING_PEEK_02: X 13.850..22.150 mm; Y 3.750..5.750 mm; Z 350.850..359.150 mm | Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_02/8_MM_PEEK-LINED_PIVOT_BUSHING_PEEK_03: X -7.827..-1.945 mm; Y 13.869..22.057 mm; Z 350.850..359.150 mm | Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_02/8_MM_PEEK-LINED_PIVOT_BUSHING_PEEK_04: X -16.055..-10.173 mm; Y 9.119..17.307 mm; Z 350.850..359.150 mm | Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_03/8_MM_PEEK-LINED_PIVOT_BUSHING_PEEK_05: X -16.055..-10.173 mm; Y -17.307..-9.119 mm; Z 350.850..359.150 mm | Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_03/8_MM_PEEK-LINED_PIVOT_BUSHING_PEEK_06: X -7.827..-1.945 mm; Y -22.057..-13.869 mm; Z 350.850..359.150 mm,Turn and press fit; Virgin unfilled PEEK resin/stock with ASTM D6262 or ISO material certificate; annealed stock; controlled machining temperature; moisture conditioning; dimensional inspection after stabilization,Occurrence transform and named parent path in both authoring inventories.,"See connection register, motion-track register, and analysis applicability matrix; unpublished mission loads remain NOT CALCULABLE.",NOT DETERMINABLE FROM CONTROLLED INPUTS,PRESS_FIT_IN_ARM_BOSS (DOF 0),Endpoint and 0-80 degree exact-Boolean registers; occurrence-specific margin not otherwise stated.,REQUIRES RELEASE DRAWING OR SUPPLIER DRAWING; NOT RELEASED,Modeled access only; physical tool-access verification required.,See assembly/service/reset instructions; physical trial required.,"PEEK; Machined, edge-broken, cleaned; no mold release or particulate",8.808849871477256e-06 kg each; exact occurrence allocation in mass report.,"Mass, motion/interference, interface, environment, manufacturing; additional load analysis as applicable.",,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
8_MM_CAPTIVE_SHOULDER_PIVOT_PIN_WITH_EXTERNAL_GROOVE_SS,DF8-R2-PIVOT-PIN-008,8 MM CAPTIVE SHOULDER PIVOT PIN WITH EXTERNAL GROOVE,3,Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_01/8_MM_CAPTIVE_SHOULDER_PIVOT_PIN_WITH_EXTERNAL_GROOVE_SS_01: X 13.600..22.400 mm; Y -11.750..10.250 mm; Z 350.600..359.400 mm | Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_02/8_MM_CAPTIVE_SHOULDER_PIVOT_PIN_WITH_EXTERNAL_GROOVE_SS_02: X -19.877..3.376 mm; Y 6.999..25.274 mm; Z 350.600..359.400 mm | Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_03/8_MM_CAPTIVE_SHOULDER_PIVOT_PIN_WITH_EXTERNAL_GROOVE_SS_03: X -21.376..1.877 mm; Y -24.178..-5.903 mm; Z 350.600..359.400 mm,Swiss turn; H900; grind; ASTM A564 Type 630 certified stock; H900 unless the drawing explicitly selects a tougher condition; heat-treatment/hardness record; ASTM A967 passivation; grind/ream critical fits; CMM inspection,Occurrence transform and named parent path in both authoring inventories.,"See connection register, motion-track register, and analysis applicability matrix; unpublished mission loads remain NOT CALCULABLE.",NOT DETERMINABLE FROM CONTROLLED INPUTS,SHOULDER_PIN_WITH_SPIRAL_RING (DOF 0),Endpoint and 0-80 degree exact-Boolean registers; occurrence-specific margin not otherwise stated.,REQUIRES RELEASE DRAWING OR SUPPLIER DRAWING; NOT RELEASED,Modeled access only; physical tool-access verification required.,See assembly/service/reset instructions; physical trial required.,17-4PH stainless steel; ASTM A967 passivated; critical bearing surfaces ground,0.008671747528307096 kg each; exact occurrence allocation in mass report.,"Mass, motion/interference, interface, environment, manufacturing; additional load analysis as applicable.",,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
8_MM_EXTERNAL_SPIRAL_PIVOT_RETAINER_SS,DF8-R2-PIVOT-SPIRAL-RING-008,8 MM EXTERNAL SPIRAL PIVOT RETAINER,3,Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_01/8_MM_EXTERNAL_SPIRAL_PIVOT_RETAINER_SS_01: X 13.100..22.378 mm; Y 9.175..9.725 mm; Z 350.100..359.900 mm | Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_02/8_MM_EXTERNAL_SPIRAL_PIVOT_RETAINER_SS_02: X -19.611..-14.496 mm; Y 6.482..14.793 mm; Z 350.100..359.900 mm | Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_03/8_MM_EXTERNAL_SPIRAL_PIVOT_RETAINER_SS_03: X -3.243..1.872 mm; Y -24.243..-15.932 mm; Z 350.100..359.900 mm,Wire form; Certified stainless product form/condition; heat/lot CoC; qualified weld/braze procedure where applicable; ASTM A967 passivation; PT of pressure welds; dimensional inspection,Occurrence transform and named parent path in both authoring inventories.,"See connection register, motion-track register, and analysis applicability matrix; unpublished mission loads remain NOT CALCULABLE.",NOT DETERMINABLE FROM CONTROLLED INPUTS,EXTERNAL_GROOVE (DOF 0),Endpoint and 0-80 degree exact-Boolean registers; occurrence-specific margin not otherwise stated.,REQUIRES RELEASE DRAWING OR SUPPLIER DRAWING; NOT RELEASED,Modeled access only; physical tool-access verification required.,See assembly/service/reset instructions; physical trial required.,1.4310 stainless spring steel; ASTM A967 passivated; rope-contact and seal surfaces polished per drawing,9.513648371968046e-05 kg each; exact occurrence allocation in mass report.,"Mass, motion/interference, interface, environment, manufacturing; additional load analysis as applicable.",,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
8_MM_PEEK_THRUST_WASHER_PEEK,DF8-R2-PIVOT-WASHER-008,8 MM PEEK THRUST WASHER,6,Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_01/8_MM_PEEK_THRUST_WASHER_PEEK_01: X 12.000..24.000 mm; Y -5.990..-5.810 mm; Z 349.000..361.000 mm | Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_01/8_MM_PEEK_THRUST_WASHER_PEEK_02: X 12.000..24.000 mm; Y 5.810..5.990 mm; Z 349.000..361.000 mm | Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_02/8_MM_PEEK_THRUST_WASHER_PEEK_03: X -6.968..-0.813 mm; Y 13.297..23.780 mm; Z 349.000..361.000 mm | Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_02/8_MM_PEEK_THRUST_WASHER_PEEK_04: X -17.187..-11.032 mm; Y 7.397..17.880 mm; Z 349.000..361.000 mm | Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_03/8_MM_PEEK_THRUST_WASHER_PEEK_05: X -17.187..-11.032 mm; Y -17.880..-7.397 mm; Z 349.000..361.000 mm | Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_03/8_MM_PEEK_THRUST_WASHER_PEEK_06: X -6.968..-0.813 mm; Y -23.780..-13.297 mm; Z 349.000..361.000 mm,Turn; Virgin unfilled PEEK resin/stock with ASTM D6262 or ISO material certificate; annealed stock; controlled machining temperature; moisture conditioning; dimensional inspection after stabilization,Occurrence transform and named parent path in both authoring inventories.,"See connection register, motion-track register, and analysis applicability matrix; unpublished mission loads remain NOT CALCULABLE.",NOT DETERMINABLE FROM CONTROLLED INPUTS,CAPTIVE_ON_PIVOT_SHOULDER (DOF 0),Endpoint and 0-80 degree exact-Boolean registers; occurrence-specific margin not otherwise stated.,REQUIRES RELEASE DRAWING OR SUPPLIER DRAWING; NOT RELEASED,Modeled access only; physical tool-access verification required.,See assembly/service/reset instructions; physical trial required.,"PEEK; Machined, edge-broken, cleaned; no mold release or particulate",1.4016322438141084e-05 kg each; exact occurrence allocation in mass report.,"Mass, motion/interference, interface, environment, manufacturing; additional load analysis as applicable.",,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
6_MM_CAPTIVE_RECOVERY_TERMINAL_PIN_WITH_RETAINER_GROOVE_SS,DF8-R2-RECOVERY-PIN-006,6 MM CAPTIVE RECOVERY TERMINAL PIN WITH RETAINER GROOVE,1,Shortened_Aft_Body_External_Buoy_Assembly/Structural_Recovery_Tether_Assembly/6_MM_CAPTIVE_RECOVERY_TERMINAL_PIN_WITH_RETAINER_GROOVE_SS: X 17.500..26.500 mm; Y -7.000..5.500 mm; Z 1608.500..1617.500 mm,Swiss turn; H900; grind; ASTM A564 Type 630 certified stock; H900 unless the drawing explicitly selects a tougher condition; heat-treatment/hardness record; ASTM A967 passivation; grind/ream critical fits; CMM inspection,Occurrence transform and named parent path in both authoring inventories.,"See connection register, motion-track register, and analysis applicability matrix; unpublished mission loads remain NOT CALCULABLE.",NOT DETERMINABLE FROM CONTROLLED INPUTS,DOUBLE_SHEAR_PIN_WITH_CLIP (DOF 0),Endpoint and 0-80 degree exact-Boolean registers; occurrence-specific margin not otherwise stated.,REQUIRES RELEASE DRAWING OR SUPPLIER DRAWING; NOT RELEASED,Modeled access only; physical tool-access verification required.,See assembly/service/reset instructions; physical trial required.,17-4PH stainless steel; ASTM A967 passivated; critical bearing surfaces ground,0.003134187821530512 kg each; exact occurrence allocation in mass report.,"Mass, motion/interference, interface, environment, manufacturing; additional load analysis as applicable.",,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
19.950_MM_CENTER-DISTANCE_REAMED_SHORT_LINK_SS,DF8-R2-SHORT-LINK-001,19.950 MM CENTER-DISTANCE REAMED SHORT LINK,6,Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_01/19.950_MM_CENTER-DISTANCE_REAMED_SHORT_LINK_SS_01: X 14.800..27.200 mm; Y -2.500..-1.000 mm; Z 360.800..386.226 mm | Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_01/19.950_MM_CENTER-DISTANCE_REAMED_SHORT_LINK_SS_02: X 14.800..27.200 mm; Y 1.000..2.500 mm; Z 360.800..386.226 mm | Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_02/19.950_MM_CENTER-DISTANCE_REAMED_SHORT_LINK_SS_03: X -12.734..-5.235 mm; Y 13.317..24.806 mm; Z 360.800..386.226 mm | Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_02/19.950_MM_CENTER-DISTANCE_REAMED_SHORT_LINK_SS_04: X -15.765..-8.266 mm; Y 11.567..23.056 mm; Z 360.800..386.226 mm | Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_03/19.950_MM_CENTER-DISTANCE_REAMED_SHORT_LINK_SS_05: X -15.765..-8.266 mm; Y -23.056..-11.567 mm; Z 360.800..386.226 mm | Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_03/19.950_MM_CENTER-DISTANCE_REAMED_SHORT_LINK_SS_06: X -12.734..-5.235 mm; Y -24.806..-13.317 mm; Z 360.800..386.226 mm,Wire EDM; H900; ream; ASTM A564 Type 630 certified stock; H900 unless the drawing explicitly selects a tougher condition; heat-treatment/hardness record; ASTM A967 passivation; grind/ream critical fits; CMM inspection,Occurrence transform and named parent path in both authoring inventories.,"See connection register, motion-track register, and analysis applicability matrix; unpublished mission loads remain NOT CALCULABLE.",NOT DETERMINABLE FROM CONTROLLED INPUTS,TWO_REVOLUTE_PIN_JOINTS (DOF PLANAR FOUR-BAR),Endpoint and 0-80 degree exact-Boolean registers; occurrence-specific margin not otherwise stated.,REQUIRES RELEASE DRAWING OR SUPPLIER DRAWING; NOT RELEASED,Modeled access only; physical tool-access verification required.,See assembly/service/reset instructions; physical trial required.,17-4PH stainless steel; ASTM A967 passivated; critical bearing surfaces ground,0.0008587191047231816 kg each; exact occurrence allocation in mass report.,"Mass, motion/interference, interface, environment, manufacturing; additional load analysis as applicable.",,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
