part_number,description,make_buy,manufacturer,quantity_per_product,orderable_configuration,purchase_authority,qualification_status,source,action
DF8-R2-PIVOT-WASHER-008,8 MM PEEK THRUST WASHER,MAKE,STINGRAY custom,6,DF8-R2-PIVOT-WASHER-008,NOT AUTHORIZED,NOT QUALIFIED,,Create and approve fabrication drawing after design release
DF8-R2-RECOVERY-PIN-006,6 MM CAPTIVE RECOVERY TERMINAL PIN WITH RETAINER GROOVE,MAKE,STINGRAY custom,1,DF8-R2-RECOVERY-PIN-006,NOT AUTHORIZED,NOT QUALIFIED,,Create and approve fabrication drawing after design release
DF8-R2-SHORT-LINK-001,19.950 MM CENTER-DISTANCE REAMED SHORT LINK,MAKE,STINGRAY custom,6,DF8-R2-SHORT-LINK-001,NOT AUTHORIZED,NOT QUALIFIED,,Create and approve fabrication drawing after design release
DF8-R2-STOW-DOG-001,CAPTIVE RADIAL STOWED-RETENTION DOG WITH TRANSPORT-INHIBIT BORE,MAKE,STINGRAY custom,3,DF8-R2-STOW-DOG-001,NOT AUTHORIZED,NOT QUALIFIED,,Create and approve fabrication drawing after design release
DF8-R2-STOW-DOG-INHIBIT-KEEPER-001,CAPTIVE CRESCENT RETAINER FOR TRANSPORT-INHIBIT PIN,MAKE,STINGRAY custom,3,DF8-R2-STOW-DOG-INHIBIT-KEEPER-001,NOT AUTHORIZED,NOT QUALIFIED,,Create and approve fabrication drawing after design release
DF8-R2-STOW-DOG-INHIBIT-PIN-001,WITHDRAWABLE HEADED TRANSPORT-INHIBIT PIN,MAKE,STINGRAY custom,3,DF8-R2-STOW-DOG-INHIBIT-PIN-001,NOT AUTHORIZED,NOT QUALIFIED,,Create and approve fabrication drawing after design release
DF8-R2-STOW-DOG-RETURN-SPRING-001,CAPTIVE STOW-DOG RADIAL RETURN SPRING,MAKE,STINGRAY custom,3,DF8-R2-STOW-DOG-RETURN-SPRING-001,NOT AUTHORIZED,NOT QUALIFIED,,Create and approve fabrication drawing after design release
DF8-R2-TETHER-THIMBLE-001,AMSTEEL EYE-SPLICE THIMBLE,MAKE,STINGRAY custom,2,DF8-R2-TETHER-THIMBLE-001,NOT AUTHORIZED,NOT QUALIFIED,,Create and approve fabrication drawing after design release
DF8-SHORT14-AFT-CAP-001,SHORTENED BODY AFT CAP WITH TETHER SERVICE PASSAGE,MAKE,STINGRAY custom,1,DF8-SHORT14-AFT-CAP-001,NOT AUTHORIZED,NOT QUALIFIED,,Create and approve fabrication drawing after design release
DF8-SHORT14-AFT-CLOSURE-RING-001,AFT STRUCTURAL CLOSURE RING,MAKE,STINGRAY custom,1,DF8-SHORT14-AFT-CLOSURE-RING-001,NOT AUTHORIZED,NOT QUALIFIED,,Create and approve fabrication drawing after design release
DF8-SHORT14-AFT-LONGERON-AFT-001,AFT PRIMARY LOAD-PATH LONGERON AFT,MAKE,STINGRAY custom,3,DF8-SHORT14-AFT-LONGERON-AFT-001,NOT AUTHORIZED,NOT QUALIFIED,,Create and approve fabrication drawing after design release
DF8-SHORT14-AFT-LONGERON-FWD-001,AFT PRIMARY LOAD-PATH LONGERON FWD,MAKE,STINGRAY custom,3,DF8-SHORT14-AFT-LONGERON-FWD-001,NOT AUTHORIZED,NOT QUALIFIED,,Create and approve fabrication drawing after design release
DF8-SHORT14-AFT-SHELL-CLOSURE-001,SHORTENED AFT GRADE-9 TITANIUM SHELL CLOSURE SEGMENT,MAKE,STINGRAY custom,1,DF8-SHORT14-AFT-SHELL-CLOSURE-001,NOT AUTHORIZED,NOT QUALIFIED,,Create and approve fabrication drawing after design release
DF8-SHORT14-AFT-SHELL-FORWARD-001,SHORTENED AFT GRADE-9 TITANIUM SHELL FORWARD SEGMENT,MAKE,STINGRAY custom,1,DF8-SHORT14-AFT-SHELL-FORWARD-001,NOT AUTHORIZED,NOT QUALIFIED,,Create and approve fabrication drawing after design release
DF8-SHORT14-ARM-BLADE-001,378.206 MM PIVOT-TO-TIP SHORTENED ARM BLADE WITH CONTROLLED ROUNDED TIP,MAKE,STINGRAY custom,3,DF8-SHORT14-ARM-BLADE-001,NOT AUTHORIZED,NOT QUALIFIED,,Create and approve fabrication drawing after design release
DF8-SHORT14-ARM-LONGERON-001,SHORTENED PRIMARY ARM-MODULE LONGERON,MAKE,STINGRAY custom,2,DF8-SHORT14-ARM-LONGERON-001,NOT AUTHORIZED,NOT QUALIFIED,,Create and approve fabrication drawing after design release
DF8-SHORT14-ARM-TERMINATION-RING-001,SHORT-ARM MODULE AFT STRUCTURAL TERMINATION RING,MAKE,STINGRAY custom,1,DF8-SHORT14-ARM-TERMINATION-RING-001,NOT AUTHORIZED,NOT QUALIFIED,,Create and approve fabrication drawing after design release
DF8-SHORT14-BACKUP-ACCESS-FIXED-SECTOR-003,SHORTENED FIXED SECTOR 3 WITH BACKUP-GUIDE ACCESS,MAKE,STINGRAY custom,1,DF8-SHORT14-BACKUP-ACCESS-FIXED-SECTOR-003,NOT AUTHORIZED,NOT QUALIFIED,,Create and approve fabrication drawing after design release
DF8-SHORT14-BACKUP-GUIDE-LONGERON-003,SHORTENED PRIMARY LONGERON 3 WITH BACKUP-GUIDE BORES,MAKE,STINGRAY custom,1,DF8-SHORT14-BACKUP-GUIDE-LONGERON-003,NOT AUTHORIZED,NOT QUALIFIED,,Create and approve fabrication drawing after design release
DF8-SHORT14-BALLAST-CARRIER-TRANSITION-RING-001,BALLAST-AFT-FACE TO ARM-CARRIER STRUCTURAL TRANSITION RING,MAKE,STINGRAY custom,1,DF8-SHORT14-BALLAST-CARRIER-TRANSITION-RING-001,NOT AUTHORIZED,NOT QUALIFIED,,Create and approve fabrication drawing after design release
DF8-SHORT14-BUOY-INLET-MANIFOLD-001,BUOY-MOUNTED INLET MANIFOLD WITH INFLATOR THREAD INTERFACE,MAKE,STINGRAY custom,1,DF8-SHORT14-BUOY-INLET-MANIFOLD-001,NOT AUTHORIZED,NOT QUALIFIED,,Create and approve fabrication drawing after design release
DF8-SHORT14-BUOY-INLET-REINFORCEMENT-PATCH-001,BUOY INLET RF-WELDED REINFORCEMENT PATCH,MAKE,STINGRAY custom,1,DF8-SHORT14-BUOY-INLET-REINFORCEMENT-PATCH-001,NOT AUTHORIZED,NOT QUALIFIED,,Create and approve fabrication drawing after design release
DF8-SHORT14-BUOY-PANEL-01,60 L BUOY PANEL 01 WITH PACKED-ENVELOPE AND DEPLOYED-GORE STATES,MAKE,STINGRAY custom,1,DF8-SHORT14-BUOY-PANEL-01,NOT AUTHORIZED,NOT QUALIFIED,,Create and approve fabrication drawing after design release
DF8-SHORT14-BUOY-PANEL-02,60 L BUOY PANEL 02 WITH PACKED-ENVELOPE AND DEPLOYED-GORE STATES,MAKE,STINGRAY custom,1,DF8-SHORT14-BUOY-PANEL-02,NOT AUTHORIZED,NOT QUALIFIED,,Create and approve fabrication drawing after design release
DF8-SHORT14-BUOY-PANEL-03,60 L BUOY PANEL 03 WITH PACKED-ENVELOPE AND DEPLOYED-GORE STATES,MAKE,STINGRAY custom,1,DF8-SHORT14-BUOY-PANEL-03,NOT AUTHORIZED,NOT QUALIFIED,,Create and approve fabrication drawing after design release
DF8-SHORT14-BUOY-PANEL-04,60 L BUOY PANEL 04 WITH PACKED-ENVELOPE AND DEPLOYED-GORE STATES,MAKE,STINGRAY custom,1,DF8-SHORT14-BUOY-PANEL-04,NOT AUTHORIZED,NOT QUALIFIED,,Create and approve fabrication drawing after design release
DF8-SHORT14-BUOY-PANEL-05,60 L BUOY PANEL 05 WITH PACKED-ENVELOPE AND DEPLOYED-GORE STATES,MAKE,STINGRAY custom,1,DF8-SHORT14-BUOY-PANEL-05,NOT AUTHORIZED,NOT QUALIFIED,,Create and approve fabrication drawing after design release
DF8-SHORT14-BUOY-PANEL-06,60 L BUOY PANEL 06 WITH PACKED-ENVELOPE AND DEPLOYED-GORE STATES,MAKE,STINGRAY custom,1,DF8-SHORT14-BUOY-PANEL-06,NOT AUTHORIZED,NOT QUALIFIED,,Create and approve fabrication drawing after design release
DF8-SHORT14-BUOY-PANEL-07,60 L BUOY PANEL 07 WITH PACKED-ENVELOPE AND DEPLOYED-GORE STATES,MAKE,STINGRAY custom,1,DF8-SHORT14-BUOY-PANEL-07,NOT AUTHORIZED,NOT QUALIFIED,,Create and approve fabrication drawing after design release
DF8-SHORT14-BUOY-PANEL-08,60 L BUOY PANEL 08 WITH PACKED-ENVELOPE AND DEPLOYED-GORE STATES,MAKE,STINGRAY custom,1,DF8-SHORT14-BUOY-PANEL-08,NOT AUTHORIZED,NOT QUALIFIED,,Create and approve fabrication drawing after design release
DF8-SHORT14-CORDURA-BREAKAWAY-FLAP-LEFT-001,CORDURA PEEL-OPEN BREAKAWAY FLAP LEFT,MAKE,STINGRAY custom,1,DF8-SHORT14-CORDURA-BREAKAWAY-FLAP-LEFT-001,NOT AUTHORIZED,NOT QUALIFIED,,Create and approve fabrication drawing after design release
DF8-SHORT14-CORDURA-BREAKAWAY-FLAP-RIGHT-001,CORDURA PEEL-OPEN BREAKAWAY FLAP RIGHT,MAKE,STINGRAY custom,1,DF8-SHORT14-CORDURA-BREAKAWAY-FLAP-RIGHT-001,NOT AUTHORIZED,NOT QUALIFIED,,Create and approve fabrication drawing after design release
DF8-SHORT14-CORDURA-CRADLE-LEFT-001,AFT BUOY BREAKAWAY WRAP CORDURA CRADLE LEFT PANEL WITH DRAINAGE GAPS,MAKE,STINGRAY custom,1,DF8-SHORT14-CORDURA-CRADLE-LEFT-001,NOT AUTHORIZED,NOT QUALIFIED,,Create and approve fabrication drawing after design release
DF8-SHORT14-CORDURA-CRADLE-RIGHT-001,AFT BUOY BREAKAWAY WRAP CORDURA CRADLE RIGHT PANEL WITH DRAINAGE GAPS,MAKE,STINGRAY custom,1,DF8-SHORT14-CORDURA-CRADLE-RIGHT-001,NOT AUTHORIZED,NOT QUALIFIED,,Create and approve fabrication drawing after design release
DF8-SHORT14-CROSSHEAD-001,ONE-PIECE SIX-CLEVIS GUIDED COMMON CROSSHEAD WITHOUT BOOLEAN DEBRIS,MAKE,STINGRAY custom,1,DF8-SHORT14-CROSSHEAD-001,NOT AUTHORIZED,NOT QUALIFIED,,Create and approve fabrication drawing after design release
DF8-SHORT14-FIXED-SECTOR-001,SHORTENED ANALYTIC CYLINDRICAL FIXED BODY SECTOR,MAKE,STINGRAY custom,2,DF8-SHORT14-FIXED-SECTOR-001,NOT AUTHORIZED,NOT QUALIFIED,,Create and approve fabrication drawing after design release
DF8-SHORT14-HOOK-STRIP-001,WET-RATED HOOK CLOSURE STRIP,MAKE,STINGRAY custom,1,DF8-SHORT14-HOOK-STRIP-001,NOT AUTHORIZED,NOT QUALIFIED,,Create and approve fabrication drawing after design release
DF8-SHORT14-INFLATOR-GUARD-001,INFLATOR IMPACT GUARD WITH OPEN WATER PATH,MAKE,STINGRAY custom,1,DF8-SHORT14-INFLATOR-GUARD-001,NOT AUTHORIZED,NOT QUALIFIED,,Create and approve fabrication drawing after design release
DF8-SHORT14-LOOP-STRIP-001,WET-RATED LOOP CLOSURE STRIP,MAKE,STINGRAY custom,1,DF8-SHORT14-LOOP-STRIP-001,NOT AUTHORIZED,NOT QUALIFIED,,Create and approve fabrication drawing after design release
DF8-SHORT14-MANUAL-PULL-LANYARD-001,MANUAL INFLATOR PULL LANYARD WITH MODELED SLACK AND FIRED TRAVEL,MAKE,STINGRAY custom,1,DF8-SHORT14-MANUAL-PULL-LANYARD-001,NOT AUTHORIZED,NOT QUALIFIED,,Create and approve fabrication drawing after design release
DF8-SHORT14-MANUAL-PULL-TAB-001,GLOVED-HAND MANUAL PULL TAB WITH SNAG-RETENTION KEEPER,MAKE,STINGRAY custom,1,DF8-SHORT14-MANUAL-PULL-TAB-001,NOT AUTHORIZED,NOT QUALIFIED,,Create and approve fabrication drawing after design release
DF8-SHORT14-PACK-ATTACHMENT-COLLAR-001,LOW-PROFILE PACK ATTACHMENT COLLAR WITHIN 57.15 MM RIGID LIMIT,MAKE,STINGRAY custom,2,DF8-SHORT14-PACK-ATTACHMENT-COLLAR-001,NOT AUTHORIZED,NOT QUALIFIED,,Create and approve fabrication drawing after design release
DF8-SHORT14-PACK-ATTACHMENT-WEBBING-001,STRUCTURAL PACK-RETENTION WEBBING STRAP,MAKE,STINGRAY custom,2,DF8-SHORT14-PACK-ATTACHMENT-WEBBING-001,NOT AUTHORIZED,NOT QUALIFIED,,Create and approve fabrication drawing after design release
DF8-SHORT14-PACK-EDGE-BAND-001,REINFORCED PACK EDGE BINDING,MAKE,STINGRAY custom,2,DF8-SHORT14-PACK-EDGE-BAND-001,NOT AUTHORIZED,NOT QUALIFIED,,Create and approve fabrication drawing after design release
DF8-SHORT14-PACK-RADIAL-TIE-1-1,PACK COLLAR-TO-CRADLE RADIAL WEBBING TIE,MAKE,STINGRAY custom,1,DF8-SHORT14-PACK-RADIAL-TIE-1-1,NOT AUTHORIZED,NOT QUALIFIED,,Create and approve fabrication drawing after design release
DF8-SHORT14-PACK-RADIAL-TIE-1-2,PACK COLLAR-TO-CRADLE RADIAL WEBBING TIE,MAKE,STINGRAY custom,1,DF8-SHORT14-PACK-RADIAL-TIE-1-2,NOT AUTHORIZED,NOT QUALIFIED,,Create and approve fabrication drawing after design release
DF8-SHORT14-PACK-RADIAL-TIE-1-3,PACK COLLAR-TO-CRADLE RADIAL WEBBING TIE,MAKE,STINGRAY custom,1,DF8-SHORT14-PACK-RADIAL-TIE-1-3,NOT AUTHORIZED,NOT QUALIFIED,,Create and approve fabrication drawing after design release
DF8-SHORT14-PACK-RADIAL-TIE-2-1,PACK COLLAR-TO-CRADLE RADIAL WEBBING TIE,MAKE,STINGRAY custom,1,DF8-SHORT14-PACK-RADIAL-TIE-2-1,NOT AUTHORIZED,NOT QUALIFIED,,Create and approve fabrication drawing after design release
DF8-SHORT14-PACK-RADIAL-TIE-2-2,PACK COLLAR-TO-CRADLE RADIAL WEBBING TIE,MAKE,STINGRAY custom,1,DF8-SHORT14-PACK-RADIAL-TIE-2-2,NOT AUTHORIZED,NOT QUALIFIED,,Create and approve fabrication drawing after design release
DF8-SHORT14-PACK-RADIAL-TIE-2-3,PACK COLLAR-TO-CRADLE RADIAL WEBBING TIE,MAKE,STINGRAY custom,1,DF8-SHORT14-PACK-RADIAL-TIE-2-3,NOT AUTHORIZED,NOT QUALIFIED,,Create and approve fabrication drawing after design release
DF8-SHORT14-PIVOT-CARRIER-PRIMARY-LUG-001,SOURCE-EXACT DOUBLE-SHEAR PIVOT CARRIER PRIMARY LUG,MAKE,STINGRAY custom,3,DF8-SHORT14-PIVOT-CARRIER-PRIMARY-LUG-001,NOT AUTHORIZED,NOT QUALIFIED,,Create and approve fabrication drawing after design release
DF8-SHORT14-PIVOT-CARRIER-SECONDARY-LUG-001,SOURCE-EXACT DOUBLE-SHEAR PIVOT CARRIER SECONDARY LUG,MAKE,STINGRAY custom,3,DF8-SHORT14-PIVOT-CARRIER-SECONDARY-LUG-001,NOT AUTHORIZED,NOT QUALIFIED,,Create and approve fabrication drawing after design release
DF8-SHORT14-PULL-TAB-KEEPER-001,LOW-FORCE PULL-TAB SNAG KEEPER,MAKE,STINGRAY custom,1,DF8-SHORT14-PULL-TAB-KEEPER-001,NOT AUTHORIZED,NOT QUALIFIED,,Create and approve fabrication drawing after design release
DF8-SHORT14-RECOVERY-HARDPOINT-RING-001,LOW-PROFILE STRUCTURAL RECOVERY HARDPOINT RING WITH DOUBLE-SHEAR YOKE,MAKE,STINGRAY custom,1,DF8-SHORT14-RECOVERY-HARDPOINT-RING-001,NOT AUTHORIZED,NOT QUALIFIED,,Create and approve fabrication drawing after design release
DF8-SHORT14-STOW-DOG-GUIDE-001,SHORTENED-ARM STOW-DOG GUIDE WITH TERMINATION-RING WELD TONGUE,MAKE,STINGRAY custom,3,DF8-SHORT14-STOW-DOG-GUIDE-001,NOT AUTHORIZED,NOT QUALIFIED,,Create and approve fabrication drawing after design release
DF8-SHORT14-TETHER-EXIT-CHAFE-SLEEVE-001,STRUCTURAL TETHER EXIT CHAFE SLEEVE,MAKE,STINGRAY custom,1,DF8-SHORT14-TETHER-EXIT-CHAFE-SLEEVE-001,NOT AUTHORIZED,NOT QUALIFIED,,Create and approve fabrication drawing after design release
DF8-SHORT14-WATER-ENTRY-MESH-001,REINFORCED OPEN-MESH WATER-ENTRY WINDOW AND DRAIN,MAKE,STINGRAY custom,1,DF8-SHORT14-WATER-ENTRY-MESH-001,NOT AUTHORIZED,NOT QUALIFIED,,Create and approve fabrication drawing after design release
GS-19-50-V4A-B8-B8,ACE GS-19-50-V4A-B8-B8 PURCHASED ASSEMBLY — ONE-SOLID ARTICULATED INSTALLATION BODY,BUY,ACE Controls,1,GS-19-50-V4A-B8-B8,NOT AUTHORIZED,NOT QUALIFIED,https://www.acecontrols.com/us/calculations/gas-spring-configurator.html,Obtain controlled quote/drawing/CoC and complete application qualification
GS-19-50-V4A-B8-B8-ROD-CHILD,ACE GS-19 MOVING ROD ARTICULATION CHILD,BUY,ACE Controls,0,INCLUDED IN PARENT ASSEMBLY GS-19-50-V4A-B8-B8,NOT AUTHORIZED,NOT QUALIFIED,https://www.acecontrols.com/us/calculations/gas-spring-configurator.html,NO SEPARATE PURCHASE; CONTROL CONFIGURATION AND QUALIFICATION WITH PARENT ASSEMBLY
HALKEY-ROBERTS-HYDRO-1F-V95000XXB_PROXY,HALKEY-ROBERTS HYDRO 1F AUTOMATIC/MANUAL INFLATOR DIMENSION-CONTROLLED PROXY,BUY,Nordson MEDICAL / Halkey-Roberts,1,INCOMPLETE,NOT AUTHORIZED,NOT QUALIFIED,https://fluid-components.nordsonmedical.com/files/fluid-components-nordsonmedical-com/Technical%20Information/HRC/Hyrdo-1F-Manual-Automatic-Inflator-Drawing-V95000xxB.pdf,Obtain controlled quote/drawing/CoC and complete application qualification
HBD-15-25-AA-P,ACE HBD-15-25-AA-P PURCHASED ASSEMBLY — ONE-SOLID ARTICULATED INSTALLATION BODY,BUY,ACE Controls,1,HBD-15-25-AA-P,NOT AUTHORIZED,NOT QUALIFIED,https://www.acecontrols.com/us/products/motion-control/hydraulic-dampers/hbd-15-to-hbd-40/hbd-15/hbd-15-25.html,Obtain controlled quote/drawing/CoC and complete application qualification
HBD-15-25-AA-P-ROD-CHILD,HBD MOVING ROD ARTICULATION CHILD,BUY,ACE Controls,0,INCLUDED IN PARENT ASSEMBLY HBD-15-25-AA-P,NOT AUTHORIZED,NOT QUALIFIED,https://www.acecontrols.com/us/products/motion-control/hydraulic-dampers/hbd-15-to-hbd-40/hbd-15/hbd-15-25.html,NO SEPARATE PURCHASE; CONTROL CONFIGURATION AND QUALIFICATION WITH PARENT ASSEMBLY
HDP-3-8-A1,"3 MM X 8 MM DOWEL PIN, DIN 7, M6 TOLERANCE",BUY,Accu,6,HDP-3-8-A1,NOT AUTHORIZED,NOT QUALIFIED,https://www.accu.co.uk/dowel-pins/72653-HDP-3-8-A1,Obtain controlled quote/drawing/CoC and complete application qualification
HTP-3-30-A1,"3 MM X 30 MM TAPER PIN, DIN 1B",BUY,Accu,1,HTP-3-30-A1,NOT AUTHORIZED,NOT QUALIFIED,https://www.accu.co.uk/taper-pins/389498-HTP-3-30-A1,Obtain controlled quote/drawing/CoC and complete application qualification
LELAND-81121,LELAND 81121 12 G CO2 CARTRIDGE,BUY,Leland Gas Technologies,1,LELAND-81121,NOT AUTHORIZED,NOT QUALIFIED,https://www.lelandgas.com/product-page/81121-cartridge-small-x-xml-x-xxg-gas,Obtain controlled quote/drawing/CoC and complete application qualification
ROTOR-CLIP-DC-4SS,ROTOR CLIP DC-4SS CRESCENT RETAINING RING FOR 4 MM SHAFT,BUY,Rotor Clip,6,ROTOR-CLIP-DC-4SS,NOT AUTHORIZED,NOT QUALIFIED,https://www.rotorclip.com/product/dc-4/,Obtain controlled quote/drawing/CoC and complete application qualification
SSCA-M3-8-A4-BL,"M3 X 8 CAPTIVE SOCKET CAP SCREW, DIN 912",BUY,Accu,12,SSCA-M3-8-A4-BL,NOT AUTHORIZED,NOT QUALIFIED,https://www.accu.co.uk/cap-head-captive-screws/779966-SSCA-M3-8-A4-BL,Obtain controlled quote/drawing/CoC and complete application qualification
SSCF-M3-10-A4,"M3 X 10 FULL-THREAD SOCKET CAP SCREW, DIN 912 / ISO 4762",BUY,Accu,2,SSCF-M3-10-A4,NOT AUTHORIZED,NOT QUALIFIED,https://www.accu.co.uk/us/socket-cap-head-screws/3975-SSCF-M3-10-A4,Obtain controlled quote/drawing/CoC and complete application qualification
SSCL-M4-8-A4,"M4 X 8 FULL-THREAD LOW-HEAD SOCKET CAP SCREW, DIN 7984",BUY,Accu,1,SSCL-M4-8-A4,NOT AUTHORIZED,NOT QUALIFIED,https://www.accu.co.uk/low-head-cap-screws/8885-SSCL-M4-8-A4,Obtain controlled quote/drawing/CoC and complete application qualification
V80040,HALKEY-ROBERTS WATER-SENSITIVE BOBBIN,BUY,Nordson MEDICAL / Halkey-Roberts,1,V80040,NOT AUTHORIZED,NOT QUALIFIED,https://fluid-components.nordsonmedical.com/Resources/Orders/,Obtain controlled quote/drawing/CoC and complete application qualification
