component_name,exact_part_number,source_file,units,scale,local_coordinate_system,global_transform,source_class
CROSSHEAD_LINK_PIN_SET,STG-WP02-011,05_SUBSYSTEM_CAD/LOCAL_COMPONENTS/WP02-011_CROSSHEAD_LINK_PIN_SET_STOWED_LOCAL_AP242.step,mm,1.000000,DF8 GLOBAL-CSYS (component exported at configured stowed placement),identity/default coordinates,CUSTOM REGENERABLE CAD
VSM6_RETENTION_RING_SET,VSM-6-S16-PA,05_SUBSYSTEM_CAD/LOCAL_COMPONENTS/WP02-012_VSM6_RETENTION_RING_SET_STOWED_LOCAL_AP242.step,mm,1.000000,DF8 GLOBAL-CSYS (component exported at configured stowed placement),identity/default coordinates,MANUFACTURER-DRAWING-DERIVED; NOT AUTHENTIC VENDOR CAD
POWERTRAIN_CARTRIDGE_SPINE,STG-WP02-013,05_SUBSYSTEM_CAD/LOCAL_COMPONENTS/WP02-013_POWERTRAIN_CARTRIDGE_SPINE_STOWED_LOCAL_AP242.step,mm,1.000000,DF8 GLOBAL-CSYS (component exported at configured stowed placement),identity/default coordinates,CUSTOM REGENERABLE CAD
CROSSHEAD_GUIDE_ROD_SET,STG-WP02-014,05_SUBSYSTEM_CAD/LOCAL_COMPONENTS/WP02-014_CROSSHEAD_GUIDE_ROD_SET_STOWED_LOCAL_AP242.step,mm,1.000000,DF8 GLOBAL-CSYS (component exported at configured stowed placement),identity/default coordinates,CUSTOM REGENERABLE CAD
GS19_FIXED_BODY_EXACT_VENDOR_BREP,GS-19-50-V4A-B8-B8,05_SUBSYSTEM_CAD/LOCAL_COMPONENTS/WP02-015_GS19_FIXED_BODY_EXACT_VENDOR_BREP_STOWED_LOCAL_AP242.step,mm,1.000000,DF8 GLOBAL-CSYS (component exported at configured stowed placement),identity/default coordinates,AUTHENTIC VENDOR CAD; UNCHANGED BREP EXCEPT BOOLEAN DECOMPOSITION AT REAL PRISMATIC JOINT
GS19_MOVING_ROD_EXACT_VENDOR_BREP,GS-19-50-V4A-B8-B8,05_SUBSYSTEM_CAD/LOCAL_COMPONENTS/WP02-016_GS19_MOVING_ROD_EXACT_VENDOR_BREP_STOWED_LOCAL_AP242.step,mm,1.000000,DF8 GLOBAL-CSYS (component exported at configured stowed placement),identity/default coordinates,AUTHENTIC VENDOR CAD; UNCHANGED BREP EXCEPT BOOLEAN DECOMPOSITION AT REAL PRISMATIC JOINT
GS19_FIXED_ANCHOR,STG-WP02-017,05_SUBSYSTEM_CAD/LOCAL_COMPONENTS/WP02-017_GS19_FIXED_ANCHOR_STOWED_LOCAL_AP242.step,mm,1.000000,DF8 GLOBAL-CSYS (component exported at configured stowed placement),identity/default coordinates,CUSTOM REGENERABLE CAD
GS19_MOVING_ADAPTER,STG-WP02-018,05_SUBSYSTEM_CAD/LOCAL_COMPONENTS/WP02-018_GS19_MOVING_ADAPTER_STOWED_LOCAL_AP242.step,mm,1.000000,DF8 GLOBAL-CSYS (component exported at configured stowed placement),identity/default coordinates,CUSTOM REGENERABLE CAD
HBD15_BODY_DRAWING_DERIVED,HBD-15-25-AA-P,05_SUBSYSTEM_CAD/LOCAL_COMPONENTS/WP02-019_HBD15_BODY_DRAWING_DERIVED_STOWED_LOCAL_AP242.step,mm,1.000000,DF8 GLOBAL-CSYS (component exported at configured stowed placement),identity/default coordinates,MANUFACTURER-DRAWING-DERIVED; NOT AUTHENTIC VENDOR CAD
HBD15_ROD_DRAWING_DERIVED,HBD-15-25-AA-P,05_SUBSYSTEM_CAD/LOCAL_COMPONENTS/WP02-020_HBD15_ROD_DRAWING_DERIVED_STOWED_LOCAL_AP242.step,mm,1.000000,DF8 GLOBAL-CSYS (component exported at configured stowed placement),identity/default coordinates,MANUFACTURER-DRAWING-DERIVED; NOT AUTHENTIC VENDOR CAD
HBD_MOVING_LOST_MOTION_COUPLER,STG-WP02-021,05_SUBSYSTEM_CAD/LOCAL_COMPONENTS/WP02-021_HBD_MOVING_LOST_MOTION_COUPLER_STOWED_LOCAL_AP242.step,mm,1.000000,DF8 GLOBAL-CSYS (component exported at configured stowed placement),identity/default coordinates,CUSTOM REGENERABLE CAD
HBD_CAPTIVE_BYPASS_CARRIAGE,STG-WP02-022,05_SUBSYSTEM_CAD/LOCAL_COMPONENTS/WP02-022_HBD_CAPTIVE_BYPASS_CARRIAGE_STOWED_LOCAL_AP242.step,mm,1.000000,DF8 GLOBAL-CSYS (component exported at configured stowed placement),identity/default coordinates,CUSTOM REGENERABLE CAD
HBD_BYPASS_RAIL_AND_SHOULDER_SET,STG-WP02-023,05_SUBSYSTEM_CAD/LOCAL_COMPONENTS/WP02-023_HBD_BYPASS_RAIL_AND_SHOULDER_SET_STOWED_LOCAL_AP242.step,mm,1.000000,DF8 GLOBAL-CSYS (component exported at configured stowed placement),identity/default coordinates,CUSTOM REGENERABLE CAD
HBD_BYPASS_DETENT_SET,STG-WP02-024,05_SUBSYSTEM_CAD/LOCAL_COMPONENTS/WP02-024_HBD_BYPASS_DETENT_SET_STOWED_LOCAL_AP242.step,mm,1.000000,DF8 GLOBAL-CSYS (component exported at configured stowed placement),identity/default coordinates,CUSTOM REGENERABLE CAD
BACKUP_SPRING_LHL625D12,LHL 625D 12,05_SUBSYSTEM_CAD/LOCAL_COMPONENTS/WP02-025_BACKUP_SPRING_LHL625D12_STOWED_LOCAL_AP242.step,mm,1.000000,DF8 GLOBAL-CSYS (component exported at configured stowed placement),identity/default coordinates,MANUFACTURER-CATALOG-DERIVED; AUTHENTIC CAD DOWNLOAD NOT RETRIEVED
BACKUP_SPRING_FIXED_REACTION_SEAT,STG-WP02-026,05_SUBSYSTEM_CAD/LOCAL_COMPONENTS/WP02-026_BACKUP_SPRING_FIXED_REACTION_SEAT_STOWED_LOCAL_AP242.step,mm,1.000000,DF8 GLOBAL-CSYS (component exported at configured stowed placement),identity/default coordinates,CUSTOM REGENERABLE CAD
BACKUP_SPRING_MOVING_SEAT,STG-WP02-027,05_SUBSYSTEM_CAD/LOCAL_COMPONENTS/WP02-027_BACKUP_SPRING_MOVING_SEAT_STOWED_LOCAL_AP242.step,mm,1.000000,DF8 GLOBAL-CSYS (component exported at configured stowed placement),identity/default coordinates,CUSTOM REGENERABLE CAD
BACKUP_SPRING_GUIDE_PUSHROD,STG-WP02-028,05_SUBSYSTEM_CAD/LOCAL_COMPONENTS/WP02-028_BACKUP_SPRING_GUIDE_PUSHROD_STOWED_LOCAL_AP242.step,mm,1.000000,DF8 GLOBAL-CSYS (component exported at configured stowed placement),identity/default coordinates,CUSTOM REGENERABLE CAD
DEPLOYED_STOP_PAD_SET,STG-WP02-029,05_SUBSYSTEM_CAD/LOCAL_COMPONENTS/WP02-029_DEPLOYED_STOP_PAD_SET_STOWED_LOCAL_AP242.step,mm,1.000000,DF8 GLOBAL-CSYS (component exported at configured stowed placement),identity/default coordinates,CUSTOM REGENERABLE CAD
POSITIVE_LOCK_HOUSING_SET,STG-WP02-030,05_SUBSYSTEM_CAD/LOCAL_COMPONENTS/WP02-030_POSITIVE_LOCK_HOUSING_SET_STOWED_LOCAL_AP242.step,mm,1.000000,DF8 GLOBAL-CSYS (component exported at configured stowed placement),identity/default coordinates,CUSTOM REGENERABLE CAD
POSITIVE_LOCK_PLUNGER_AND_WITNESS_SET,STG-WP02-031,05_SUBSYSTEM_CAD/LOCAL_COMPONENTS/WP02-031_POSITIVE_LOCK_PLUNGER_AND_WITNESS_SET_STOWED_LOCAL_AP242.step,mm,1.000000,DF8 GLOBAL-CSYS (component exported at configured stowed placement),identity/default coordinates,CUSTOM REGENERABLE CAD
CROSSHEAD_SEAR,STG-WP02-032,05_SUBSYSTEM_CAD/LOCAL_COMPONENTS/WP02-032_CROSSHEAD_SEAR_STOWED_LOCAL_AP242.step,mm,1.000000,DF8 GLOBAL-CSYS (component exported at configured stowed placement),identity/default coordinates,CUSTOM REGENERABLE CAD
CROSSHEAD_SEAR_HOUSING,STG-WP02-033,05_SUBSYSTEM_CAD/LOCAL_COMPONENTS/WP02-033_CROSSHEAD_SEAR_HOUSING_STOWED_LOCAL_AP242.step,mm,1.000000,DF8 GLOBAL-CSYS (component exported at configured stowed placement),identity/default coordinates,CUSTOM REGENERABLE CAD
COVER_SEQUENCED_ARM_STOW_LATCH_SET,STG-WP02-034,05_SUBSYSTEM_CAD/LOCAL_COMPONENTS/WP02-034_COVER_SEQUENCED_ARM_STOW_LATCH_SET_STOWED_LOCAL_AP242.step,mm,1.000000,DF8 GLOBAL-CSYS (component exported at configured stowed placement),identity/default coordinates,CUSTOM REGENERABLE CAD
