connection_id,occurrence_id,mate_occurrence_id,connection_type,retaining_hardware,axial_retention,lateral_retention,anti_rotation,upstream_load_path,downstream_load_path,service_method,evidence,attachment_requirement_count_for_pair,endpoints_exist,status
STOW-INHIBIT-GUIDE-1,STOW-DOG-INHIBIT-PIN-1,STOW-DOG-GUIDE-1,EXACT_GUIDED_OR_SEATED_INTERFACE,Integral occurrence-specific guide/seat geometry,Defined end shoulder,Defined guide clearance,Clocked guide geometry,STOW-DOG-GUIDE-1,STOW-DOG-INHIBIT-PIN-1,Remove occurrence-matched guide hardware,Direct exact-BREP support STOW-DOG-INHIBIT-PIN-1:GROUND_PIN_SHANK to STOW-DOG-GUIDE-1:GUIDE_TRANSPORT_BORE_OR_PARKING_FACE,1,YES,CONNECTED
STOW-INHIBIT-DOG-1,STOW-DOG-INHIBIT-PIN-1,STOW-DOG-1,EXACT_GUIDED_OR_SEATED_INTERFACE,Integral occurrence-specific guide/seat geometry,Defined end shoulder,Defined guide clearance,Clocked guide geometry,STOW-DOG-1,STOW-DOG-INHIBIT-PIN-1,Remove occurrence-matched guide hardware,Direct exact-BREP support STOW-DOG-INHIBIT-PIN-1:GROUND_PIN_SHANK to STOW-DOG-1:DOG_TRANSPORT_BORE,1,YES,CONNECTED
STOW-INHIBIT-KEEPER-1,STOW-DOG-INHIBIT-KEEPER-1,STOW-DOG-INHIBIT-PIN-1,EXACT_GUIDED_OR_SEATED_INTERFACE,Integral occurrence-specific guide/seat geometry,Defined end shoulder,Defined guide clearance,Clocked guide geometry,STOW-DOG-INHIBIT-PIN-1,STOW-DOG-INHIBIT-KEEPER-1,Remove occurrence-matched guide hardware,Direct exact-BREP support STOW-DOG-INHIBIT-KEEPER-1:CRESCENT_RETAINER to STOW-DOG-INHIBIT-PIN-1:PIN_EXTERNAL_GROOVE,1,YES,CONNECTED
LOCK-DOG-GUIDE-1,LOCK-DOG-1,FIXED-STOP-1,EXACT_GUIDED_OR_SEATED_INTERFACE,Integral occurrence-specific guide/seat geometry,Defined end shoulder,Defined guide clearance,Clocked guide geometry,FIXED-STOP-1,LOCK-DOG-1,Remove occurrence-matched guide hardware,Direct exact-BREP support LOCK-DOG-1:GROUND_LOCK_SHANK to FIXED-STOP-1:LOCK_GUIDE_BORE,1,YES,CONNECTED
LOCK-DOG-PAD-1,LOCK-DOG-1,ARM-STOP-PAD-1,EXACT_GUIDED_OR_SEATED_INTERFACE,Integral occurrence-specific guide/seat geometry,Defined end shoulder,Defined guide clearance,Clocked guide geometry,ARM-STOP-PAD-1,LOCK-DOG-1,Remove occurrence-matched guide hardware,Direct exact-BREP support LOCK-DOG-1:LOCK_NOSE to ARM-STOP-PAD-1:LOCK_STRIKE_BORE,0,YES,CONNECTED
LOCK-SPRING-GUIDE-1,LOCK-SPRING-1,FIXED-STOP-1,EXACT_GUIDED_OR_SEATED_INTERFACE,Integral occurrence-specific guide/seat geometry,Defined end shoulder,Defined guide clearance,Clocked guide geometry,FIXED-STOP-1,LOCK-SPRING-1,Remove occurrence-matched guide hardware,Direct exact-BREP support LOCK-SPRING-1:SPRING_OUTER_END to FIXED-STOP-1:LOCK_GUIDE_CLOSED_SEAT,1,YES,CONNECTED
LOCK-BUSHING-GUIDE-1,LOCK-BUSHING-1,FIXED-STOP-1,EXACT_GUIDED_OR_SEATED_INTERFACE,Integral occurrence-specific guide/seat geometry,Defined end shoulder,Defined guide clearance,Clocked guide geometry,FIXED-STOP-1,LOCK-BUSHING-1,Remove occurrence-matched guide hardware,Direct exact-BREP support LOCK-BUSHING-1:PRESS_FIT_BUSHING_OD to FIXED-STOP-1:LOCK_CHANNEL_OUTER_SEAT,1,YES,CONNECTED
STOP-CARRIER-2,FIXED-STOP-2,PIVOT-CARRIER-2,EXACT_GUIDED_OR_SEATED_INTERFACE,Integral occurrence-specific guide/seat geometry,Defined end shoulder,Defined guide clearance,Clocked guide geometry,PIVOT-CARRIER-2,FIXED-STOP-2,Remove occurrence-matched guide hardware,Direct exact-BREP support FIXED-STOP-2:TWIN_CARRIER_TIE_EARS to PIVOT-CARRIER-2:CARRIER_MOUNT_LANDS,1,YES,CONNECTED
STOW-DOG-GUIDE-2,STOW-DOG-2,STOW-DOG-GUIDE-2,EXACT_GUIDED_OR_SEATED_INTERFACE,Integral occurrence-specific guide/seat geometry,Defined end shoulder,Defined guide clearance,Clocked guide geometry,STOW-DOG-GUIDE-2,STOW-DOG-2,Remove occurrence-matched guide hardware,Direct exact-BREP support STOW-DOG-2:DOG_GUIDE_FACES to STOW-DOG-GUIDE-2:FULL_STROKE_U_GUIDE,1,YES,CONNECTED
STOW-SPRING-GUIDE-2,STOW-DOG-SPRING-2,STOW-DOG-GUIDE-2,EXACT_GUIDED_OR_SEATED_INTERFACE,Integral occurrence-specific guide/seat geometry,Defined end shoulder,Defined guide clearance,Clocked guide geometry,STOW-DOG-GUIDE-2,STOW-DOG-SPRING-2,Remove occurrence-matched guide hardware,Direct exact-BREP support STOW-DOG-SPRING-2:SPRING_FIXED_END to STOW-DOG-GUIDE-2:INTEGRAL_INBOARD_SPRING_SEAT,1,YES,CONNECTED
STOW-SPRING-DOG-2,STOW-DOG-SPRING-2,STOW-DOG-2,EXACT_GUIDED_OR_SEATED_INTERFACE,Integral occurrence-specific guide/seat geometry,Defined end shoulder,Defined guide clearance,Clocked guide geometry,STOW-DOG-2,STOW-DOG-SPRING-2,Remove occurrence-matched guide hardware,Direct exact-BREP support STOW-DOG-SPRING-2:SPRING_MOVING_END to STOW-DOG-2:DOG_INBOARD_SPRING_FACE,1,YES,CONNECTED
STOW-INHIBIT-GUIDE-2,STOW-DOG-INHIBIT-PIN-2,STOW-DOG-GUIDE-2,EXACT_GUIDED_OR_SEATED_INTERFACE,Integral occurrence-specific guide/seat geometry,Defined end shoulder,Defined guide clearance,Clocked guide geometry,STOW-DOG-GUIDE-2,STOW-DOG-INHIBIT-PIN-2,Remove occurrence-matched guide hardware,Direct exact-BREP support STOW-DOG-INHIBIT-PIN-2:GROUND_PIN_SHANK to STOW-DOG-GUIDE-2:GUIDE_TRANSPORT_BORE_OR_PARKING_FACE,1,YES,CONNECTED
STOW-INHIBIT-DOG-2,STOW-DOG-INHIBIT-PIN-2,STOW-DOG-2,EXACT_GUIDED_OR_SEATED_INTERFACE,Integral occurrence-specific guide/seat geometry,Defined end shoulder,Defined guide clearance,Clocked guide geometry,STOW-DOG-2,STOW-DOG-INHIBIT-PIN-2,Remove occurrence-matched guide hardware,Direct exact-BREP support STOW-DOG-INHIBIT-PIN-2:GROUND_PIN_SHANK to STOW-DOG-2:DOG_TRANSPORT_BORE,1,YES,CONNECTED
STOW-INHIBIT-KEEPER-2,STOW-DOG-INHIBIT-KEEPER-2,STOW-DOG-INHIBIT-PIN-2,EXACT_GUIDED_OR_SEATED_INTERFACE,Integral occurrence-specific guide/seat geometry,Defined end shoulder,Defined guide clearance,Clocked guide geometry,STOW-DOG-INHIBIT-PIN-2,STOW-DOG-INHIBIT-KEEPER-2,Remove occurrence-matched guide hardware,Direct exact-BREP support STOW-DOG-INHIBIT-KEEPER-2:CRESCENT_RETAINER to STOW-DOG-INHIBIT-PIN-2:PIN_EXTERNAL_GROOVE,1,YES,CONNECTED
LOCK-DOG-GUIDE-2,LOCK-DOG-2,FIXED-STOP-2,EXACT_GUIDED_OR_SEATED_INTERFACE,Integral occurrence-specific guide/seat geometry,Defined end shoulder,Defined guide clearance,Clocked guide geometry,FIXED-STOP-2,LOCK-DOG-2,Remove occurrence-matched guide hardware,Direct exact-BREP support LOCK-DOG-2:GROUND_LOCK_SHANK to FIXED-STOP-2:LOCK_GUIDE_BORE,1,YES,CONNECTED
LOCK-DOG-PAD-2,LOCK-DOG-2,ARM-STOP-PAD-2,EXACT_GUIDED_OR_SEATED_INTERFACE,Integral occurrence-specific guide/seat geometry,Defined end shoulder,Defined guide clearance,Clocked guide geometry,ARM-STOP-PAD-2,LOCK-DOG-2,Remove occurrence-matched guide hardware,Direct exact-BREP support LOCK-DOG-2:LOCK_NOSE to ARM-STOP-PAD-2:LOCK_STRIKE_BORE,0,YES,CONNECTED
LOCK-SPRING-GUIDE-2,LOCK-SPRING-2,FIXED-STOP-2,EXACT_GUIDED_OR_SEATED_INTERFACE,Integral occurrence-specific guide/seat geometry,Defined end shoulder,Defined guide clearance,Clocked guide geometry,FIXED-STOP-2,LOCK-SPRING-2,Remove occurrence-matched guide hardware,Direct exact-BREP support LOCK-SPRING-2:SPRING_OUTER_END to FIXED-STOP-2:LOCK_GUIDE_CLOSED_SEAT,1,YES,CONNECTED
LOCK-BUSHING-GUIDE-2,LOCK-BUSHING-2,FIXED-STOP-2,EXACT_GUIDED_OR_SEATED_INTERFACE,Integral occurrence-specific guide/seat geometry,Defined end shoulder,Defined guide clearance,Clocked guide geometry,FIXED-STOP-2,LOCK-BUSHING-2,Remove occurrence-matched guide hardware,Direct exact-BREP support LOCK-BUSHING-2:PRESS_FIT_BUSHING_OD to FIXED-STOP-2:LOCK_CHANNEL_OUTER_SEAT,1,YES,CONNECTED
STOP-CARRIER-3,FIXED-STOP-3,PIVOT-CARRIER-3,EXACT_GUIDED_OR_SEATED_INTERFACE,Integral occurrence-specific guide/seat geometry,Defined end shoulder,Defined guide clearance,Clocked guide geometry,PIVOT-CARRIER-3,FIXED-STOP-3,Remove occurrence-matched guide hardware,Direct exact-BREP support FIXED-STOP-3:TWIN_CARRIER_TIE_EARS to PIVOT-CARRIER-3:CARRIER_MOUNT_LANDS,1,YES,CONNECTED
STOW-DOG-GUIDE-3,STOW-DOG-3,STOW-DOG-GUIDE-3,EXACT_GUIDED_OR_SEATED_INTERFACE,Integral occurrence-specific guide/seat geometry,Defined end shoulder,Defined guide clearance,Clocked guide geometry,STOW-DOG-GUIDE-3,STOW-DOG-3,Remove occurrence-matched guide hardware,Direct exact-BREP support STOW-DOG-3:DOG_GUIDE_FACES to STOW-DOG-GUIDE-3:FULL_STROKE_U_GUIDE,1,YES,CONNECTED
STOW-SPRING-GUIDE-3,STOW-DOG-SPRING-3,STOW-DOG-GUIDE-3,EXACT_GUIDED_OR_SEATED_INTERFACE,Integral occurrence-specific guide/seat geometry,Defined end shoulder,Defined guide clearance,Clocked guide geometry,STOW-DOG-GUIDE-3,STOW-DOG-SPRING-3,Remove occurrence-matched guide hardware,Direct exact-BREP support STOW-DOG-SPRING-3:SPRING_FIXED_END to STOW-DOG-GUIDE-3:INTEGRAL_INBOARD_SPRING_SEAT,1,YES,CONNECTED
STOW-SPRING-DOG-3,STOW-DOG-SPRING-3,STOW-DOG-3,EXACT_GUIDED_OR_SEATED_INTERFACE,Integral occurrence-specific guide/seat geometry,Defined end shoulder,Defined guide clearance,Clocked guide geometry,STOW-DOG-3,STOW-DOG-SPRING-3,Remove occurrence-matched guide hardware,Direct exact-BREP support STOW-DOG-SPRING-3:SPRING_MOVING_END to STOW-DOG-3:DOG_INBOARD_SPRING_FACE,1,YES,CONNECTED
STOW-INHIBIT-GUIDE-3,STOW-DOG-INHIBIT-PIN-3,STOW-DOG-GUIDE-3,EXACT_GUIDED_OR_SEATED_INTERFACE,Integral occurrence-specific guide/seat geometry,Defined end shoulder,Defined guide clearance,Clocked guide geometry,STOW-DOG-GUIDE-3,STOW-DOG-INHIBIT-PIN-3,Remove occurrence-matched guide hardware,Direct exact-BREP support STOW-DOG-INHIBIT-PIN-3:GROUND_PIN_SHANK to STOW-DOG-GUIDE-3:GUIDE_TRANSPORT_BORE_OR_PARKING_FACE,1,YES,CONNECTED
STOW-INHIBIT-DOG-3,STOW-DOG-INHIBIT-PIN-3,STOW-DOG-3,EXACT_GUIDED_OR_SEATED_INTERFACE,Integral occurrence-specific guide/seat geometry,Defined end shoulder,Defined guide clearance,Clocked guide geometry,STOW-DOG-3,STOW-DOG-INHIBIT-PIN-3,Remove occurrence-matched guide hardware,Direct exact-BREP support STOW-DOG-INHIBIT-PIN-3:GROUND_PIN_SHANK to STOW-DOG-3:DOG_TRANSPORT_BORE,1,YES,CONNECTED
STOW-INHIBIT-KEEPER-3,STOW-DOG-INHIBIT-KEEPER-3,STOW-DOG-INHIBIT-PIN-3,EXACT_GUIDED_OR_SEATED_INTERFACE,Integral occurrence-specific guide/seat geometry,Defined end shoulder,Defined guide clearance,Clocked guide geometry,STOW-DOG-INHIBIT-PIN-3,STOW-DOG-INHIBIT-KEEPER-3,Remove occurrence-matched guide hardware,Direct exact-BREP support STOW-DOG-INHIBIT-KEEPER-3:CRESCENT_RETAINER to STOW-DOG-INHIBIT-PIN-3:PIN_EXTERNAL_GROOVE,1,YES,CONNECTED
LOCK-DOG-GUIDE-3,LOCK-DOG-3,FIXED-STOP-3,EXACT_GUIDED_OR_SEATED_INTERFACE,Integral occurrence-specific guide/seat geometry,Defined end shoulder,Defined guide clearance,Clocked guide geometry,FIXED-STOP-3,LOCK-DOG-3,Remove occurrence-matched guide hardware,Direct exact-BREP support LOCK-DOG-3:GROUND_LOCK_SHANK to FIXED-STOP-3:LOCK_GUIDE_BORE,1,YES,CONNECTED
LOCK-DOG-PAD-3,LOCK-DOG-3,ARM-STOP-PAD-3,EXACT_GUIDED_OR_SEATED_INTERFACE,Integral occurrence-specific guide/seat geometry,Defined end shoulder,Defined guide clearance,Clocked guide geometry,ARM-STOP-PAD-3,LOCK-DOG-3,Remove occurrence-matched guide hardware,Direct exact-BREP support LOCK-DOG-3:LOCK_NOSE to ARM-STOP-PAD-3:LOCK_STRIKE_BORE,0,YES,CONNECTED
LOCK-SPRING-GUIDE-3,LOCK-SPRING-3,FIXED-STOP-3,EXACT_GUIDED_OR_SEATED_INTERFACE,Integral occurrence-specific guide/seat geometry,Defined end shoulder,Defined guide clearance,Clocked guide geometry,FIXED-STOP-3,LOCK-SPRING-3,Remove occurrence-matched guide hardware,Direct exact-BREP support LOCK-SPRING-3:SPRING_OUTER_END to FIXED-STOP-3:LOCK_GUIDE_CLOSED_SEAT,1,YES,CONNECTED
LOCK-BUSHING-GUIDE-3,LOCK-BUSHING-3,FIXED-STOP-3,EXACT_GUIDED_OR_SEATED_INTERFACE,Integral occurrence-specific guide/seat geometry,Defined end shoulder,Defined guide clearance,Clocked guide geometry,FIXED-STOP-3,LOCK-BUSHING-3,Remove occurrence-matched guide hardware,Direct exact-BREP support LOCK-BUSHING-3:PRESS_FIT_BUSHING_OD to FIXED-STOP-3:LOCK_CHANNEL_OUTER_SEAT,1,YES,CONNECTED
LONG-ARM-LONGERON-1-FWD,ARM-LONGERON-1,FWD-RING-02,WELDED_PRIMARY_LONGERON_END,Continuous structural fillet weld at ARM-LONGERON-1 fwd end,Fwd end shoulder and weld throat,Seat sidewalls for longeron clock position 1,Clocked ARM-LONGERON_SEAT_1_FWD,FWD-RING-02,ARM-LONGERON-1,Cut and inspect the ARM-LONGERON-1 fwd-end weld during depot overhaul,Enumerated ARM-LONGERON-1 fwd interface: FWD_END_TONGUE_1 to FWD-RING-02:ARM-LONGERON_SEAT_1_FWD,1,YES,CONNECTED
LONG-ARM-LONGERON-2-FWD,ARM-LONGERON-2,FWD-RING-02,WELDED_PRIMARY_LONGERON_END,Continuous structural fillet weld at ARM-LONGERON-2 fwd end,Fwd end shoulder and weld throat,Seat sidewalls for longeron clock position 2,Clocked ARM-LONGERON_SEAT_2_FWD,FWD-RING-02,ARM-LONGERON-2,Cut and inspect the ARM-LONGERON-2 fwd-end weld during depot overhaul,Enumerated ARM-LONGERON-2 fwd interface: FWD_END_TONGUE_2 to FWD-RING-02:ARM-LONGERON_SEAT_2_FWD,1,YES,CONNECTED
LONG-ARM-LONGERON-3-FWD,ARM-LONGERON-3,FWD-RING-02,WELDED_PRIMARY_LONGERON_END,Continuous structural fillet weld at ARM-LONGERON-3 fwd end,Fwd end shoulder and weld throat,Seat sidewalls for longeron clock position 3,Clocked ARM-LONGERON_SEAT_3_FWD,FWD-RING-02,ARM-LONGERON-3,Cut and inspect the ARM-LONGERON-3 fwd-end weld during depot overhaul,Enumerated ARM-LONGERON-3 fwd interface: FWD_END_TONGUE_3 to FWD-RING-02:ARM-LONGERON_SEAT_3_FWD,1,YES,CONNECTED
PIVOT-1,ARM-1,PIVOT-CARRIER-1,DOUBLE_SHEAR_REVOLUTE,PIVOT-PIN-1; PIVOT-CLIP-1; two bushings; two washers,Pin head and external spiral ring,Carrier ears and thrust washers,Shouldered pin head,ARM-1,PIVOT-CARRIER-1,Remove spiral ring and withdraw pin,Coaxiality/clearance/retention check,0,YES,CONNECTED
LINK-1-1-BELL,LINK-1-1,ARM-1,REVOLUTE_PIN,LINK-PIN-1-BELL; LINK-CLIP-1-BELL,Pin head and E-ring,Two clevis cheeks with 0.20 mm face gap,Headed pin shoulder,CROSSHEAD-001,ARM-1,Remove E-ring and withdraw pin,Pin/bore common-volume and coaxiality check,0,YES,CONNECTED
LINK-1-2-BELL,LINK-1-2,ARM-1,REVOLUTE_PIN,LINK-PIN-1-BELL; LINK-CLIP-1-BELL,Pin head and E-ring,Two clevis cheeks with 0.20 mm face gap,Headed pin shoulder,CROSSHEAD-001,ARM-1,Remove E-ring and withdraw pin,Pin/bore common-volume and coaxiality check,0,YES,CONNECTED
LINK-1-1-CROSSHEAD,LINK-1-1,CROSSHEAD-001,REVOLUTE_PIN,LINK-PIN-1-CROSSHEAD; LINK-CLIP-1-CROSSHEAD,Pin head and E-ring,Two clevis cheeks with 0.20 mm face gap,Headed pin shoulder,CROSSHEAD-001,ARM-1,Remove E-ring and withdraw pin,Pin/bore common-volume and coaxiality check,0,YES,CONNECTED
LINK-1-2-CROSSHEAD,LINK-1-2,CROSSHEAD-001,REVOLUTE_PIN,LINK-PIN-1-CROSSHEAD; LINK-CLIP-1-CROSSHEAD,Pin head and E-ring,Two clevis cheeks with 0.20 mm face gap,Headed pin shoulder,CROSSHEAD-001,ARM-1,Remove E-ring and withdraw pin,Pin/bore common-volume and coaxiality check,0,YES,CONNECTED
PIVOT-2,ARM-2,PIVOT-CARRIER-2,DOUBLE_SHEAR_REVOLUTE,PIVOT-PIN-2; PIVOT-CLIP-2; two bushings; two washers,Pin head and external spiral ring,Carrier ears and thrust washers,Shouldered pin head,ARM-2,PIVOT-CARRIER-2,Remove spiral ring and withdraw pin,Coaxiality/clearance/retention check,0,YES,CONNECTED
LINK-2-1-BELL,LINK-2-1,ARM-2,REVOLUTE_PIN,LINK-PIN-2-BELL; LINK-CLIP-2-BELL,Pin head and E-ring,Two clevis cheeks with 0.20 mm face gap,Headed pin shoulder,CROSSHEAD-001,ARM-2,Remove E-ring and withdraw pin,Pin/bore common-volume and coaxiality check,0,YES,CONNECTED
LINK-2-2-BELL,LINK-2-2,ARM-2,REVOLUTE_PIN,LINK-PIN-2-BELL; LINK-CLIP-2-BELL,Pin head and E-ring,Two clevis cheeks with 0.20 mm face gap,Headed pin shoulder,CROSSHEAD-001,ARM-2,Remove E-ring and withdraw pin,Pin/bore common-volume and coaxiality check,0,YES,CONNECTED
LINK-2-1-CROSSHEAD,LINK-2-1,CROSSHEAD-001,REVOLUTE_PIN,LINK-PIN-2-CROSSHEAD; LINK-CLIP-2-CROSSHEAD,Pin head and E-ring,Two clevis cheeks with 0.20 mm face gap,Headed pin shoulder,CROSSHEAD-001,ARM-2,Remove E-ring and withdraw pin,Pin/bore common-volume and coaxiality check,0,YES,CONNECTED
LINK-2-2-CROSSHEAD,LINK-2-2,CROSSHEAD-001,REVOLUTE_PIN,LINK-PIN-2-CROSSHEAD; LINK-CLIP-2-CROSSHEAD,Pin head and E-ring,Two clevis cheeks with 0.20 mm face gap,Headed pin shoulder,CROSSHEAD-001,ARM-2,Remove E-ring and withdraw pin,Pin/bore common-volume and coaxiality check,0,YES,CONNECTED
PIVOT-3,ARM-3,PIVOT-CARRIER-3,DOUBLE_SHEAR_REVOLUTE,PIVOT-PIN-3; PIVOT-CLIP-3; two bushings; two washers,Pin head and external spiral ring,Carrier ears and thrust washers,Shouldered pin head,ARM-3,PIVOT-CARRIER-3,Remove spiral ring and withdraw pin,Coaxiality/clearance/retention check,0,YES,CONNECTED
LINK-3-1-BELL,LINK-3-1,ARM-3,REVOLUTE_PIN,LINK-PIN-3-BELL; LINK-CLIP-3-BELL,Pin head and E-ring,Two clevis cheeks with 0.20 mm face gap,Headed pin shoulder,CROSSHEAD-001,ARM-3,Remove E-ring and withdraw pin,Pin/bore common-volume and coaxiality check,0,YES,CONNECTED
LINK-3-2-BELL,LINK-3-2,ARM-3,REVOLUTE_PIN,LINK-PIN-3-BELL; LINK-CLIP-3-BELL,Pin head and E-ring,Two clevis cheeks with 0.20 mm face gap,Headed pin shoulder,CROSSHEAD-001,ARM-3,Remove E-ring and withdraw pin,Pin/bore common-volume and coaxiality check,0,YES,CONNECTED
LINK-3-1-CROSSHEAD,LINK-3-1,CROSSHEAD-001,REVOLUTE_PIN,LINK-PIN-3-CROSSHEAD; LINK-CLIP-3-CROSSHEAD,Pin head and E-ring,Two clevis cheeks with 0.20 mm face gap,Headed pin shoulder,CROSSHEAD-001,ARM-3,Remove E-ring and withdraw pin,Pin/bore common-volume and coaxiality check,0,YES,CONNECTED
LINK-3-2-CROSSHEAD,LINK-3-2,CROSSHEAD-001,REVOLUTE_PIN,LINK-PIN-3-CROSSHEAD; LINK-CLIP-3-CROSSHEAD,Pin head and E-ring,Two clevis cheeks with 0.20 mm face gap,Headed pin shoulder,CROSSHEAD-001,ARM-3,Remove E-ring and withdraw pin,Pin/bore common-volume and coaxiality check,0,YES,CONNECTED
