occurrence_id,definition,description,parent_path,classification,material,make_buy,manufacturer,cad_classification,mass_kg,z_min_mm,z_max_mm,maximum_radial_bbox_corner_mm,source_or_proxy_status
EXT-BUOY-PANEL-04,DF8-SHORT14-BUOY-PANEL-04,60 L BUOY PANEL 04 WITH PACKED-ENVELOPE AND DEPLOYED-GORE STATES,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/520_CORDURA_BREAKAWAY_BUOY_PACK_ASSY,SOFTGOOD,TPU-coated nylon,MAKE,STINGRAY custom,EXACT_ANALYTIC,0.023750,1387.000000,1587.000000,57.323811,EXACT_ANALYTIC
EXT-BUOY-PANEL-05,DF8-SHORT14-BUOY-PANEL-05,60 L BUOY PANEL 05 WITH PACKED-ENVELOPE AND DEPLOYED-GORE STATES,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/520_CORDURA_BREAKAWAY_BUOY_PACK_ASSY,SOFTGOOD,TPU-coated nylon,MAKE,STINGRAY custom,EXACT_ANALYTIC,0.023750,1387.000000,1587.000000,47.075037,EXACT_ANALYTIC
EXT-BUOY-PANEL-06,DF8-SHORT14-BUOY-PANEL-06,60 L BUOY PANEL 06 WITH PACKED-ENVELOPE AND DEPLOYED-GORE STATES,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/520_CORDURA_BREAKAWAY_BUOY_PACK_ASSY,SOFTGOOD,TPU-coated nylon,MAKE,STINGRAY custom,EXACT_ANALYTIC,0.023750,1387.000000,1587.000000,57.323811,EXACT_ANALYTIC
EXT-BUOY-PANEL-07,DF8-SHORT14-BUOY-PANEL-07,60 L BUOY PANEL 07 WITH PACKED-ENVELOPE AND DEPLOYED-GORE STATES,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/520_CORDURA_BREAKAWAY_BUOY_PACK_ASSY,SOFTGOOD,TPU-coated nylon,MAKE,STINGRAY custom,EXACT_ANALYTIC,0.023750,1387.000000,1587.000000,47.075037,EXACT_ANALYTIC
EXT-BUOY-PANEL-08,DF8-SHORT14-BUOY-PANEL-08,60 L BUOY PANEL 08 WITH PACKED-ENVELOPE AND DEPLOYED-GORE STATES,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/520_CORDURA_BREAKAWAY_BUOY_PACK_ASSY,SOFTGOOD,TPU-coated nylon,MAKE,STINGRAY custom,EXACT_ANALYTIC,0.023750,1387.000000,1587.000000,57.323811,EXACT_ANALYTIC
HOOK-STRIP,DF8-SHORT14-HOOK-STRIP-001,WET-RATED HOOK CLOSURE STRIP,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/520_CORDURA_BREAKAWAY_BUOY_PACK_ASSY,SOFTGOOD,Nylon hook-and-loop,MAKE,STINGRAY custom,EXACT_ANALYTIC,0.012000,1380.000000,1594.000000,48.109335,EXACT_ANALYTIC
HYDRO-1F-INFLATOR-PROXY,HALKEY-ROBERTS-HYDRO-1F-V95000XXB_PROXY,HALKEY-ROBERTS HYDRO 1F AUTOMATIC/MANUAL INFLATOR DIMENSION-CONTROLLED PROXY,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/530_BUOY_MOUNTED_INFLATION_ASSY,MOVING,Acetal and stainless commercial inflator assembly,BUY,Nordson MEDICAL / Halkey-Roberts,DIMENSION_CONTROLLED_PROXY,0.180000,1465.000000,1512.000000,77.103826,DIMENSION-CONTROLLED COMMERCIAL INTERFACE PROXY; INTERNALS NOT MODELED
HYDRO-1F-WATER-BOBBIN-V80040,V80040,HALKEY-ROBERTS WATER-SENSITIVE BOBBIN,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/530_BUOY_MOUNTED_INFLATION_ASSY,CONSUMED,Water-sensitive media,BUY,Nordson MEDICAL / Halkey-Roberts,DRAWING_DERIVED,0.001696,1488.000000,1506.000000,81.154174,DRAWING_DERIVED
INFLATOR-GUARD,DF8-SHORT14-INFLATOR-GUARD-001,INFLATOR IMPACT GUARD WITH OPEN WATER PATH,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/530_BUOY_MOUNTED_INFLATION_ASSY,MOVING,Ti-6Al-4V,MAKE,STINGRAY custom,EXACT_ANALYTIC,0.055000,1458.500000,1517.500000,79.034802,EXACT_ANALYTIC
LOOP-STRIP,DF8-SHORT14-LOOP-STRIP-001,WET-RATED LOOP CLOSURE STRIP,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/520_CORDURA_BREAKAWAY_BUOY_PACK_ASSY,SOFTGOOD,Nylon hook-and-loop,MAKE,STINGRAY custom,EXACT_ANALYTIC,0.012000,1380.000000,1594.000000,48.149933,EXACT_ANALYTIC
MANUAL-PULL-LANYARD,DF8-SHORT14-MANUAL-PULL-LANYARD-001,MANUAL INFLATOR PULL LANYARD WITH MODELED SLACK AND FIRED TRAVEL,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/530_BUOY_MOUNTED_INFLATION_ASSY,FLEXIBLE,HMPE cord,MAKE,STINGRAY custom,EXACT_ANALYTIC,0.008000,1505.404633,1543.866658,85.232624,EXACT_ANALYTIC
MANUAL-PULL-TAB,DF8-SHORT14-MANUAL-PULL-TAB-001,GLOVED-HAND MANUAL PULL TAB WITH SNAG-RETENTION KEEPER,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/530_BUOY_MOUNTED_INFLATION_ASSY,MOVING,TPU overmold on HMPE webbing,MAKE,STINGRAY custom,EXACT_ANALYTIC,0.018000,1532.000000,1554.000000,87.664132,EXACT_ANALYTIC
PACK-ATTACHMENT-COLLAR-1,DF8-SHORT14-PACK-ATTACHMENT-COLLAR-001,LOW-PROFILE PACK ATTACHMENT COLLAR WITHIN 57.15 MM RIGID LIMIT,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/510_SHORTENED_AFT_STRUCTURE_ASSY,FIXED,Ti-6Al-4V,MAKE,STINGRAY custom,EXACT_ANALYTIC,0.005334,1380.000000,1384.000000,39.951533,EXACT_ANALYTIC
PACK-ATTACHMENT-COLLAR-2,DF8-SHORT14-PACK-ATTACHMENT-COLLAR-001,LOW-PROFILE PACK ATTACHMENT COLLAR WITHIN 57.15 MM RIGID LIMIT,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/510_SHORTENED_AFT_STRUCTURE_ASSY,FIXED,Ti-6Al-4V,MAKE,STINGRAY custom,EXACT_ANALYTIC,0.005334,1590.000000,1594.000000,39.951533,EXACT_ANALYTIC
PACK-ATTACHMENT-WEBBING-1,DF8-SHORT14-PACK-ATTACHMENT-WEBBING-001,STRUCTURAL PACK-RETENTION WEBBING STRAP,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/520_CORDURA_BREAKAWAY_BUOY_PACK_ASSY,SOFTGOOD,HMPE webbing,MAKE,STINGRAY custom,EXACT_ANALYTIC,0.028000,1376.000000,1388.000000,64.488138,EXACT_ANALYTIC
PACK-ATTACHMENT-WEBBING-2,DF8-SHORT14-PACK-ATTACHMENT-WEBBING-001,STRUCTURAL PACK-RETENTION WEBBING STRAP,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/520_CORDURA_BREAKAWAY_BUOY_PACK_ASSY,SOFTGOOD,HMPE webbing,MAKE,STINGRAY custom,EXACT_ANALYTIC,0.028000,1586.000000,1598.000000,64.488138,EXACT_ANALYTIC
PACK-EDGE-BAND-1,DF8-SHORT14-PACK-EDGE-BAND-001,REINFORCED PACK EDGE BINDING,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/520_CORDURA_BREAKAWAY_BUOY_PACK_ASSY,SOFTGOOD,Cordura binding and HMPE webbing,MAKE,STINGRAY custom,EXACT_ANALYTIC,0.020000,1368.000000,1374.000000,69.296465,EXACT_ANALYTIC
PACK-EDGE-BAND-2,DF8-SHORT14-PACK-EDGE-BAND-001,REINFORCED PACK EDGE BINDING,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/520_CORDURA_BREAKAWAY_BUOY_PACK_ASSY,SOFTGOOD,Cordura binding and HMPE webbing,MAKE,STINGRAY custom,EXACT_ANALYTIC,0.020000,1600.000000,1606.000000,69.296465,EXACT_ANALYTIC
PACK-RADIAL-TIE-1-1,DF8-SHORT14-PACK-RADIAL-TIE-1-1,PACK COLLAR-TO-CRADLE RADIAL WEBBING TIE,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/520_CORDURA_BREAKAWAY_BUOY_PACK_ASSY,SOFTGOOD,HMPE webbing,MAKE,STINGRAY custom,EXACT_ANALYTIC,0.004000,1380.500000,1383.500000,47.381555,EXACT_ANALYTIC
PACK-RADIAL-TIE-1-2,DF8-SHORT14-PACK-RADIAL-TIE-1-2,PACK COLLAR-TO-CRADLE RADIAL WEBBING TIE,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/520_CORDURA_BREAKAWAY_BUOY_PACK_ASSY,SOFTGOOD,HMPE webbing,MAKE,STINGRAY custom,EXACT_ANALYTIC,0.004000,1380.500000,1383.500000,45.269084,EXACT_ANALYTIC
PACK-RADIAL-TIE-1-3,DF8-SHORT14-PACK-RADIAL-TIE-1-3,PACK COLLAR-TO-CRADLE RADIAL WEBBING TIE,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/520_CORDURA_BREAKAWAY_BUOY_PACK_ASSY,SOFTGOOD,HMPE webbing,MAKE,STINGRAY custom,EXACT_ANALYTIC,0.004000,1380.500000,1383.500000,47.381555,EXACT_ANALYTIC
PACK-RADIAL-TIE-2-1,DF8-SHORT14-PACK-RADIAL-TIE-2-1,PACK COLLAR-TO-CRADLE RADIAL WEBBING TIE,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/520_CORDURA_BREAKAWAY_BUOY_PACK_ASSY,SOFTGOOD,HMPE webbing,MAKE,STINGRAY custom,EXACT_ANALYTIC,0.004000,1590.500000,1593.500000,47.381555,EXACT_ANALYTIC
PACK-RADIAL-TIE-2-2,DF8-SHORT14-PACK-RADIAL-TIE-2-2,PACK COLLAR-TO-CRADLE RADIAL WEBBING TIE,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/520_CORDURA_BREAKAWAY_BUOY_PACK_ASSY,SOFTGOOD,HMPE webbing,MAKE,STINGRAY custom,EXACT_ANALYTIC,0.004000,1590.500000,1593.500000,45.269084,EXACT_ANALYTIC
PACK-RADIAL-TIE-2-3,DF8-SHORT14-PACK-RADIAL-TIE-2-3,PACK COLLAR-TO-CRADLE RADIAL WEBBING TIE,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/520_CORDURA_BREAKAWAY_BUOY_PACK_ASSY,SOFTGOOD,HMPE webbing,MAKE,STINGRAY custom,EXACT_ANALYTIC,0.004000,1590.500000,1593.500000,47.381555,EXACT_ANALYTIC
PULL-TAB-KEEPER,DF8-SHORT14-PULL-TAB-KEEPER-001,LOW-FORCE PULL-TAB SNAG KEEPER,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/530_BUOY_MOUNTED_INFLATION_ASSY,SOFTGOOD,Cordura and low-force hook-and-loop,MAKE,STINGRAY custom,EXACT_ANALYTIC,0.010000,1530.000000,1556.000000,85.634397,EXACT_ANALYTIC
RECOVERY-PIN-BODY-SHORT14,DF8-R2-RECOVERY-PIN-006,6 MM CAPTIVE RECOVERY TERMINAL PIN WITH RETAINER GROOVE,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/540_STRUCTURAL_RECOVERY_TETHER_ASSY,FIXED,17-4PH stainless steel,MAKE,STINGRAY custom,DRAWING_DERIVED,0.003134,1608.500000,1617.500000,27.408940,DRAWING_DERIVED
STRUCTURAL-RECOVERY-TETHER,AMSTEEL-BLUE-SHORT14-STRUCTURAL-TETHER-001,STRUCTURAL RECOVERY TETHER WITH TWO BURIED EYE SPLICES,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/540_STRUCTURAL_RECOVERY_TETHER_ASSY,FLEXIBLE,HMPE rope,MAKE,Samson Rope Technologies raw line / STINGRAY finished splices,EXACT_ANALYTIC,0.090000,1563.363120,1627.000000,46.872167,EXACT_ANALYTIC
TETHER-EXIT-CHAFE-SLEEVE,DF8-SHORT14-TETHER-EXIT-CHAFE-SLEEVE-001,STRUCTURAL TETHER EXIT CHAFE SLEEVE,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/540_STRUCTURAL_RECOVERY_TETHER_ASSY,FLEXIBLE,TPU-coated HMPE tubular webbing,MAKE,STINGRAY custom,EXACT_ANALYTIC,0.012000,1611.224959,1619.767342,36.132741,EXACT_ANALYTIC
TETHER-THIMBLE-BODY-SHORT14,DF8-R2-TETHER-THIMBLE-001,AMSTEEL EYE-SPLICE THIMBLE,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/540_STRUCTURAL_RECOVERY_TETHER_ASSY,MOVING,316 stainless steel,MAKE,STINGRAY custom,DRAWING_DERIVED,0.002897,1605.000000,1621.000000,29.698933,DRAWING_DERIVED
TETHER-THIMBLE-BUOY-SHORT14,DF8-R2-TETHER-THIMBLE-001,AMSTEEL EYE-SPLICE THIMBLE,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/540_STRUCTURAL_RECOVERY_TETHER_ASSY,MOVING,316 stainless steel,MAKE,STINGRAY custom,DRAWING_DERIVED,0.002897,1580.000000,1596.000000,47.673484,DRAWING_DERIVED
WATER-ENTRY-MESH,DF8-SHORT14-WATER-ENTRY-MESH-001,REINFORCED OPEN-MESH WATER-ENTRY WINDOW AND DRAIN,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY/520_CORDURA_BREAKAWAY_BUOY_PACK_ASSY,SOFTGOOD,Polyester open mesh with Cordura frame,MAKE,STINGRAY custom,EXACT_ANALYTIC,0.012000,1462.000000,1514.000000,79.920273,EXACT_ANALYTIC
