part_number,part_name,included_in_deck,cots_classification,vendor_or_manufacturer,vendor_catalog_part_number,parent_purchased_assembly_part_number,catalog_identity_status,catalog_source_url,vendor_serial_lot_or_heat_identifier,serial_lot_or_heat_verified,certificate_of_conformance_status,certificate_of_conformance_verified,certificate_evidence_reference,receiving_release_disposition
"DF8-R2-ACTUATOR-FIXED-YOKE-GS19-001","DOUBLE-SHEAR GS19 ANCHOR YOKE WITH CONFORMAL LONGERON TONGUE","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"DF8-R2-ACTUATOR-FIXED-YOKE-HBD-001","DOUBLE-SHEAR HBD ANCHOR YOKE WITH CONFORMAL LONGERON TONGUE","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"DF8-R2-ACTUATOR-PIN-004","4 MM CAPTIVE ACTUATOR CLEVIS PIN","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"DF8-R2-AFT-LONGERON-001","AFT PRIMARY LOAD-PATH LONGERON","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"DF8-R2-AFT-ROUTE-RING-001","AFT STRUCTURAL RING WITH CONTROLLED ROUTE PASSAGES","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"DF8-R2-AFT-SHELL-001","AFT GRADE-9 SHELL WITH HARDPOINT AND HINGE APERTURES","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"DF8-R2-ARM-BLADE-001","733.806 MM SMOOTH ANALYTIC HOLLOW OML ARM WITH SWEPT STOP-HARDWARE RELIEFS","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"DF8-R2-ARM-STOP-PAD-001","REPLACEABLE ARM STOP AND AUTOMATIC-LOCK STRIKE","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"DF8-R2-AUTO-LOCK-BUSHING-001","PRESS-FIT LOCK GUIDE OUTER RETAINER BUSHING","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"DF8-R2-AUTO-LOCK-DOG-001","SPRING-DRIVEN POSITIVE DEPLOYED LOCK DOG","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"DF8-R2-AUTO-LOCK-SPRING-001","CAPTIVE LONG-STROKE AUTOMATIC-LOCK COMPRESSION SPRING","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"DF8-R2-BACKUP-ACCESS-FIXED-SECTOR-003","FIXED SECTOR 3 WITH TWO RADIAL M3 BACKUP-GUIDE HEAD POCKETS","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"DF8-R2-BACKUP-GUIDE-LONGERON-003","PRIMARY LONGERON 3 WITH TWO RADIAL BACKUP-GUIDE M3 CLEARANCE BORES","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"DF8-R2-BACKUP-SPRING-16N-001","CONTROLLED 16 N/MM GUIDED BACKUP COMPRESSION SPRING","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"DF8-R2-BACKUP-SPRING-FIXED-SEAT-001","BACKUP SPRING AFT FIXED SEAT WITH LONGERON MOUNTING TONGUE","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"DF8-R2-BACKUP-SPRING-GUIDE-001","BACKUP SPRING DLC GUIDE SHAFT WITH TWO FIXED SUPPORT SHOULDERS","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"DF8-R2-BACKUP-SPRING-MOVING-SEAT-001","BACKUP SPRING CROSSHEAD SEAT WITH PILOTED PERMANENT LAND","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"DF8-R2-BALLAST-001","FORWARD TUNGSTEN BALLAST, SPINE SOCKET AND TAPERED REAMED HALF BORE","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"DF8-R2-BOOSTER-AFT-WELDED-CLOSURE-001","SOLID AFT BOOSTER CLOSURE WITH LOCATING PILOT","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"DF8-R2-BOOSTER-BAND-001","CAPTIVE BOOSTER SUPPORT BAND WITH M3 TAB","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"DF8-R2-BOOSTER-COLLECTION-LINE-001","SHORT 316L BOOSTER COLLECTION LINE WITH INTEGRAL FERRULE ENDS","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"DF8-R2-BOOSTER-FWD-ADAPTER-CLOSURE-001","PORTED FORWARD BOOSTER CLOSURE WITH WELD LIP AND VALVE ADAPTER","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"DF8-R2-BOOSTER-RESERVOIR-001","13 OD X 11 ID X 430 BOOSTER RESERVOIR WITH END BOSSES","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"DF8-R2-BUOY-GORE-01","60 L BUOY GORE 1 OF 8","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"DF8-R2-BUOY-GORE-02","60 L BUOY GORE 2 OF 8","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"DF8-R2-BUOY-GORE-03","60 L BUOY GORE 3 OF 8","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"DF8-R2-BUOY-GORE-04","60 L BUOY GORE 4 OF 8","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"DF8-R2-BUOY-GORE-05","60 L BUOY GORE 5 OF 8","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"DF8-R2-BUOY-GORE-06","60 L BUOY GORE 6 OF 8","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"DF8-R2-BUOY-GORE-07","60 L BUOY GORE 7 OF 8","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"DF8-R2-BUOY-GORE-08","60 L BUOY GORE 8 OF 8","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"DF8-R2-CARTRIDGE-CARRIER-001","FOUR-CARTRIDGE DOUBLE-PLATE CARRIER","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"DF8-R2-COLLECTION-MANIFOLD-001","FOUR-PORT COLLECTION MANIFOLD WITH BORED PASSAGES","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"DF8-R2-CROSSHEAD-001","ONE-PIECE SIX-CLEVIS GUIDED COMMON CROSSHEAD","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"DF8-R2-CROSSHEAD-GUIDE-001","CENTRAL DLC CROSSHEAD GUIDE SHAFT WITH SPIDER SHOULDER","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"DF8-R2-CROSSHEAD-GUIDE-SPIDER-001","THREE-SPOKE CROSSHEAD-GUIDE FORWARD MOUNT","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"DF8-R2-FIXED-SECTOR-001","ANALYTIC CYLINDRICAL FIXED BODY SECTOR","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"DF8-R2-FIXED-STOP-001","80 DEGREE SWEPT-CLEARANCE FIXED STOP WITH CONTROLLED AUTOMATIC-LOCK BUSHING SEAT","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"DF8-R2-FULLFLOW-VALVE-001","DIRECT FULL-FLOW VALVE WITH BORED AXIAL AND RADIAL PORTS","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"DF8-R2-FWD-LONGERON-001","FORWARD PRIMARY LOAD-PATH LONGERON","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"DF8-R2-FWD-SHELL-001","FORWARD GRADE-9 TITANIUM SHELL WITH CONTROLLED WATER PORT","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"DF8-R2-HARNESS-BAND-1","X-6292 STRUCTURAL HARNESS CLOSED BAND 1","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"DF8-R2-HARNESS-BAND-2","X-6292 STRUCTURAL HARNESS CLOSED BAND 2","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"DF8-R2-HARNESS-LEG-XN","X-6292 TERMINAL HARNESS LEG XN","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"DF8-R2-HARNESS-LEG-XP","X-6292 TERMINAL HARNESS LEG XP","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"DF8-R2-HARNESS-LEG-YN","X-6292 TERMINAL HARNESS LEG YN","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"DF8-R2-HARNESS-LEG-YP","X-6292 TERMINAL HARNESS LEG YP","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"DF8-R2-LINK-PIN-004","4 MM FULL-SPAN LINK PIN WITH DC-4SS RETAINER GROOVE","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"DF8-R2-NOSE-001","TUNGSTEN PENETRATOR NOSE WITH OCCURRENCE-MATCHED TAPERED REAMED HALF BORE","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"DF8-R2-PIVOT-BUSH-008","8 MM PEEK-LINED PIVOT BUSHING","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"DF8-R2-PIVOT-CARRIER-001","MATCHED DOUBLE-SHEAR PIVOT LUG SET WITH SWEPT BELL-CLEVIS ACCESS AND OBLIQUE STOP-LAND BORES","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"DF8-R2-PIVOT-PIN-008","8 MM CAPTIVE SHOULDER PIVOT PIN WITH EXTERNAL GROOVE","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"DF8-R2-PIVOT-SPIRAL-RING-008","8 MM EXTERNAL SPIRAL PIVOT RETAINER","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"DF8-R2-PIVOT-WASHER-008","8 MM PEEK THRUST WASHER","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"DF8-R2-PUNCTURE-HEAD-001","CARTRIDGE PUNCTURE HEAD WITH CONTROLLED NEEDLE","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"DF8-R2-RECOVERY-E-RING-006","6 MM RECOVERY PIN EXTERNAL RETAINER","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
"DF8-R2-RECOVERY-PIN-006","6 MM CAPTIVE RECOVERY TERMINAL PIN WITH RETAINER GROOVE","true","NOT_COTS_MAKE","N/A — STINGRAY-controlled MAKE item","N/A","N/A","N/A — MAKE","N/A","N/A — MAKE PartDef","false","N/A — supplier CoC does not apply to a MAKE PartDef","false","N/A","N/A — control with drawing, material certification, traveler, and build records"
