part_number,physical_title,state_definition,revision,description,material,finish,make_buy,manufacturer,cad_classification,mass_kg,volume_mm3,solid_count,face_count,bbox_mm,neutral_ap242_path,neutral_ap242_bytes,neutral_ap242_sha256,native_brep_path,native_brep_bytes,native_brep_sha256,four_view_render_path,four_view_render_bytes,four_view_render_sha256,installed_location_reference,installed_location_image,section_cutaway_status,release_status
DF8-R2-AUTO-LOCK-SPRING-001,CAPTIVE_LONG-STROKE_AUTOMATIC-LOCK_COMPRESSION_SPRING_SS,DEPLOYED,B,CAPTIVE LONG-STROKE AUTOMATIC-LOCK COMPRESSION SPRING,1.4310 stainless spring steel,ASTM A967 passivated; rope-contact and seal surfaces polished per drawing,MAKE,STINGRAY custom,DRAWING_DERIVED,2.8560892651638403e-06,0.3638329213222979,1,3,"{""xmin"":-0.8069664027228483,""xmax"":0.8069695929821062,""ymin"":-0.8069740677881146,""ymax"":0.8069709841080236,""zmin"":-0.0064463956452933315,""zmax"":4.950372423813511}",neutral_ap242/DF8-R2-AUTO-LOCK-SPRING-001__DEPLOYED__LOCAL_AP242.step,45352,672e3fd0116b350fe304093f03cf8c3bd04839dd51da412fa21ddc85b740219b,native_brep/DF8-R2-AUTO-LOCK-SPRING-001__DEPLOYED__LOCAL_OCCT.brep,26556,3ea61b0a9f5e769d6120dc4441b0211e4f8097a9db0c426c168f42f77c1e0f45,renders/DF8-R2-AUTO-LOCK-SPRING-001__DEPLOYED__FOUR_VIEW.png,186132,8d8c6c693890a80f24be2dd649141e774fab4efcec4387eacb89184f829b8cb0,LOCK-SPRING-1 in Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_01 | LOCK-SPRING-2 in Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_02 | LOCK-SPRING-3 in Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_03,NOT GENERATED - REGISTERED BY OCCURRENCE/BBOX; SYSTEM VIEWS PROVIDED,NOT PROVIDED - RELEASE DRAWING/ANALYSIS RELEVANCE NOT ESTABLISHED,DEVELOPMENTAL PART DEFINITION - NOT RELEASED FOR FABRICATION OR PROCUREMENT
DF8-R2-BACKUP-SPRING-16N-001,CONTROLLED_16_N_MM_GUIDED_BACKUP_COMPRESSION_SPRING_SS,STOWED,B,CONTROLLED 16 N/MM GUIDED BACKUP COMPRESSION SPRING,1.4310 stainless spring steel,ASTM A967 passivated; rope-contact and seal surfaces polished per drawing,MAKE,STINGRAY controlled spring specification,DRAWING_DERIVED,0.092,6907.1433139746205,1,3,"{""xmin"":-7.9841913082431475,""xmax"":7.9841974851674635,""ymin"":-7.984183633915029,""ymax"":7.984197041173656,""zmin"":-0.08409069568623262,""zmax"":145.08419063685164}",neutral_ap242/DF8-R2-BACKUP-SPRING-16N-001__STOWED__LOCAL_AP242.step,282472,eb26c14e8ecab61058fef914e865f098d89ba2195d835cd94b49095f3089ac65,native_brep/DF8-R2-BACKUP-SPRING-16N-001__STOWED__LOCAL_OCCT.brep,179321,6590327d0d71cf70032b1f58b274ed4be40ebb306e4eeb05c55e18a1e6eeae1c,renders/DF8-R2-BACKUP-SPRING-16N-001__STOWED__FOUR_VIEW.png,168665,a0bd6eb2388c513ffec216eda09c0a129e8525c026681ef1c847b5f41bfee825,BACKUP-SPRING-001 in Arm_Activation_Powertrain_Assembly,NOT GENERATED - REGISTERED BY OCCURRENCE/BBOX; SYSTEM VIEWS PROVIDED,NOT PROVIDED - RELEASE DRAWING/ANALYSIS RELEVANCE NOT ESTABLISHED,DEVELOPMENTAL PART DEFINITION - NOT RELEASED FOR FABRICATION OR PROCUREMENT
DF8-R2-BACKUP-SPRING-16N-001,CONTROLLED_16_N_MM_GUIDED_BACKUP_COMPRESSION_SPRING_SS,DEPLOYED,B,CONTROLLED 16 N/MM GUIDED BACKUP COMPRESSION SPRING,1.4310 stainless spring steel,ASTM A967 passivated; rope-contact and seal surfaces polished per drawing,MAKE,STINGRAY controlled spring specification,DRAWING_DERIVED,0.092,6907.1429660238755,1,3,"{""xmin"":-7.982060225728308,""xmax"":7.982055408519731,""ymin"":-7.982054892377548,""ymax"":7.982055008684343,""zmin"":-0.08194861903849542,""zmax"":160.1370829298101}",neutral_ap242/DF8-R2-BACKUP-SPRING-16N-001__DEPLOYED__LOCAL_AP242.step,282446,1f0be21dc8e79222dc2559d1f6d8848b9f780600d125b543cdbcb2318a69c13c,native_brep/DF8-R2-BACKUP-SPRING-16N-001__DEPLOYED__LOCAL_OCCT.brep,179355,056fc319ebd0ac884517ba80058afbf10cf3fe8f10a32979260b7b5246b8d57d,renders/DF8-R2-BACKUP-SPRING-16N-001__DEPLOYED__FOUR_VIEW.png,154917,05c02bd596f3e52a0d152794f2487cae75d13695dcbb6ec7351be9c8274dad61,BACKUP-SPRING-001 in Arm_Activation_Powertrain_Assembly,NOT GENERATED - REGISTERED BY OCCURRENCE/BBOX; SYSTEM VIEWS PROVIDED,NOT PROVIDED - RELEASE DRAWING/ANALYSIS RELEVANCE NOT ESTABLISHED,DEVELOPMENTAL PART DEFINITION - NOT RELEASED FOR FABRICATION OR PROCUREMENT
DF8-R2-BACKUP-SPRING-FIXED-SEAT-001,BACKUP_SPRING_AFT_FIXED_SEAT_WITH_LONGERON_MOUNTING_TONGUE_TI,STOWED,B,BACKUP SPRING AFT FIXED SEAT WITH LONGERON MOUNTING TONGUE,Ti-6Al-4V,ASTM B600 clean/passivate; drawing-controlled surface finish,MAKE,STINGRAY custom,DRAWING_DERIVED,0.0042064835579726225,949.5448212127816,1,9,"{""xmin"":-8.503240199251524,""xmax"":11.200697821276835,""ymin"":-8.500598246258464,""ymax"":8.50059824625846,""zmin"":-2.5032401992515227,""zmax"":2.5032401992515227}",neutral_ap242/DF8-R2-BACKUP-SPRING-FIXED-SEAT-001__STOWED__LOCAL_AP242.step,78515,9a971d38501cdc9bd88e4e56125cf0f807b5de1d3fc64860106106044ad8076f,native_brep/DF8-R2-BACKUP-SPRING-FIXED-SEAT-001__STOWED__LOCAL_OCCT.brep,35933,bb413cfe61d548a8cdfe6f6319648140cf4e92e85ff81496729ae6d63d662fbf,renders/DF8-R2-BACKUP-SPRING-FIXED-SEAT-001__STOWED__FOUR_VIEW.png,300748,afd6b02218af997389ffe60f56e1a48b156e026d2ae746a6df43fb23295daf11,BACKUP-SPRING-FIXED-SEAT in Arm_Activation_Powertrain_Assembly,NOT GENERATED - REGISTERED BY OCCURRENCE/BBOX; SYSTEM VIEWS PROVIDED,NOT PROVIDED - RELEASE DRAWING/ANALYSIS RELEVANCE NOT ESTABLISHED,DEVELOPMENTAL PART DEFINITION - NOT RELEASED FOR FABRICATION OR PROCUREMENT
DF8-R2-BACKUP-SPRING-GUIDE-001,BACKUP_SPRING_DLC_GUIDE_SHAFT_WITH_TWO_FIXED_SUPPORT_SHOULDERS_SS,STOWED,B,BACKUP SPRING DLC GUIDE SHAFT WITH TWO FIXED SUPPORT SHOULDERS,17-4PH stainless steel,ASTM A967 passivated; critical bearing surfaces ground,MAKE,STINGRAY custom,DRAWING_DERIVED,0.029068956937486064,3750.833153224008,1,20,"{""xmin"":-3.3510413402972663,""xmax"":11.200769106135056,""ymin"":-3.3500001000000013,""ymax"":3.350000100000001,""zmin"":-1.7507691061350568,""zmax"":185.2774046291657}",neutral_ap242/DF8-R2-BACKUP-SPRING-GUIDE-001__STOWED__LOCAL_AP242.step,134065,06129ec260c4d0be6edd10a6bd588b36d88923777b8697b205740695aa8dcdc9,native_brep/DF8-R2-BACKUP-SPRING-GUIDE-001__STOWED__LOCAL_OCCT.brep,52103,4be34258ab17e29d4f80d45a9c54f61d7b3d129a9b3149e30a248eba45fcba0e,renders/DF8-R2-BACKUP-SPRING-GUIDE-001__STOWED__FOUR_VIEW.png,62341,2e97e6ec66dfafcdc2dd13a5904e7f67a0812319fd5264b53f9092cab6f8e79e,BACKUP-SPRING-GUIDE in Arm_Activation_Powertrain_Assembly,NOT GENERATED - REGISTERED BY OCCURRENCE/BBOX; SYSTEM VIEWS PROVIDED,NOT PROVIDED - RELEASE DRAWING/ANALYSIS RELEVANCE NOT ESTABLISHED,DEVELOPMENTAL PART DEFINITION - NOT RELEASED FOR FABRICATION OR PROCUREMENT
DF8-R2-BACKUP-SPRING-MOVING-SEAT-001,BACKUP_SPRING_CROSSHEAD_SEAT_WITH_PILOTED_PERMANENT_LAND_SS,STOWED,B,BACKUP SPRING CROSSHEAD SEAT WITH PILOTED PERMANENT LAND,17-4PH stainless steel,ASTM A967 passivated; critical bearing surfaces ground,MAKE,STINGRAY custom,DRAWING_DERIVED,0.0073882012531716265,953.3162907318227,1,4,"{""xmin"":-8.502642052993064,""xmax"":8.502642052993064,""ymin"":-8.500000100000005,""ymax"":8.500000100000001,""zmin"":-2.5026420529930644,""zmax"":2.5026420529930644}",neutral_ap242/DF8-R2-BACKUP-SPRING-MOVING-SEAT-001__STOWED__LOCAL_AP242.step,11657,9b06c1aee02d0e3abd8277aef68afc14bdca681d66b70a0b7e0d60342a31f816,native_brep/DF8-R2-BACKUP-SPRING-MOVING-SEAT-001__STOWED__LOCAL_OCCT.brep,2137,f202db1cae310446d12e68864b78a5875556c26cee84f5f5f1dd2119307d3247,renders/DF8-R2-BACKUP-SPRING-MOVING-SEAT-001__STOWED__FOUR_VIEW.png,302503,d4ec332cc8f1b9377a914b00aa136862ed2c36e44e19cb9863d133a3f0667814,BACKUP-SPRING-MOVING-SEAT in Arm_Activation_Powertrain_Assembly,NOT GENERATED - REGISTERED BY OCCURRENCE/BBOX; SYSTEM VIEWS PROVIDED,NOT PROVIDED - RELEASE DRAWING/ANALYSIS RELEVANCE NOT ESTABLISHED,DEVELOPMENTAL PART DEFINITION - NOT RELEASED FOR FABRICATION OR PROCUREMENT
DF8-R2-BALLAST-001,Forward_Ballast_W,STOWED,A,"FORWARD TUNGSTEN BALLAST, SPINE SOCKET AND TAPERED REAMED HALF BORE",Tungsten heavy alloy,Ground rope/penetration-safe edges; corrosion-inhibiting clean,MAKE,STINGRAY custom,DRAWING_DERIVED,4.884227629259874,287307.507603522,1,14,"{""xmin"":-24.807708386379762,""xmax"":24.807708386379762,""ymin"":-24.80000010000001,""ymax"":24.800000100000005,""zmin"":-0.007708386379761667,""zmax"":166.00770838637976}",neutral_ap242/DF8-R2-BALLAST-001__STOWED__LOCAL_AP242.step,73891,4431d7956b12dfff4673ab64fdf8ce6ba970d0290e240c6fc7acce42522a7c10,native_brep/DF8-R2-BALLAST-001__STOWED__LOCAL_OCCT.brep,38863,3a9fe539608b08eb8746b3e4d5c06af20f88ca9d047350893f2ac27b1e1ea480,renders/DF8-R2-BALLAST-001__STOWED__FOUR_VIEW.png,196694,dd1b8ac5dcc7d847987247d5d8e867c96b8793c22baa92f75bf6ed0d2e7aa5ac,BALLAST-001 in Forward_Body_Assembly,NOT GENERATED - REGISTERED BY OCCURRENCE/BBOX; SYSTEM VIEWS PROVIDED,NOT PROVIDED - RELEASE DRAWING/ANALYSIS RELEVANCE NOT ESTABLISHED,DEVELOPMENTAL PART DEFINITION - NOT RELEASED FOR FABRICATION OR PROCUREMENT
DF8-R2-CROSSHEAD-GUIDE-001,CENTRAL_DLC_CROSSHEAD_GUIDE_SHAFT_WITH_SPIDER_SHOULDER_SS,STOWED,C,CENTRAL DLC CROSSHEAD GUIDE SHAFT WITH SPIDER SHOULDER,17-4PH stainless steel,ASTM A967 passivated; critical bearing surfaces ground,MAKE,STINGRAY custom,DRAWING_DERIVED,0.01153710148317413,1488.658255893436,1,9,"{""xmin"":-4.451383240096369,""xmax"":4.451383240096369,""ymin"":-4.450000100000002,""ymax"":4.450000100000001,""zmin"":-0.002181703260791506,""zmax"":47.000994717597386}",neutral_ap242/DF8-R2-CROSSHEAD-GUIDE-001__STOWED__LOCAL_AP242.step,19688,1b2fe33011df446367c6ee31c903393e5eb3c7102ab268afe8f3bb5e5ee630d0,native_brep/DF8-R2-CROSSHEAD-GUIDE-001__STOWED__LOCAL_OCCT.brep,5480,7580dba76f73f73e255e4737d51c27eeb430ec7cd3b21ed2fe7591c82f1d4a0b,renders/DF8-R2-CROSSHEAD-GUIDE-001__STOWED__FOUR_VIEW.png,126858,dbcf63549c57873954745f4073e1d67213f86b24011eb7ea5feb30707f46d460,CROSSHEAD-GUIDE-001 in Arm_Activation_Powertrain_Assembly,NOT GENERATED - REGISTERED BY OCCURRENCE/BBOX; SYSTEM VIEWS PROVIDED,NOT PROVIDED - RELEASE DRAWING/ANALYSIS RELEVANCE NOT ESTABLISHED,DEVELOPMENTAL PART DEFINITION - NOT RELEASED FOR FABRICATION OR PROCUREMENT
DF8-R2-CROSSHEAD-GUIDE-SPIDER-001,THREE-SPOKE_CROSSHEAD-GUIDE_FORWARD_MOUNT_TI,STOWED,A,THREE-SPOKE CROSSHEAD-GUIDE FORWARD MOUNT,Ti-6Al-4V,ASTM B600 clean/passivate; drawing-controlled surface finish,MAKE,STINGRAY custom,DRAWING_DERIVED,0.0012339130177071314,278.53566991131635,1,28,"{""xmin"":-19.5000001,""xmax"":10.60604798520353,""ymin"":-17.368126509867473,""ymax"":17.36812650986747,""zmin"":-2.002851534344421,""zmax"":0.0028515343444208193}",neutral_ap242/DF8-R2-CROSSHEAD-GUIDE-SPIDER-001__STOWED__LOCAL_AP242.step,89021,5fc38985122b7bd34207c1c44ac7fad0640cb164f94ff7cb554c45ee52f63d35,native_brep/DF8-R2-CROSSHEAD-GUIDE-SPIDER-001__STOWED__LOCAL_OCCT.brep,31732,2364d5fd387b7ebd183384910b42c8f75dfb858e93c0d4464f96469ed7cb5248,renders/DF8-R2-CROSSHEAD-GUIDE-SPIDER-001__STOWED__FOUR_VIEW.png,115734,f4932024c56721ae2dfcf9beb2b014d1d952d3ebec4b6a9e1d117b192f576ec8,CROSSHEAD-GUIDE-SPIDER in Arm_Activation_Powertrain_Assembly,NOT GENERATED - REGISTERED BY OCCURRENCE/BBOX; SYSTEM VIEWS PROVIDED,NOT PROVIDED - RELEASE DRAWING/ANALYSIS RELEVANCE NOT ESTABLISHED,DEVELOPMENTAL PART DEFINITION - NOT RELEASED FOR FABRICATION OR PROCUREMENT
DF8-R2-FIXED-STOP-001,80_DEGREE_SWEPT-CLEARANCE_FIXED_STOP_WITH_CONTROLLED_AUTOMATIC-LOCK_BUSHING_SEAT_SS,STOWED,E,80 DEGREE SWEPT-CLEARANCE FIXED STOP WITH CONTROLLED AUTOMATIC-LOCK BUSHING SEAT,17-4PH stainless steel,ASTM A967 passivated; critical bearing surfaces ground,MAKE,STINGRAY custom,DRAWING_DERIVED,0.0023936337070524028,308.85596220031005,1,262,"{""xmin"":-2.7508875622775415,""xmax"":10.350000100000003,""ymin"":-10.500000109869651,""ymax"":10.500291782750486,""zmin"":-2.0000001000000016,""zmax"":5.200830502308596}",neutral_ap242/DF8-R2-FIXED-STOP-001__STOWED__LOCAL_AP242.step,2223843,c65a9c2e7d45365d52b75209444b63f2c1f930d66dc9636221a9420e1712a956,native_brep/DF8-R2-FIXED-STOP-001__STOWED__LOCAL_OCCT.brep,3019909,77767397a4f1fbcb6e298b15a3b8ac5886ee81cea3ced12d0b2fa68bc4467d5e,renders/DF8-R2-FIXED-STOP-001__STOWED__FOUR_VIEW.png,196708,31f17c21ec12ad8be16b60102ee65c5330b3b6f1f953a874caea9076447a164b,FIXED-STOP-1 in Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_01 | FIXED-STOP-2 in Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_02 | FIXED-STOP-3 in Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_03,NOT GENERATED - REGISTERED BY OCCURRENCE/BBOX; SYSTEM VIEWS PROVIDED,NOT PROVIDED - RELEASE DRAWING/ANALYSIS RELEVANCE NOT ESTABLISHED,DEVELOPMENTAL PART DEFINITION - NOT RELEASED FOR FABRICATION OR PROCUREMENT
DF8-R2-LINK-PIN-004,4_MM_FULL-SPAN_LINK_PIN_WITH_DC-4SS_RETAINER_GROOVE_SS,STOWED,B,4 MM FULL-SPAN LINK PIN WITH DC-4SS RETAINER GROOVE,17-4PH stainless steel,ASTM A967 passivated; critical bearing surfaces ground,MAKE,STINGRAY custom,DRAWING_DERIVED,0.001443346409243244,186.23824635396696,1,11,"{""xmin"":-3.000000100000001,""xmax"":3.0000001000000003,""ymin"":-1.0009325539975515,""ymax"":12.800621735998368,""zmin"":-3.0009325539975515,""zmax"":3.0009325539975515}",neutral_ap242/DF8-R2-LINK-PIN-004__STOWED__LOCAL_AP242.step,23520,bb73eab91579f59e92894028d29da678ba8db75a78db4cd6bc00d674ec66ffb5,native_brep/DF8-R2-LINK-PIN-004__STOWED__LOCAL_OCCT.brep,5080,93e24f052c6abc0a2c19390b34969deb9a03691a644bbf63d0b4e12fa4ab8b13,renders/DF8-R2-LINK-PIN-004__STOWED__FOUR_VIEW.png,248222,71d3bf23c59754280a6a79cd400a91d8bc741a3f41a825a04b1bc3b534385314,LINK-PIN-1-BELL in Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_01 | LINK-PIN-1-CROSSHEAD in Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_01 | LINK-PIN-2-BELL in Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_02 | LINK-PIN-2-CROSSHEAD in Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_02 | LINK-PIN-3-BELL in Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_03 | LINK-PIN-3-CROSSHEAD in Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_03,NOT GENERATED - REGISTERED BY OCCURRENCE/BBOX; SYSTEM VIEWS PROVIDED,NOT PROVIDED - RELEASE DRAWING/ANALYSIS RELEVANCE NOT ESTABLISHED,DEVELOPMENTAL PART DEFINITION - NOT RELEASED FOR FABRICATION OR PROCUREMENT
DF8-R2-NOSE-001,Penetrator_Nose_W,STOWED,A,TUNGSTEN PENETRATOR NOSE WITH OCCURRENCE-MATCHED TAPERED REAMED HALF BORE,Tungsten heavy alloy,Ground rope/penetration-safe edges; corrosion-inhibiting clean,MAKE,STINGRAY custom,DRAWING_DERIVED,2.2173158326782247,130430.3430987191,1,8,"{""xmin"":-26.344428495576036,""xmax"":26.344428495576036,""ymin"":-26.33625398219751,""ymax"":26.336253982197505,""zmin"":-0.04442849557604048,""zmax"":170.04442849557603}",neutral_ap242/DF8-R2-NOSE-001__STOWED__LOCAL_AP242.step,25552,38bde3806d8aa773e616912c0bd9c79de9c78add527c8a516982cb4cd7daa11a,native_brep/DF8-R2-NOSE-001__STOWED__LOCAL_OCCT.brep,6839,83c98fda4e0785bd22ba42be301d0edfbb24661d894834bf1b85d8f1922d31f1,renders/DF8-R2-NOSE-001__STOWED__FOUR_VIEW.png,232427,1dc0d739207e0daf1daa80e6c6d55c4fe61e01212395df76fc9ba7a7b7d46c43,NOSE-001 in Forward_Body_Assembly,NOT GENERATED - REGISTERED BY OCCURRENCE/BBOX; SYSTEM VIEWS PROVIDED,NOT PROVIDED - RELEASE DRAWING/ANALYSIS RELEVANCE NOT ESTABLISHED,DEVELOPMENTAL PART DEFINITION - NOT RELEASED FOR FABRICATION OR PROCUREMENT
DF8-R2-PIVOT-BUSH-008,8_MM_PEEK-LINED_PIVOT_BUSHING_PEEK,STOWED,A,8 MM PEEK-LINED PIVOT BUSHING,PEEK,"Machined, edge-broken, cleaned; no mold release or particulate",MAKE,STINGRAY custom,DRAWING_DERIVED,8.808849871477256e-06,6.673371114755497,1,4,"{""xmin"":-4.1500001000000015,""xmax"":4.150000100000001,""ymin"":-1.0012899946966132,""ymax"":1.0012899946966132,""zmin"":-4.151289994696613,""zmax"":4.151289994696613}",neutral_ap242/DF8-R2-PIVOT-BUSH-008__STOWED__LOCAL_AP242.step,11544,38ee8ac5cdad7617153d83508aa3ada918f973d5bb386db63048387a5e7dd5dd,native_brep/DF8-R2-PIVOT-BUSH-008__STOWED__LOCAL_OCCT.brep,2201,08a6fcc48e515c80609be1a48b6078c63fd3aceb365db8aeea34a076b8f3d636,renders/DF8-R2-PIVOT-BUSH-008__STOWED__FOUR_VIEW.png,198076,cd457b2ca9e8b15c34cd3a517e7a0237e7eb67ed151710b205fbaf91b98af7b0,PIVOT-BUSH-1-1 in Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_01 | PIVOT-BUSH-1-2 in Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_01 | PIVOT-BUSH-2-1 in Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_02 | PIVOT-BUSH-2-2 in Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_02 | PIVOT-BUSH-3-1 in Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_03 | PIVOT-BUSH-3-2 in Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_03,NOT GENERATED - REGISTERED BY OCCURRENCE/BBOX; SYSTEM VIEWS PROVIDED,NOT PROVIDED - RELEASE DRAWING/ANALYSIS RELEVANCE NOT ESTABLISHED,DEVELOPMENTAL PART DEFINITION - NOT RELEASED FOR FABRICATION OR PROCUREMENT
DF8-R2-PIVOT-PIN-008,8_MM_CAPTIVE_SHOULDER_PIVOT_PIN_WITH_EXTERNAL_GROOVE_SS,STOWED,B,8 MM CAPTIVE SHOULDER PIVOT PIN WITH EXTERNAL GROOVE,17-4PH stainless steel,ASTM A967 passivated; critical bearing surfaces ground,MAKE,STINGRAY custom,DRAWING_DERIVED,0.008671747528307096,1118.935164942851,1,9,"{""xmin"":-4.400000100000002,""xmax"":4.4000001000000015,""ymin"":-1.5013676991964093,""ymax"":20.501243371996736,""zmin"":-4.40136769919641,""zmax"":4.40136769919641}",neutral_ap242/DF8-R2-PIVOT-PIN-008__STOWED__LOCAL_AP242.step,19619,6f089b47c7086f1e8d0a790ef9f1cddba86bf09f4096a12c05edadcb53b97a5f,native_brep/DF8-R2-PIVOT-PIN-008__STOWED__LOCAL_OCCT.brep,4113,8462a114ce9a6bdb2737bd47a7cc28d5de7b754acaa986c23e2cf52a553343e5,renders/DF8-R2-PIVOT-PIN-008__STOWED__FOUR_VIEW.png,261353,d7b021d2fdd16353e9c036124a24da201a7fbe55bf82f76836d32b5340a5edeb,PIVOT-PIN-1 in Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_01 | PIVOT-PIN-2 in Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_02 | PIVOT-PIN-3 in Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_03,NOT GENERATED - REGISTERED BY OCCURRENCE/BBOX; SYSTEM VIEWS PROVIDED,NOT PROVIDED - RELEASE DRAWING/ANALYSIS RELEVANCE NOT ESTABLISHED,DEVELOPMENTAL PART DEFINITION - NOT RELEASED FOR FABRICATION OR PROCUREMENT
DF8-R2-PIVOT-SPIRAL-RING-008,8_MM_EXTERNAL_SPIRAL_PIVOT_RETAINER_SS,STOWED,A,8 MM EXTERNAL SPIRAL PIVOT RETAINER,1.4310 stainless spring steel,ASTM A967 passivated; rope-contact and seal surfaces polished per drawing,MAKE,STINGRAY custom,DRAWING_DERIVED,9.513648371968046e-05,12.11929728913127,1,8,"{""xmin"":-4.900345795510419,""xmax"":4.379884796758172,""ymin"":-0.2765289409602441,""ymax"":0.2765289409602441,""zmin"":-4.901440436818841,""zmax"":4.901528940960245}",neutral_ap242/DF8-R2-PIVOT-SPIRAL-RING-008__STOWED__LOCAL_AP242.step,26937,2a84463a46f2e6fcab1b09179a59a616ae7ecf1f69ca0f667aff1a7da3f0b07b,native_brep/DF8-R2-PIVOT-SPIRAL-RING-008__STOWED__LOCAL_OCCT.brep,7154,17c1d2bfd67bc680169758b2635d04ff0957fb87e5cbcf5005df81dba8cb6957,renders/DF8-R2-PIVOT-SPIRAL-RING-008__STOWED__FOUR_VIEW.png,165797,2f7824c9be747c1707ede88b8ff8e73315973bfd29e8298a0bb920192d431c1c,PIVOT-CLIP-1 in Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_01 | PIVOT-CLIP-2 in Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_02 | PIVOT-CLIP-3 in Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_03,NOT GENERATED - REGISTERED BY OCCURRENCE/BBOX; SYSTEM VIEWS PROVIDED,NOT PROVIDED - RELEASE DRAWING/ANALYSIS RELEVANCE NOT ESTABLISHED,DEVELOPMENTAL PART DEFINITION - NOT RELEASED FOR FABRICATION OR PROCUREMENT
DF8-R2-PIVOT-WASHER-008,8_MM_PEEK_THRUST_WASHER_PEEK,STOWED,A,8 MM PEEK THRUST WASHER,PEEK,"Machined, edge-broken, cleaned; no mold release or particulate",MAKE,STINGRAY custom,DRAWING_DERIVED,1.4016322438141084e-05,10.61842608950082,1,4,"{""xmin"":-6.000000100000003,""xmax"":6.000000100000001,""ymin"":-0.09186500799510329,""ymax"":0.09186500799510329,""zmin"":-6.001865007995104,""zmax"":6.001865007995104}",neutral_ap242/DF8-R2-PIVOT-WASHER-008__STOWED__LOCAL_AP242.step,11542,81d91aeba43881af4b3336948e4b7db1b23089a96840888fdc3a4d943b5831ed,native_brep/DF8-R2-PIVOT-WASHER-008__STOWED__LOCAL_OCCT.brep,2298,f2b37be11d4e34c71689876371ad2575081dcdc83626f1d1a5c2236836c6dd3d,renders/DF8-R2-PIVOT-WASHER-008__STOWED__FOUR_VIEW.png,182177,65ad16b79d48c2f39a307628d1da833da9ec5dcbf067ec56bb6fa5e7e876695d,PIVOT-WASHER-1-1 in Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_01 | PIVOT-WASHER-1-2 in Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_01 | PIVOT-WASHER-2-1 in Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_02 | PIVOT-WASHER-2-2 in Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_02 | PIVOT-WASHER-3-1 in Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_03 | PIVOT-WASHER-3-2 in Arm_Activation_Powertrain_Assembly/Arm_Deployment_Assembly_03,NOT GENERATED - REGISTERED BY OCCURRENCE/BBOX; SYSTEM VIEWS PROVIDED,NOT PROVIDED - RELEASE DRAWING/ANALYSIS RELEVANCE NOT ESTABLISHED,DEVELOPMENTAL PART DEFINITION - NOT RELEASED FOR FABRICATION OR PROCUREMENT
